Block,Time,UNCHAHAR4,AURY_LF,SALAL,DHAULIGNGA,RIHAND2,SINGRAULI,DADRI_GF,AURY_RF,UNCHAHAR2,DADRI_LF,NAPP,AURY_GF,URI,UNCHAHAR1,PARBATI3,RAPPC,BSIUL,KOTESHWR,ANTA_CRF,RIHAND3,URI2,RAMPUR,SEWA2,TEHRI,CHAMERA1,JHAJJAR,ANTA_LF,SINGRAULI_HYDRO,RIHAND1,KOLDAM,DADRI_CRF,ANTA_GF,CHAMERA2,RAPPB,ANTA_RF,NJPC,DADRT2,DULHASTI,DADRI_RF,TANDA2,AURY_CRF,TANAKPUR,CHAMERA3,TALA,BRBCL,FSTPP I & II,SASAN,KUDGI,KHSTPP-I,UNCHAHAR3,KISHANGANGA,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
27,06:30-06:45,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,46.958419,13.737194,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,8.160881,0.000000,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,411.342270,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,74.44,27.868414,19.140273,0.000000,108.975318,0,0,0,0,0

28,06:45-07:00,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,13.737194,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,0.000000,12.524565,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,74.44,27.868414,19.140273,0.000000,108.975318,0,0,0,0,0

29,07:00-07:15,0.000000,0.000000,78.631378,35.373196,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,13.737194,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,0.000000,13.517366,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,74.44,27.868414,19.140273,0.000000,108.975318,0,0,0,0,0

30,07:15-07:30,0.000000,0.000000,78.631378,26.434121,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,13.737194,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.954656,0.000000,0.000000,0.000000,13.517366,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,74.44,27.868414,19.140273,0.000000,108.975318,0,0,0,0,0

31,07:30-07:45,0.000000,0.000000,78.631378,17.622748,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,13.737194,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.304453,0.000000,0.000000,0.000000,13.517366,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,74.44,27.868414,19.140273,0.000000,108.975318,0,0,0,0,0

32,07:45:08:00,0.000000,0.000000,78.631378,8.811374,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,13.737194,0.000000,49.437715,0.000000,8.578496,0.000000,119.547560,14.304453,0.000000,0.000000,0.000000,27.111102,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,74.44,27.868414,19.140273,0.000000,128.309318,0,0,0,0,0

33,08:00-08:15,0.000000,0.000000,78.631378,0.000000,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,13.737194,0.000000,49.437715,6.303657,8.578496,0.000000,119.547560,14.304453,0.000000,0.000000,0.000000,27.163033,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,74.44,27.868414,19.140273,0.000000,128.309318,0,0,0,0,0

34,08:15-08:30,0.000000,0.000000,78.631378,0.000000,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,13.737194,0.000000,49.437715,6.303657,8.578496,0.000000,119.547560,14.304453,0.000000,0.000000,0.000000,27.163033,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,74.44,27.868414,19.140273,0.000000,128.309318,0,0,0,0,0

35,08:30-08:45,0.000000,0.000000,78.631378,0.000000,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,13.737194,0.000000,49.437715,6.303657,8.578496,0.000000,119.547560,14.304453,0.000000,0.000000,0.000000,27.163033,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,84.49,27.868414,19.140273,0.000000,128.309318,0,0,0,0,0

36,08:45:09:00,0.000000,0.000000,78.631378,0.000000,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,13.737194,0.000000,49.437715,6.303657,8.578496,0.000000,119.547560,14.304453,0.000000,0.000000,0.000000,27.163033,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,429.642178,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,403.476412,99.47,27.868414,19.140273,0.000000,128.309318,0,0,0,0,0

37,09:00:09:15,0.000000,0.000000,78.631378,0.000000,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,10.762174,0.000000,49.437715,6.303657,8.578496,0.000000,119.547560,14.304453,0.000000,0.000000,0.000000,27.163033,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,390.942084,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,404.778509,112.33,27.868414,15.560487,0.000000,110.219676,0,0,0,0,0

38,09:15-09:30,0.000000,0.000000,78.631378,0.000000,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,10.762174,0.000000,49.437715,6.303657,8.578496,0.000000,119.547560,14.304453,0.000000,0.000000,0.000000,27.163033,417.765785,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,390.942084,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,404.824959,125.38,27.868414,15.560487,0.000000,94.474818,0,0,0,0,0

39,09:30-09:45,0.000000,0.000000,79.754683,0.000000,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,10.762174,0.000000,49.437715,12.607315,8.578496,0.000000,119.547560,14.304453,0.000000,0.000000,0.000000,27.163033,396.027216,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,371.608084,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,404.824959,135.34,27.868414,15.560487,0.000000,94.474818,0,0,0,0,0

40,09:45-10:00,0.000000,0.000000,79.754683,0.000000,114.191438,134.670977,0.000000,0.000000,14.393196,0.000000,37.683899,0.000000,20.277499,10.762174,0.000000,49.437715,12.607315,8.578496,0.000000,119.547560,14.304453,0.000000,0.000000,0.000000,27.163033,396.027216,0.000000,1.035606,88.936400,0.000000,0.000000,0.000000,38.194433,0.000000,0.000000,147.847581,371.608084,47.790319,0.000000,0.000000,0.000000,11.764256,18.711136,25.010462,19.334041,9.468923,404.824959,135.34,27.868414,15.560487,0.000000,94.474818,0,0,0,0,0

