Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
16:15 - 16:30,-82.00,0.00,-0.30,10.58,52.89
16:30 - 16:45,-75.00,-23.00,-0.30,10.10,52.89
16:45 - 17:00,-22.00,-35.00,-0.30,10.10,54.81
17:00 - 17:15,23.07,-15.00,-0.30,9.62,9.62
17:15 - 17:30,38.47,-15.00,-0.30,11.54,7.69
17:30 - 17:45,0.00,-15.00,-0.30,12.22,6.73
17:45 - 18:00,0.00,-10.00,-0.30,14.43,-42.00
18:00 - 18:15,36.54,14.43,-0.30,17.02,-45.00
18:15 - 18:30,19.23,0.00,-0.30,17.31,-25.00
18:30 - 18:45,10.58,0.00,-0.30,17.31,-132.00
18:45 - 19:00,34.62,0.00,-0.30,17.31,-35.00
19:00 - 19:15,95.21,0.00,-0.30,17.02,34.62
19:15 - 19:30,102.90,0.00,-0.30,16.35,40.39
19:30 - 19:45,118.28,0.00,-0.30,9.33,48.09
19:45 - 20:00,75.97,0.00,-0.30,9.14,48.09
20:00 - 20:15,59.63,65.39,-0.30,8.66,28.85
20:15 - 20:30,68.29,58.66,-0.30,8.46,28.85
20:30 - 20:45,99.05,50.01,-0.30,8.17,14.43
20:45 - 21:00,116.37,42.31,-0.30,7.98,14.43
21:00 - 21:15,91.36,23.08,-0.30,7.69,53.86
21:15 - 21:30,91.35,8.66,-0.30,7.41,55.78
21:30 - 21:45,71.16,-7.00,-0.30,13.46,53.86
21:45 - 22:00,75.01,-3.00,-0.30,12.50,53.86
22:00 - 22:15,74.04,-5.00,-1.00,14.43,4.81
22:15 - 22:30,76.94,-3.00,-1.00,12.98,24.04
22:30 - 22:45,89.44,0.00,-1.00,11.54,96.17
22:45 - 23:00,92.33,0.00,-1.00,10.58,92.32
23:00 - 23:15,72.12,0.00,-1.00,9.62,39.43
23:15 - 23:30,81.74,0.00,-1.00,8.66,44.24
23:30 - 23:45,79.82,0.00,-1.00,7.69,37.51
23:45 - 24:00,91.36,0.00,-1.00,6.73,31.74
