Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
19:45 - 20:00,-16.00,-18.00,15.95,0.00,80.71
20:00 - 20:15,34.59,-30.00,15.95,0.00,160.45
20:15 - 20:30,49.96,-5.00,15.95,0.00,245.00
20:30 - 20:45,73.02,9.61,15.95,0.00,122.98
20:45 - 21:00,70.14,0.00,15.37,0.00,122.02
21:00 - 21:15,88.39,20.18,15.08,0.00,125.87
21:15 - 21:30,81.67,19.22,14.89,0.00,119.14
21:30 - 21:45,64.37,20.18,14.41,0.00,119.13
21:45 - 22:00,71.10,0.00,14.12,0.00,121.06
22:00 - 22:15,63.41,0.00,13.45,0.00,134.52
22:15 - 22:30,60.53,0.00,13.16,0.00,125.87
22:30 - 22:45,32.67,0.00,12.49,0.00,105.69
22:45 - 23:00,14.41,0.00,11.53,0.00,86.47
23:00 - 23:15,14.41,0.00,10.57,0.00,81.67
23:15 - 23:30,6.73,0.00,10.09,0.00,76.86
23:30 - 23:45,-27.00,-25.00,9.61,0.00,72.06
23:45 - 24:00,-57.00,-50.00,8.65,0.00,19.21
