Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
15:30 - 15:45,87.94,61.85,0.00,-0.50,14.98,0.00,0.00,0.29,96.64
15:45 - 16:00,89.88,37.69,0.00,-0.50,15.95,0.00,0.00,0.29,144.95
16:00 - 16:15,59.92,79.24,0.00,-0.50,15.95,0.00,0.00,0.29,115.97
16:15 - 16:30,35.76,89.88,0.00,-0.50,15.95,0.00,0.00,0.29,125.62
16:30 - 16:45,33.82,114.03,0.00,-0.50,16.43,0.00,0.00,0.29,76.35
16:45 - 17:00,28.99,130.47,0.00,-0.50,16.91,0.00,0.00,0.29,75.38
17:00 - 17:15,32.86,18.36,0.00,-0.50,16.91,0.00,0.00,0.29,24.16
17:15 - 17:30,44.46,20.29,0.00,-0.50,17.40,0.00,0.00,0.29,12.56
17:30 - 17:45,77.30,43.49,0.68,-0.50,16.43,0.00,0.10,0.29,21.26
17:45 - 18:00,92.77,47.35,0.68,-0.50,14.50,0.00,4.06,0.00,45.42
18:00 - 18:15,0.00,47.35,0.68,-0.50,14.50,0.00,6.96,0.00,49.28
18:15 - 18:30,0.00,32.85,0.68,-0.50,14.98,0.00,4.25,0.00,29.96
18:30 - 18:45,0.00,14.50,0.68,-0.50,14.98,0.00,6.67,0.00,50.24
18:45 - 19:00,0.00,8.70,0.68,-0.50,14.79,0.00,6.18,0.00,49.28
19:00 - 19:15,77.92,20.84,0.54,-0.50,11.19,0.00,4.63,0.00,45.52
19:15 - 19:30,71.72,13.73,0.53,-0.50,10.68,-9.00,4.19,0.00,46.53
19:30 - 19:45,104.25,7.75,0.26,-0.50,12.06,-16.00,5.68,0.00,73.23
19:45 - 20:00,131.93,3.80,0.28,-0.50,13.29,-19.00,7.88,0.00,66.44
20:00 - 20:15,90.85,-20.00,0.29,-0.50,13.53,-25.00,8.79,0.00,-16.00
20:15 - 20:30,111.13,-10.00,0.29,-0.50,13.53,-30.00,8.70,0.00,2.90
20:30 - 20:45,120.80,-18.00,0.29,-0.50,13.53,-34.00,10.05,0.00,-1.00
20:45 - 21:00,120.80,-18.00,0.29,-0.50,13.53,-38.00,9.37,0.00,-23.00
21:00 - 21:15,102.45,4.83,0.29,-0.50,12.56,-38.00,7.05,0.00,-43.00
21:15 - 21:30,99.55,10.63,0.29,-0.50,12.56,-22.00,7.05,0.00,-10.00
21:30 - 21:45,4.83,18.36,0.29,-0.50,11.60,-24.00,7.54,0.29,4.83
21:45 - 22:00,30.92,28.99,0.29,-0.50,11.60,-25.00,6.18,0.09,32.86
22:00 - 22:15,47.35,7.73,0.29,-1.50,11.60,-28.00,7.15,0.29,73.45
22:15 - 22:30,52.19,18.36,0.29,-1.50,11.60,-29.00,6.96,0.00,89.87
22:30 - 22:45,28.03,22.23,0.29,-1.50,11.40,-32.00,6.18,0.06,126.60
22:45 - 23:00,38.66,28.03,0.29,-1.50,11.21,-23.00,6.96,0.29,137.22
23:00 - 23:15,36.72,58.95,0.29,-1.50,10.92,-26.00,8.50,0.00,144.97
23:15 - 23:30,31.89,60.88,0.29,-1.50,10.53,-28.00,6.38,0.00,149.80
23:30 - 23:45,0.00,64.75,0.29,-1.50,10.24,-30.00,3.77,0.00,135.30
23:45 - 24:00,-29.00,57.98,0.29,-1.50,9.95,-33.00,3.87,0.29,115.97
