Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
08:00 - 08:15,72.70,-25.00,19.43,0.00,-105.00
08:15 - 08:30,77.45,-10.00,17.40,0.00,-100.00
08:30 - 08:45,63.02,24.71,19.77,0.00,-84.00
08:45 - 09:00,40.56,33.01,15.09,0.00,-75.00
09:00 - 09:15,0.00,33.75,19.24,0.00,-120.00
09:15 - 09:30,7.04,46.98,22.31,0.00,-144.00
09:30 - 09:45,60.53,33.63,28.82,0.00,-135.00
09:45 - 10:00,73.98,58.61,28.82,0.00,-110.00
10:00 - 10:15,81.66,69.18,27.77,0.00,-116.00
10:15 - 10:30,73.98,84.56,27.86,0.00,-72.00
10:30 - 10:45,22.10,55.73,27.86,0.00,-55.00
10:45 - 11:00,38.43,48.04,27.96,0.00,-55.00
11:00 - 11:15,252.69,57.65,25.65,0.00,-45.00
11:15 - 11:30,263.26,33.63,25.17,0.00,-10.00
11:30 - 11:45,125.86,33.63,24.50,0.00,-100.00
11:45 - 12:00,118.16,0.00,23.64,0.00,-50.00
12:00 - 12:15,30.74,9.61,24.02,0.00,-10.00
12:15 - 12:30,-30.00,0.00,24.02,0.00,-20.00
12:30 - 12:45,-21.00,-20.00,23.06,0.00,-5.00
12:45 - 13:00,23.06,-32.00,23.06,0.00,9.61
13:00 - 13:15,80.70,0.00,21.62,0.00,19.22
13:15 - 13:30,80.70,0.00,20.18,0.00,19.22
13:30 - 13:45,84.55,37.47,19.22,5.19,-45.00
13:45 - 14:00,96.08,38.43,17.77,1.83,-45.00
14:00 - 14:15,121.06,22.10,16.33,7.30,-25.00
14:15 - 14:30,111.45,26.90,15.37,5.00,-30.00
14:30 - 14:45,40.36,0.00,15.37,6.82,-45.00
14:45 - 15:00,34.60,-18.00,15.37,5.28,-5.00
15:00 - 15:15,-31.00,-20.00,15.38,1.63,-55.00
15:15 - 15:30,-33.00,-30.00,14.42,3.84,-50.00
15:30 - 15:45,-40.00,-23.00,14.41,6.25,-104.99
15:45 - 16:00,0.00,-27.00,15.37,2.79,-205.00
16:00 - 16:15,32.66,-60.00,18.26,0.00,19.22
16:15 - 16:30,27.86,-29.00,17.29,5.67,28.83
16:30 - 16:45,39.40,-68.00,16.33,5.76,-216.00
16:45 - 17:00,37.47,-33.00,16.33,2.50,-23.00
17:00 - 17:15,23.05,-61.00,18.26,5.48,-33.00
17:15 - 17:30,0.00,-95.00,18.26,7.78,-61.00
17:30 - 17:45,6.40,-106.00,16.78,0.24,-65.00
17:45 - 18:00,7.14,-92.00,10.95,0.14,-51.00
18:00 - 18:15,0.00,-18.00,4.04,0.31,-38.00
18:15 - 18:30,3.69,-5.00,3.30,0.20,-25.00
18:30 - 18:45,10.01,1.20,2.60,0.14,-43.00
18:45 - 19:00,11.29,3.29,2.67,0.03,-45.00
19:00 - 19:15,34.60,8.58,3.46,0.00,-55.00
19:15 - 19:30,38.65,12.76,4.64,0.00,-12.00
19:30 - 19:45,61.19,22.03,7.34,0.00,-21.00
19:45 - 20:00,43.36,23.31,12.47,0.00,-24.00
20:00 - 20:15,36.52,28.82,20.75,0.00,-35.00
20:15 - 20:30,34.59,65.34,20.75,0.00,-27.00
20:30 - 20:45,47.08,0.00,20.18,0.00,-21.00
20:45 - 21:00,48.03,20.18,19.22,0.00,-36.00
21:00 - 21:15,49.95,20.18,18.26,0.00,20.18
21:15 - 21:30,49.00,39.39,17.87,0.00,18.26
21:30 - 21:45,49.96,74.95,16.33,0.00,-25.00
21:45 - 22:00,54.77,76.86,15.85,0.00,-28.00
22:00 - 22:15,38.44,16.33,15.37,0.00,-3.00
22:15 - 22:30,39.39,8.65,13.45,0.00,-3.00
22:30 - 22:45,8.65,8.65,12.48,0.00,-11.00
22:45 - 23:00,27.86,8.65,11.34,0.00,-18.00
23:00 - 23:15,66.29,22.10,9.61,0.00,-23.00
23:15 - 23:30,66.30,5.76,8.26,0.00,-27.00
23:30 - 23:45,15.37,0.00,7.69,0.00,-35.00
23:45 - 24:00,2.88,0.00,6.73,0.00,-42.00
