Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
11:15 - 11:30,0.00,4.80,-0.30,8.94,0.00
11:30 - 11:45,0.00,0.00,-0.30,8.65,38.42
11:45 - 12:00,0.00,0.00,-0.30,7.69,33.62
12:00 - 12:15,-17.00,14.41,-0.30,7.69,16.33
12:15 - 12:30,-19.00,17.29,-0.30,7.69,12.49
12:30 - 12:45,4.80,0.00,-0.30,7.69,-1.00
12:45 - 13:00,13.45,0.00,-0.30,7.69,22.09
13:00 - 13:15,-42.00,0.00,0.00,7.69,8.64
13:15 - 13:30,-60.00,-7.00,-0.30,7.69,-17.00
13:30 - 13:45,-64.00,0.00,-0.30,7.49,-9.00
13:45 - 14:00,-61.00,0.00,-0.30,6.92,-16.00
14:00 - 14:15,0.00,0.00,-0.30,6.72,-29.00
14:15 - 14:30,0.00,0.00,-0.30,6.72,-41.00
14:30 - 14:45,0.00,0.00,-0.30,6.72,-20.00
14:45 - 15:00,0.00,14.41,-0.30,5.76,-48.00
15:00 - 15:15,-15.00,0.00,-0.30,5.76,-55.00
15:15 - 15:30,-73.00,0.00,-0.30,6.72,-60.00
15:30 - 15:45,-85.00,-15.00,-0.30,5.76,-61.00
15:45 - 16:00,-45.00,-19.00,-0.30,5.76,-55.00
16:00 - 16:15,-29.00,-28.00,-0.30,7.01,-94.00
16:15 - 16:30,-20.00,-29.00,-0.30,7.69,-117.00
16:30 - 16:45,0.00,0.00,-0.30,7.69,-131.00
16:45 - 17:00,0.00,0.00,-0.30,8.17,-186.00
17:00 - 17:15,9.61,14.41,-0.30,10.57,-66.00
17:15 - 17:30,-37.00,11.34,-0.30,12.27,-128.00
17:30 - 17:45,-36.00,8.99,-0.30,13.48,-125.00
17:45 - 18:00,16.33,9.61,-0.30,15.37,-123.00
18:00 - 18:15,15.85,20.87,-0.30,14.60,-117.00
18:15 - 18:30,31.19,49.02,-0.30,15.15,-86.00
18:30 - 18:45,24.02,50.92,-0.30,15.37,-90.00
18:45 - 19:00,15.37,39.39,-0.30,15.37,-165.00
19:00 - 19:15,16.33,0.00,-0.30,15.37,-114.00
19:15 - 19:30,11.53,0.00,-0.30,14.89,-54.00
19:30 - 19:45,0.00,0.00,-0.30,13.93,-39.00
19:45 - 20:00,0.00,0.00,-0.30,13.74,-27.00
20:00 - 20:15,0.00,26.90,-0.30,12.49,-4.00
20:15 - 20:30,0.00,27.86,-0.30,12.49,-8.00
20:30 - 20:45,0.00,0.00,-0.30,12.30,4.80
20:45 - 21:00,0.00,8.65,-0.30,11.71,7.69
21:00 - 21:15,0.00,0.00,-0.30,11.53,12.49
21:15 - 21:30,0.00,0.00,-0.30,10.57,2.88
21:30 - 21:45,-13.00,0.00,-0.30,9.90,1.92
21:45 - 22:00,-13.00,0.00,-0.30,9.61,0.00
22:00 - 22:15,-12.00,0.00,-1.30,9.32,14.41
22:15 - 22:30,-12.00,0.00,-1.30,8.65,24.01
22:30 - 22:45,0.00,0.00,-1.30,8.55,37.47
22:45 - 23:00,0.00,0.00,-1.30,7.88,24.98
23:00 - 23:15,0.00,-5.00,-1.30,7.40,37.46
23:15 - 23:30,0.00,-5.00,-1.30,7.21,24.01
23:30 - 23:45,35.54,0.00,-1.30,6.92,12.49
23:45 - 24:00,81.66,0.00,-1.30,6.72,0.00
