genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
37,0,0,0,6.82011275,0,0,0,10.99481625,,2.2003696,0,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,1.54236225,8.3416025,3.509792,182.39002155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,2.4831191,3.2234906,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,1.0579998,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
38,0,0,0,6.82011275,0,0,0,10.99481625,,2.2003696,0,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,1.54236225,8.3416025,3.509792,182.39002155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,2.4831191,3.2234906,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,1.0579998,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
39,0,0,0,6.82011275,0,0,0,10.99481625,,2.2003696,0,6.6684222,3.2668999,0,0,0,13.32028555,4.1059216,0,8.3416025,3.509792,168.18187155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,0.6631933,3.2234906,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0.2598596,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
40,0,0,0,6.82011275,0,0,0,10.99481625,,2.2003696,0,6.6684222,1.6341501,0,0,0,13.32028555,4.1059216,0,8.3416025,3.509792,168.18187155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,11.8573037,,,,,,,0.6631933,3.2234906,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0.2598596,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
41,0,0,0,6.82011275,0,0,0,10.99481625,,2.2003696,0,6.6684222,1.6341501,0,0,0,13.32028555,4.1059216,0,8.3416025,3.509792,158.70977155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,7.8939311,,,,,,,0.6631933,2.7501892,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0.2598596,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
42,0,0,0,6.7323465,0,0,0,10.99481625,,2.2003696,0,6.6684222,1.6341501,0,0,0,13.32028555,4.1059216,0,8.3416025,3.509792,158.70977155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,0,,,,,,,0,2.7501892,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0.2598596,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
43,0,0,0,6.7323465,0,0,0,10.99481625,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.32028555,4.1059216,0,8.3416025,3.509792,158.70977155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,0,,,,,,,0,0,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0.2598596,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
44,0,0,0,6.7323465,0,0,0,10.99481625,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.32028555,4.1059216,0,8.3416025,3.509792,158.70977155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,0,,,,,,,0,0,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0.2598596,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
45,0,0,0,6.7323465,0,0,0,10.99481625,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.32028555,4.1059216,0,8.3416025,3.509792,158.70977155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,0,,,,,,,0,0,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0.2598596,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
46,0,0,0,6.7323465,0,0,0,10.99481625,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.32028555,4.1059216,0,8.3416025,3.509792,158.70977155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,0,,,,,,,0,0,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,2.6663175,,,23.565795,,0,,0.2598596,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
47,0,0,0,6.7323465,0,0,0,10.99481625,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.32028555,4.1059216,0,8.3416025,3.509792,158.70977155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,0,,,,,,,0,0,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,1.77895575,,,23.565795,,0,,0.2598596,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
48,0,0,0,6.7323465,0,0,0,10.99481625,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.32028555,4.1059216,0,8.3416025,3.509792,158.70977155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,0,,,,,,,0,0,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,1.77895575,,,23.565795,,0,,0.2598596,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
49,0,0,0,6.7323465,0,0,0,10.99481625,,2.2003696,0,4.4442486,1.6341501,0,0,0,13.32028555,4.1059216,0,8.3416025,3.509792,158.70977155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,0,,,,,,,0,0,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,35.3316249,0.8887725,,,23.565795,,0,,0.2598596,0,,,3.5657985,7.155225,4.4514976,0,8.1957018,5.3833395,
