Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
12:30 - 12:45,-12.00,-10.00,-1.59,3.09,-10.00,-150.00
12:45 - 13:00,-5.00,-10.00,-4.24,4.25,-10.00,-149.99
13:00 - 13:15,29.93,0.00,-3.29,4.25,-10.00,-160.00
13:15 - 13:30,41.51,0.00,-5.50,3.19,-10.00,-160.00
13:30 - 13:45,44.42,0.00,-5.50,3.28,-10.00,-140.00
13:45 - 14:00,55.04,0.00,-5.50,2.41,-10.00,-140.00
14:00 - 14:15,0.00,0.00,-5.50,5.79,-10.00,-130.00
14:15 - 14:30,0.00,0.00,-5.50,2.90,-10.00,-120.00
14:30 - 14:45,0.00,0.00,-5.50,3.19,-10.00,-130.00
14:45 - 15:00,0.00,0.00,-5.50,2.70,-10.00,-130.00
15:00 - 15:15,15.45,9.66,-5.50,8.30,-10.00,-120.00
15:15 - 15:30,21.24,14.48,-5.50,8.11,-10.00,-105.00
15:30 - 15:45,37.66,-48.00,-5.50,8.01,-10.00,-105.00
15:45 - 16:00,35.73,-47.00,-5.50,7.72,-10.00,-80.00
16:00 - 16:15,21.24,-70.00,-5.50,6.76,-10.00,-20.00
16:15 - 16:30,3.86,-97.00,-5.50,6.18,-10.00,0.00
16:30 - 16:45,-15.00,-84.00,-5.50,5.79,-10.00,0.00
16:45 - 17:00,-12.00,-75.00,-5.50,5.79,-10.00,0.00
17:00 - 17:15,-21.00,-92.00,-5.50,5.79,0.00,-160.00
17:15 - 17:30,1.93,-62.00,-5.50,5.79,0.00,-130.00
17:30 - 17:45,-19.00,-88.00,-5.50,5.79,0.00,-100.00
17:45 - 18:00,-3.00,-92.00,-5.50,6.28,0.00,-120.00
18:00 - 18:15,-66.00,-88.00,-5.50,6.47,0.00,-30.00
18:15 - 18:30,-61.00,-81.00,-5.50,6.76,0.00,-60.00
18:30 - 18:45,-99.00,-120.00,-5.50,7.24,0.00,-120.00
18:45 - 19:00,-73.00,-125.00,-5.50,7.24,0.00,-130.00
19:00 - 19:15,-76.00,-94.00,-5.50,7.24,0.00,-110.00
19:15 - 19:30,-82.00,-62.00,-5.50,7.24,0.00,-65.00
19:30 - 19:45,-22.00,-54.00,-5.50,7.24,0.00,-160.00
19:45 - 20:00,-36.00,-65.00,-5.50,14.19,0.00,-165.00
20:00 - 20:15,0.00,-19.00,-5.50,14.10,0.00,-165.00
20:15 - 20:30,-10.00,-29.00,-5.50,13.23,0.00,-165.00
20:30 - 20:45,17.38,-4.00,-5.50,12.74,0.00,-60.00
20:45 - 21:00,29.94,-18.00,-5.50,12.45,0.00,-10.00
21:00 - 21:15,-33.00,0.00,-5.50,12.16,0.00,9.66
21:15 - 21:30,-35.00,0.00,-5.50,12.17,0.00,19.31
21:30 - 21:45,-27.00,0.00,-5.50,11.97,0.00,67.59
21:45 - 22:00,-27.00,0.00,-5.50,11.68,0.00,77.24
22:00 - 22:15,0.00,14.48,-6.00,11.68,0.00,86.90
22:15 - 22:30,10.62,24.14,-6.00,10.91,0.00,86.89
22:30 - 22:45,18.34,25.10,-6.00,10.33,0.00,70.49
22:45 - 23:00,22.21,27.03,-6.00,9.75,0.00,83.04
23:00 - 23:15,21.24,28.00,-6.00,9.17,0.00,-17.00
23:15 - 23:30,32.83,39.59,-6.00,8.98,0.00,46.34
23:30 - 23:45,18.34,27.03,-6.00,8.69,0.00,47.32
23:45 - 24:00,-23.00,24.13,-6.00,8.50,0.00,6.76
