Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
17:30 - 17:45,39.52,230.40,0.29,-1.00,13.98,0.00,0.00,-2.00
17:45 - 18:00,3.86,214.01,0.29,-1.00,15.42,0.00,0.29,-27.00
18:00 - 18:15,280.70,219.06,0.29,-1.00,15.65,0.00,0.00,-54.00
18:15 - 18:30,74.30,176.20,0.19,-1.00,11.17,0.00,0.00,-15.00
18:30 - 18:45,123.95,307.89,0.17,-1.00,9.80,1.21,0.00,-46.00
18:45 - 19:00,113.14,312.74,0.19,-1.00,10.81,1.33,0.00,-49.00
19:00 - 19:15,130.49,228.77,0.25,-1.00,14.40,0.67,0.00,-58.00
19:15 - 19:30,144.60,246.78,0.29,-1.00,15.91,0.00,0.00,-67.00
19:30 - 19:45,113.75,217.87,0.29,-1.00,15.42,0.00,0.00,-50.00
19:45 - 20:00,180.27,241.97,0.29,-1.00,15.42,0.00,0.00,22.17
20:00 - 20:15,217.86,219.80,0.29,-1.00,14.94,0.00,0.00,34.70
20:15 - 20:30,224.61,209.19,0.29,-1.00,14.94,0.00,0.00,26.03
20:30 - 20:45,249.68,220.76,0.77,-1.00,14.46,0.00,0.00,51.09
20:45 - 21:00,264.13,221.72,0.77,-1.00,13.98,0.00,0.00,54.95
21:00 - 21:15,242.93,214.97,0.77,-1.00,13.98,0.00,0.00,58.80
21:15 - 21:30,246.78,227.50,0.77,-1.00,13.50,0.00,0.00,59.77
21:30 - 21:45,219.79,218.83,0.77,-1.00,13.01,0.00,0.00,54.95
21:45 - 22:00,207.26,224.61,0.77,-1.00,12.53,0.00,0.00,136.89
22:00 - 22:15,72.30,202.44,0.77,-1.80,11.18,0.00,0.29,-1.00
22:15 - 22:30,84.83,217.87,0.77,-1.80,10.99,0.00,0.29,-1.00
22:30 - 22:45,101.22,218.83,0.77,-1.80,10.60,0.00,0.29,11.57
22:45 - 23:00,102.18,223.65,0.77,-1.80,10.41,0.00,0.29,11.57
23:00 - 23:15,119.54,241.96,0.77,-1.80,10.22,0.00,0.29,19.28
23:15 - 23:30,112.79,236.17,0.77,-1.80,10.03,0.00,0.29,19.28
23:30 - 23:45,85.80,234.25,0.77,-1.80,9.83,0.00,0.29,19.28
23:45 - 24:00,74.23,224.61,0.77,-1.80,9.64,0.00,0.29,19.28
