Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
12:00 - 12:15,71.34,-12.00,0.67,-0.50,9.93,0.29,-35.00
12:15 - 12:30,74.23,-10.00,0.67,-0.50,8.87,0.29,-34.00
12:30 - 12:45,80.98,-20.00,0.67,-0.50,9.16,0.29,-30.00
12:45 - 13:00,88.69,-25.00,0.67,-0.50,9.16,0.29,-32.00
13:00 - 13:15,46.27,-28.00,0.67,-0.50,8.68,0.29,-49.00
13:15 - 13:30,46.27,-26.00,0.67,-0.50,8.68,0.29,-49.00
13:30 - 13:45,61.70,-12.00,0.67,-0.50,4.34,0.29,-14.00
13:45 - 14:00,81.95,-4.00,0.67,-0.50,5.30,0.29,12.53
14:00 - 14:15,33.74,0.00,0.67,-0.50,8.19,0.29,92.55
14:15 - 14:30,30.85,0.00,0.67,-0.50,4.82,0.29,59.77
14:30 - 14:45,57.84,-5.00,0.67,-0.50,7.71,0.29,73.27
14:45 - 15:00,69.41,0.00,0.67,-0.50,8.68,0.29,96.40
15:00 - 15:15,24.10,0.00,0.67,-0.50,6.75,0.29,-18.00
15:15 - 15:30,44.34,0.00,0.67,-0.50,6.27,0.29,93.51
15:30 - 15:45,67.48,-16.00,0.67,-0.50,5.78,0.29,52.06
15:45 - 16:00,77.12,-15.00,0.67,-0.50,6.27,0.29,60.73
16:00 - 16:15,81.94,-15.00,0.67,-0.50,6.75,0.29,60.73
16:15 - 16:30,71.34,-15.00,0.67,-0.50,5.78,0.29,52.06
16:30 - 16:45,52.06,0.00,0.67,-0.50,6.27,0.29,48.20
16:45 - 17:00,42.42,0.00,0.67,-0.50,6.75,0.29,48.20
17:00 - 17:15,19.28,-17.00,0.67,-0.50,4.82,0.29,48.20
17:15 - 17:30,11.57,-14.00,0.67,-0.50,4.82,0.29,24.10
17:30 - 17:45,16.39,0.00,0.67,-0.50,5.78,0.29,33.75
17:45 - 18:00,-10.00,0.00,0.67,-0.50,5.78,0.29,43.39
18:00 - 18:15,0.00,0.00,0.67,-0.50,7.71,0.29,67.49
18:15 - 18:30,0.00,-10.00,0.67,-0.50,7.23,0.29,43.38
18:30 - 18:45,29.88,0.00,0.67,-0.50,7.71,0.29,33.75
18:45 - 19:00,58.81,0.00,0.67,-0.50,6.75,0.00,28.92
19:00 - 19:15,127.25,0.00,0.67,-0.50,7.23,0.29,48.20
19:15 - 19:30,176.42,0.00,0.67,-0.50,7.71,0.29,48.20
19:30 - 19:45,167.74,0.00,0.67,-0.50,7.71,0.29,-5.00
19:45 - 20:00,161.96,0.00,0.67,-0.50,7.71,0.29,-5.00
20:00 - 20:15,116.65,24.10,0.67,-0.50,13.40,0.29,-25.00
20:15 - 20:30,109.89,23.14,0.67,-0.50,13.21,0.29,-5.00
20:30 - 20:45,153.28,43.38,0.67,-0.50,12.82,0.29,-5.00
20:45 - 21:00,162.92,48.20,0.67,-0.50,12.63,0.29,9.64
21:00 - 21:15,166.77,43.38,0.67,-0.50,12.44,0.29,-5.00
21:15 - 21:30,174.49,50.13,0.67,-0.50,12.05,0.29,-25.00
21:30 - 21:45,175.45,43.38,0.67,-0.50,11.09,0.29,-35.00
21:45 - 22:00,188.95,43.38,0.67,-0.50,10.89,0.29,-35.00
22:00 - 22:15,284.39,31.81,0.67,-1.50,10.60,0.29,-15.00
22:15 - 22:30,294.02,33.74,0.67,-1.50,10.51,0.29,-15.00
22:30 - 22:45,276.67,14.46,0.67,-1.50,10.12,0.29,-15.00
22:45 - 23:00,283.42,0.00,0.67,-1.50,9.93,0.29,-10.00
23:00 - 23:15,286.31,0.00,0.67,-1.50,9.64,0.29,-10.00
23:15 - 23:30,286.32,0.00,0.67,-1.50,9.25,0.29,-10.00
23:30 - 23:45,252.57,0.00,0.67,-1.50,9.16,0.29,-35.00
23:45 - 24:00,247.75,0.00,0.67,-1.50,8.87,0.29,-35.00
