Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
13:45 - 14:00,53.02,0.00,0.77,-0.50,12.05,0.00,0.29,19.28
14:00 - 14:15,70.38,0.00,0.77,-0.50,9.83,0.00,0.29,28.92
14:15 - 14:30,74.23,0.00,0.77,-0.50,11.57,0.00,0.29,28.92
14:30 - 14:45,38.56,0.00,0.77,-0.50,12.53,0.00,0.29,28.92
14:45 - 15:00,45.30,0.00,0.77,-0.50,13.50,0.00,0.29,28.92
15:00 - 15:15,61.69,0.00,0.77,-0.50,13.98,0.00,0.29,-25.00
15:15 - 15:30,65.55,0.00,0.77,-0.50,11.28,0.00,0.29,-20.00
15:30 - 15:45,79.05,0.00,0.77,-0.50,9.45,0.00,0.29,53.02
15:45 - 16:00,91.58,0.00,0.77,-0.50,11.57,0.00,0.29,0.00
16:00 - 16:15,52.06,0.00,0.77,-0.50,12.53,0.00,0.29,-31.00
16:15 - 16:30,24.10,0.00,0.77,-0.50,12.05,0.00,0.29,-32.00
16:30 - 16:45,91.58,0.00,0.77,-0.50,12.53,0.00,0.29,-18.00
16:45 - 17:00,79.05,0.00,0.77,-0.50,12.53,0.00,0.29,65.55
17:00 - 17:15,154.24,55.91,0.77,-0.50,13.50,0.00,0.00,86.76
17:15 - 17:30,159.06,85.80,0.77,-0.50,14.07,0.00,0.00,94.47
17:30 - 17:45,123.39,119.54,0.29,-0.50,14.46,0.00,0.00,106.04
17:45 - 18:00,94.39,125.57,0.24,-0.50,12.40,0.00,0.00,54.39
18:00 - 18:15,93.46,128.79,0.18,-0.50,9.77,0.54,0.00,26.36
18:15 - 18:30,77.11,108.60,0.16,-0.50,8.91,0.54,0.00,9.24
18:30 - 18:45,165.29,141.48,0.13,-0.50,7.18,1.84,0.00,-2.00
18:45 - 19:00,176.52,145.52,0.14,-0.50,7.49,1.47,0.00,-2.00
19:00 - 19:15,182.91,182.22,0.20,-0.50,10.58,8.12,0.00,-1.00
19:15 - 19:30,216.68,230.26,0.22,-0.50,11.55,8.38,0.00,-22.00
19:30 - 19:45,107.00,161.96,0.29,-0.50,14.46,12.24,0.00,-15.00
19:45 - 20:00,121.46,146.53,0.29,-0.50,14.46,0.00,0.00,-17.00
20:00 - 20:15,155.21,113.75,0.29,-0.50,14.07,0.00,0.29,-17.00
20:15 - 20:30,141.71,101.22,0.29,-0.50,14.07,0.00,0.29,4.82
20:30 - 20:45,187.01,116.64,0.77,-0.50,13.50,0.00,0.29,13.50
20:45 - 21:00,187.02,102.18,0.77,-0.50,12.53,0.00,0.29,8.68
21:00 - 21:15,136.89,80.01,0.77,-0.50,11.95,0.00,0.29,8.68
21:15 - 21:30,143.64,92.54,0.77,-0.50,11.76,0.00,0.29,9.64
21:30 - 21:45,126.28,104.11,0.77,-0.50,11.57,0.00,0.29,-10.00
21:45 - 22:00,140.75,107.00,0.77,-0.50,10.99,0.00,0.29,17.35
22:00 - 22:15,207.26,115.68,0.77,-1.50,10.60,0.00,0.29,4.82
22:15 - 22:30,195.70,111.82,0.77,-1.50,10.12,0.00,0.29,6.75
22:30 - 22:45,165.81,108.93,0.77,-1.50,9.93,0.00,0.29,38.56
22:45 - 23:00,161.96,107.00,0.77,-1.50,9.64,0.00,0.29,48.20
23:00 - 23:15,160.99,78.08,0.77,-1.50,8.68,0.00,0.29,62.66
23:15 - 23:30,153.27,80.98,0.77,-1.50,8.68,0.00,0.29,91.58
23:30 - 23:45,159.06,26.99,0.77,-1.50,8.68,0.00,0.29,106.04
23:45 - 24:00,154.24,27.96,0.77,-1.50,8.58,0.00,0.29,96.40
