Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
10:30 - 10:45,123.39,7.71,0.77,-0.80,13.50,0.29,33.74
10:45 - 11:00,117.62,15.42,0.77,-0.80,13.30,0.29,28.92
11:00 - 11:15,70.38,46.27,0.77,-0.80,13.01,0.29,9.64
11:15 - 11:30,68.44,51.09,0.77,-0.80,11.86,0.29,14.46
11:30 - 11:45,68.45,53.02,0.77,-0.80,12.24,0.29,19.28
11:45 - 12:00,65.55,19.28,0.77,-0.80,12.05,0.29,19.28
12:00 - 12:15,76.16,19.28,0.77,-0.80,11.76,0.29,14.46
12:15 - 12:30,72.30,19.28,0.77,-0.80,11.38,0.29,14.46
12:30 - 12:45,75.19,0.00,0.77,-0.80,11.09,0.29,43.38
12:45 - 13:00,75.20,0.00,0.77,-0.80,10.60,0.29,33.74
13:00 - 13:15,72.30,0.00,0.77,-0.80,11.09,0.29,38.56
13:15 - 13:30,77.12,0.00,0.77,-0.80,11.57,0.29,86.76
13:30 - 13:45,98.33,0.00,0.77,-0.80,11.57,0.29,115.68
13:45 - 14:00,98.33,0.00,0.77,-0.80,11.57,0.29,115.68
14:00 - 14:15,113.75,0.00,0.77,-0.80,11.57,0.29,24.10
14:15 - 14:30,110.86,0.00,0.77,-0.80,12.05,0.29,28.92
14:30 - 14:45,109.90,0.00,0.77,-0.80,12.53,0.29,101.22
14:45 - 15:00,107.97,0.00,0.77,-0.80,12.53,0.29,86.76
15:00 - 15:15,102.19,29.88,0.77,-0.80,11.57,0.29,62.66
15:15 - 15:30,104.11,47.24,0.77,-0.80,11.57,0.29,-5.00
15:30 - 15:45,120.50,71.34,0.77,-0.80,12.53,0.29,-5.00
15:45 - 16:00,118.58,82.90,0.77,-0.80,13.01,0.29,-10.00
16:00 - 16:15,110.85,98.33,0.77,-0.80,13.50,0.29,-10.00
16:15 - 16:30,100.26,110.85,0.77,-0.80,13.98,0.29,-15.00
16:30 - 16:45,125.32,135.92,0.77,-0.80,13.50,0.29,-11.00
16:45 - 17:00,123.39,155.20,0.77,-0.80,13.98,0.10,-106.00
17:00 - 17:15,122.43,168.70,0.29,-0.80,14.94,0.00,124.36
17:15 - 17:30,138.82,197.62,0.29,-0.80,15.42,0.00,21.21
17:30 - 17:45,90.62,130.14,0.29,-0.80,14.94,0.00,35.67
17:45 - 18:00,91.46,125.66,0.28,-0.80,14.78,0.00,31.42
18:00 - 18:15,56.29,84.43,0.21,-0.80,11.61,0.00,-44.00
18:15 - 18:30,51.94,76.22,0.17,-0.80,9.60,0.00,-38.00
18:30 - 18:45,43.04,51.30,0.09,-0.80,4.85,0.00,-52.00
18:45 - 19:00,34.37,51.84,0.09,-0.80,5.03,0.00,-55.00
19:00 - 19:15,25.82,46.94,0.09,-0.80,4.98,0.00,-73.00
19:15 - 19:30,34.22,53.47,0.11,-0.80,5.71,0.00,-75.00
19:30 - 19:45,186.10,76.87,0.24,-0.80,12.95,0.00,-59.00
19:45 - 20:00,154.24,168.70,0.29,-0.80,14.46,0.00,-46.00
20:00 - 20:15,130.14,149.42,0.29,-0.80,14.07,0.29,0.00
20:15 - 20:30,134.96,159.05,0.29,-0.80,13.50,0.29,0.00
20:30 - 20:45,113.75,158.10,0.77,-0.80,13.01,0.25,0.00
20:45 - 21:00,145.56,158.10,0.77,-0.80,12.53,0.00,0.00
21:00 - 21:15,175.45,159.06,0.77,-0.80,12.05,0.00,14.46
21:15 - 21:30,172.56,163.88,0.77,-0.80,11.57,0.00,22.17
21:30 - 21:45,121.46,134.00,0.77,-0.80,11.57,0.00,34.70
21:45 - 22:00,141.71,134.00,0.77,-0.80,10.60,0.00,44.34
22:00 - 22:15,145.57,128.21,0.77,-2.00,10.60,0.29,28.92
22:15 - 22:30,142.67,124.36,0.77,-2.00,10.12,0.29,26.99
22:30 - 22:45,135.93,111.82,0.77,-2.00,9.64,0.00,19.28
22:45 - 23:00,133.99,109.90,0.77,-2.00,8.68,0.29,14.46
23:00 - 23:15,170.63,174.48,0.77,-2.00,8.68,0.29,-175.00
23:15 - 23:30,160.99,172.56,0.77,-2.00,8.19,0.29,-180.00
23:30 - 23:45,152.31,158.10,0.77,-2.00,7.71,0.29,-180.00
23:45 - 24:00,154.24,153.28,0.77,-2.00,7.71,0.29,-175.00
