Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
21:30 - 21:45,0.00,18.31,14.46,-33.00,20.24
21:45 - 22:00,0.00,26.02,14.46,-34.00,5.78
22:00 - 22:15,0.00,32.77,14.46,-6.00,-15.00
22:15 - 22:30,0.00,53.01,14.46,-6.00,-25.00
22:30 - 22:45,66.50,67.47,13.49,-6.00,-75.00
22:45 - 23:00,94.45,80.00,13.49,-6.00,-80.00
23:00 - 23:15,141.67,80.00,12.53,-6.00,-80.00
23:15 - 23:30,186.01,78.07,12.53,-6.00,-80.00
23:30 - 23:45,139.74,75.18,11.57,-6.00,-90.00
23:45 - 24:00,163.84,62.65,11.57,-6.00,-35.00
