Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
21:15 - 21:30,-71.00,-5.00,-1.00,2.43,-41.00,0.73,-8.00,-65.00
21:30 - 21:45,-67.00,0.00,-1.00,1.74,-41.00,0.60,0.00,-60.00
21:45 - 22:00,-65.00,0.00,-1.00,1.56,-41.00,0.30,0.00,-45.00
22:00 - 22:15,-133.00,0.00,-1.00,1.50,-41.00,0.07,0.00,-40.00
22:15 - 22:30,-128.00,0.00,-1.00,1.38,-37.00,0.02,0.00,-30.00
22:30 - 22:45,-13.00,0.00,-1.00,1.04,-38.00,0.13,0.00,-7.00
22:45 - 23:00,0.88,2.72,-1.00,1.04,-42.00,0.05,0.00,-5.00
23:00 - 23:15,7.61,94.29,-1.00,1.28,-48.00,0.10,0.00,-15.00
23:15 - 23:30,7.78,115.65,-1.00,1.17,-48.00,0.16,0.00,-28.00
23:30 - 23:45,57.50,137.68,-1.00,1.38,-50.00,0.00,0.00,-6.00
23:45 - 24:00,69.63,104.45,-1.00,1.48,-53.00,0.00,0.00,-14.00
