Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
06:00 - 06:15,36.86,0.00,0.68,-1.50,16.20,0.29,-90.00
06:15 - 06:30,45.60,0.00,0.68,-1.50,16.49,0.29,-75.00
06:30 - 06:45,36.87,0.00,0.68,-1.50,16.49,0.29,-80.00
06:45 - 07:00,37.84,0.00,0.68,-1.50,16.49,0.29,-95.00
07:00 - 07:15,40.75,0.00,0.68,-1.50,16.49,0.29,-100.00
07:15 - 07:30,48.51,0.00,0.68,-1.50,16.49,0.29,-80.00
07:30 - 07:45,46.57,-44.00,0.68,-1.50,16.49,0.29,-80.00
07:45 - 08:00,65.00,-28.00,0.68,-1.50,16.49,0.29,-100.00
08:00 - 08:15,82.46,-13.00,0.68,-1.50,9.99,0.29,-80.00
08:15 - 08:30,85.36,-9.00,0.68,-1.50,10.19,0.29,-90.00
08:30 - 08:45,106.71,-30.00,0.68,-1.50,9.80,0.29,-90.00
08:45 - 09:00,111.56,-89.00,0.68,-7.00,10.19,0.29,-100.00
09:00 - 09:15,73.72,-101.00,0.68,-6.00,10.87,0.29,-60.00
09:15 - 09:30,54.33,-120.00,0.68,-6.00,7.47,0.29,-60.00
09:30 - 09:45,30.07,-82.00,0.68,-6.00,10.48,0.29,0.00
09:45 - 10:00,14.55,-30.00,0.68,-6.00,10.48,0.29,0.00
10:00 - 10:15,0.00,-41.00,0.68,-6.00,8.54,0.29,0.00
10:15 - 10:30,0.00,-108.00,0.68,-6.00,9.22,0.29,0.00
10:30 - 10:45,54.32,-53.00,0.68,-6.00,8.25,0.29,29.10
10:45 - 11:00,59.18,-44.00,0.68,-6.00,7.76,0.29,29.10
11:00 - 11:15,103.80,-15.00,0.68,-6.00,7.76,0.29,17.46
11:15 - 11:30,129.03,0.00,0.68,-6.00,7.95,0.29,20.37
11:30 - 11:45,156.18,0.00,0.68,-6.00,6.89,0.29,62.09
11:45 - 12:00,157.15,0.00,0.68,-6.00,7.28,0.29,58.21
12:00 - 12:15,149.39,0.00,0.68,-6.00,6.89,0.29,80.52
12:15 - 12:30,148.42,0.00,0.68,-6.00,7.28,0.29,75.67
12:30 - 12:45,156.19,0.00,0.68,-6.00,2.91,0.29,84.40
12:45 - 13:00,140.66,0.00,0.68,-6.00,2.91,0.29,82.46
13:00 - 13:15,152.31,0.00,0.68,-6.00,1.94,0.29,38.80
13:15 - 13:30,149.39,0.00,0.68,-6.00,3.40,0.29,34.92
13:30 - 13:45,222.16,0.00,0.68,-6.00,1.94,0.29,44.62
13:45 - 14:00,236.71,0.00,0.68,-6.00,4.27,0.29,39.77
14:00 - 14:15,222.15,0.00,0.68,-6.00,2.43,0.29,23.28
14:15 - 14:30,208.57,0.00,0.68,-6.00,1.94,0.29,18.43
14:30 - 14:45,207.60,0.00,0.68,-6.00,4.85,0.29,9.70
14:45 - 15:00,202.75,0.00,0.68,-6.00,5.14,0.29,9.70
15:00 - 15:15,212.46,-20.00,0.68,-6.00,5.04,0.29,39.77
15:15 - 15:30,218.28,-10.00,0.68,-6.00,4.85,0.29,40.74
15:30 - 15:45,199.84,-32.00,0.68,-6.00,5.34,0.29,16.49
15:45 - 16:00,184.32,-20.00,0.68,-0.50,6.11,0.29,15.52
16:00 - 16:15,126.11,-10.00,0.68,-0.50,6.79,0.29,-10.00
16:15 - 16:30,106.71,0.00,0.68,-0.50,7.76,0.29,-26.00
16:30 - 16:45,95.07,0.00,0.68,-0.50,7.76,0.29,-60.00
16:45 - 17:00,98.95,0.00,0.68,-0.50,8.54,0.29,-60.00
17:00 - 17:15,92.16,-10.00,0.68,-0.50,9.22,0.29,-5.00
17:15 - 17:30,120.29,0.00,0.68,-0.50,9.41,0.29,-175.00
17:30 - 17:45,49.47,0.00,0.68,-0.50,9.51,0.29,-145.00
17:45 - 18:00,52.38,0.00,0.68,-0.50,10.19,0.29,-150.00
18:00 - 18:15,62.09,0.00,0.68,-0.50,10.38,0.29,-185.00
18:15 - 18:30,64.02,0.00,0.68,-0.50,10.48,0.29,-160.00
18:30 - 18:45,34.93,19.40,0.68,-0.50,10.67,0.29,-100.00
18:45 - 19:00,21.34,29.10,0.68,-0.50,11.16,0.29,-110.00
19:00 - 19:15,25.22,0.00,0.68,-0.50,11.16,0.29,-30.00
19:15 - 19:30,104.77,0.00,0.68,-0.50,11.16,0.29,11.64
19:30 - 19:45,115.45,38.80,0.68,-0.50,11.16,0.29,29.10
19:45 - 20:00,76.64,23.28,0.68,-0.50,11.16,0.29,33.95
20:00 - 20:15,115.45,28.13,0.68,-0.50,10.67,0.29,-20.00
20:15 - 20:30,92.16,16.49,0.68,-0.50,10.38,0.29,-10.00
20:30 - 20:45,81.49,0.00,0.68,-0.50,10.38,0.29,9.70
20:45 - 21:00,79.54,0.00,0.68,-0.50,10.19,0.29,4.85
21:00 - 21:15,95.07,0.00,0.68,-0.50,11.16,0.29,-15.00
21:15 - 21:30,76.64,0.00,0.68,-0.50,10.67,0.29,-5.00
21:30 - 21:45,102.83,3.88,0.68,-0.50,10.67,0.29,9.70
21:45 - 22:00,103.80,10.67,0.68,-0.50,10.38,0.29,29.10
22:00 - 22:15,126.11,29.10,0.68,-1.50,11.16,0.29,0.00
22:15 - 22:30,122.23,33.95,0.68,-1.50,11.16,0.29,11.64
22:30 - 22:45,78.58,0.00,0.68,-1.50,10.96,0.29,-10.00
22:45 - 23:00,81.49,0.00,0.68,-1.50,10.96,0.29,-10.00
23:00 - 23:15,74.70,0.00,0.68,-1.50,10.67,0.29,-15.00
23:15 - 23:30,70.82,0.00,0.68,-1.50,10.67,0.29,-15.00
23:30 - 23:45,49.47,0.00,0.68,-1.50,10.67,0.29,-48.00
23:45 - 24:00,64.03,0.00,0.68,-1.50,10.67,0.29,-38.00
