Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
05:00 - 05:15,154.62,0.00,0.68,-1.50,7.83,-30.00,0.00,0.29,72.48
05:15 - 05:30,143.98,0.00,0.68,-1.50,8.41,-29.00,0.00,0.29,86.98
05:30 - 05:45,112.10,26.09,0.68,-1.50,8.31,-30.00,0.00,0.29,125.63
05:45 - 06:00,81.18,42.52,0.68,-1.50,8.70,-30.00,0.00,0.29,106.30
06:00 - 06:15,85.04,13.53,0.68,-1.50,8.89,-29.00,0.00,0.29,67.65
06:15 - 06:30,66.69,0.00,0.68,-1.50,9.08,-29.00,0.00,0.29,57.98
06:30 - 06:45,41.56,-4.00,0.68,-1.50,9.28,-29.00,0.00,0.29,53.14
06:45 - 07:00,20.29,-15.00,0.68,-1.50,8.50,-29.00,0.00,0.29,48.33
07:00 - 07:15,88.91,-54.00,0.68,-1.50,7.25,-29.00,0.00,0.29,57.98
07:15 - 07:30,94.71,0.00,0.68,-1.50,7.25,-28.00,0.00,0.29,57.98
07:30 - 07:45,64.74,0.00,0.68,-1.50,6.86,-28.00,0.00,0.29,4.83
07:45 - 08:00,62.81,-20.00,0.68,-1.50,6.86,-28.00,0.00,0.29,-12.00
08:00 - 08:15,57.02,0.00,0.68,-1.50,7.05,-27.00,0.00,0.29,28.99
08:15 - 08:30,32.85,0.00,0.68,-1.50,6.09,-28.00,0.00,0.29,14.50
08:30 - 08:45,34.79,9.66,0.68,-1.50,5.61,-32.00,0.00,0.29,0.00
08:45 - 09:00,25.13,9.66,0.68,-1.50,5.80,-27.00,0.00,0.29,0.00
09:00 - 09:15,77.31,5.80,0.68,-0.50,6.96,-29.00,0.00,0.29,9.66
09:15 - 09:30,77.31,0.00,0.68,-0.50,7.25,-29.00,0.00,0.29,-10.00
09:30 - 09:45,67.64,9.66,0.68,-0.50,7.54,-28.00,0.00,0.29,19.33
09:45 - 10:00,70.54,8.70,0.68,-0.50,5.61,-28.00,0.00,0.29,-20.00
10:00 - 10:15,69.58,-14.00,0.68,-0.50,6.57,-28.00,0.00,0.29,-35.00
10:15 - 10:30,86.97,-21.00,0.68,-0.50,6.28,-28.00,0.00,0.29,-20.00
10:30 - 10:45,91.80,-38.00,0.68,-0.50,5.22,-28.00,0.00,0.29,-3.00
10:45 - 11:00,97.60,-30.00,0.68,-0.50,5.70,-28.00,0.00,0.29,8.70
11:00 - 11:15,138.19,-10.00,0.68,-0.50,5.03,-27.00,0.00,0.29,15.46
11:15 - 11:30,149.79,-15.00,0.68,-0.50,4.35,-36.00,0.00,0.29,-25.00
11:30 - 11:45,186.51,0.00,0.68,-0.50,5.41,-36.00,0.00,0.29,-17.00
11:45 - 12:00,196.17,0.00,0.68,-0.50,5.22,-32.00,0.00,0.29,-3.00
12:00 - 12:15,245.45,34.79,0.68,-0.50,5.61,-31.00,0.00,0.29,17.40
12:15 - 12:30,256.08,46.39,0.68,-0.50,6.57,-30.00,0.00,0.29,17.40
12:30 - 12:45,206.81,56.05,0.68,-0.50,6.18,-30.00,0.00,0.29,17.40
12:45 - 13:00,221.30,14.50,0.68,-0.50,6.28,-29.00,0.00,0.29,22.23
13:00 - 13:15,201.97,17.40,0.68,-0.50,6.18,-31.00,0.00,0.29,25.13
13:15 - 13:30,202.94,19.33,0.68,-0.50,5.80,-31.00,0.00,0.29,24.16
13:30 - 13:45,170.09,103.40,0.68,-0.50,4.83,-32.00,0.00,0.29,0.00
13:45 - 14:00,173.95,120.80,0.68,-0.50,5.80,-31.00,0.00,0.29,0.00
14:00 - 14:15,123.70,139.16,0.68,-0.50,5.41,-32.00,0.00,0.29,13.53
14:15 - 14:30,126.60,156.55,0.68,-0.50,7.25,-31.00,0.00,0.29,12.56
14:30 - 14:45,91.80,29.96,0.68,-0.50,8.70,-31.00,0.00,0.29,-15.00
14:45 - 15:00,105.34,4.83,0.68,-0.50,8.21,-30.00,0.00,0.29,-26.00
15:00 - 15:15,64.75,24.16,0.68,-0.50,7.73,-30.00,0.00,0.29,47.35
15:15 - 15:30,59.91,40.59,0.68,-0.50,7.73,-30.00,0.00,0.29,46.39
15:30 - 15:45,102.44,83.11,0.68,-0.50,7.73,-31.00,0.00,0.29,55.08
15:45 - 16:00,117.89,100.51,0.68,-0.50,7.73,-32.00,0.00,0.29,-31.00
16:00 - 16:15,155.58,108.24,0.68,-0.50,7.73,-35.00,0.00,0.29,135.30
16:15 - 16:30,139.16,118.87,0.68,-0.50,7.73,-27.00,0.00,0.00,64.75
16:30 - 16:45,284.12,154.62,0.68,-0.50,7.73,-15.00,0.00,0.25,64.75
16:45 - 17:00,273.49,193.28,0.68,-0.50,7.73,-10.00,0.00,0.29,59.92
17:00 - 17:15,326.64,220.34,0.68,-0.50,8.70,-10.00,0.00,0.27,120.80
17:15 - 17:30,340.17,242.57,0.68,-0.50,8.70,-10.00,0.00,0.00,116.93
17:30 - 17:45,363.36,142.06,0.68,-0.50,9.66,-10.00,0.00,0.00,132.40
17:45 - 18:00,355.64,136.26,0.68,-0.50,9.66,-10.00,0.00,0.00,130.46
18:00 - 18:15,361.43,144.96,0.29,-0.50,10.63,-13.00,0.00,0.00,49.29
18:15 - 18:30,297.20,110.98,0.28,-0.50,11.29,-18.00,3.76,0.00,29.16
18:30 - 18:45,194.83,70.81,0.13,-0.50,5.45,-19.00,3.27,0.00,23.88
18:45 - 19:00,152.79,52.09,0.10,-0.50,4.11,-20.00,2.52,0.00,20.21
19:00 - 19:15,282.62,75.93,0.05,-0.50,2.19,-23.00,1.40,0.00,7.93
19:15 - 19:30,256.23,64.36,0.05,-0.50,2.01,-25.00,1.05,0.00,5.25
19:30 - 19:45,403.47,126.26,0.05,-0.50,1.97,-26.00,1.41,0.00,5.46
19:45 - 20:00,431.16,137.28,0.05,-0.50,2.06,-26.00,1.17,0.00,4.75
20:00 - 20:15,317.33,128.78,0.08,-0.50,3.40,-29.00,2.09,0.00,5.41
20:15 - 20:30,254.15,121.20,0.07,-0.50,2.87,-30.00,1.58,0.00,8.48
20:30 - 20:45,198.73,84.90,0.08,-0.50,3.21,-30.00,1.78,0.00,133.79
20:45 - 21:00,165.29,88.99,0.09,-0.50,3.63,-30.00,2.07,0.00,68.88
21:00 - 21:15,260.83,129.95,0.10,-0.50,4.12,-22.00,1.28,0.00,9.35
21:15 - 21:30,221.63,145.58,0.10,-0.50,4.09,-23.00,1.62,0.00,43.64
21:30 - 21:45,220.75,252.14,0.14,-0.50,6.47,-22.00,3.14,0.00,74.74
21:45 - 22:00,176.74,277.71,0.15,-0.50,6.47,-23.00,3.13,0.00,75.75
22:00 - 22:15,144.39,218.29,0.16,-1.50,10.66,-23.00,3.02,0.00,125.92
22:15 - 22:30,148.10,208.39,0.14,-1.50,9.23,-22.00,3.72,0.00,111.64
22:30 - 22:45,108.24,251.26,0.19,-1.50,11.79,-23.00,4.45,0.00,154.62
22:45 - 23:00,125.63,259.96,0.19,-1.50,11.79,-23.00,5.90,0.00,173.95
23:00 - 23:15,57.98,122.73,0.19,-1.50,11.40,-23.00,5.12,0.00,130.48
23:15 - 23:30,105.34,125.63,0.19,-1.50,11.11,-23.00,3.58,0.00,140.13
23:30 - 23:45,156.56,125.63,0.19,-1.50,10.82,-23.00,2.71,0.00,137.23
23:45 - 24:00,161.39,125.63,0.19,-1.50,10.63,-24.00,2.22,0.00,124.67
