Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
13:45 - 14:00,-122.00,78.83,0.00,10.57,0.00,-120.00
14:00 - 14:15,-118.00,63.45,0.00,9.61,0.00,-87.00
14:15 - 14:30,-123.00,66.33,0.00,9.61,0.00,-92.00
14:30 - 14:45,-103.00,74.02,0.00,9.61,0.00,-105.00
14:45 - 15:00,-165.00,74.02,0.00,9.61,0.00,-104.00
15:00 - 15:15,-148.00,92.29,-0.30,8.65,-15.06,-107.00
15:15 - 15:30,-137.00,94.21,-0.21,8.65,-10.70,-99.00
15:30 - 15:45,-135.00,87.48,-0.50,8.65,-27.00,-94.00
15:45 - 16:00,-130.00,85.56,-0.50,8.65,-27.00,-87.00
16:00 - 16:15,-168.00,49.99,-0.50,9.61,-27.00,-99.00
16:15 - 16:30,-125.00,25.96,-0.50,10.57,-29.00,-89.00
16:30 - 16:45,-52.00,26.92,-0.50,11.05,-28.00,-130.00
16:45 - 17:00,-37.00,17.30,-0.50,11.54,-26.00,-146.00
17:00 - 17:15,-53.00,32.68,-0.50,12.50,-15.00,-119.00
17:15 - 17:30,-16.00,28.84,-0.50,12.98,-10.00,-126.00
17:30 - 17:45,0.00,24.99,-0.50,13.17,-13.00,-97.00
17:45 - 18:00,70.17,-45.00,-0.50,13.46,-12.00,-96.00
18:00 - 18:15,48.07,-21.00,-0.50,14.13,0.00,-189.00
18:15 - 18:30,59.60,14.42,-0.50,14.90,0.00,-86.00
18:30 - 18:45,34.61,9.61,-0.50,15.96,0.00,-117.00
18:45 - 19:00,20.19,0.00,-0.50,16.34,0.00,-121.00
19:00 - 19:15,-12.00,0.00,-0.50,16.82,0.00,-110.00
19:15 - 19:30,-94.00,0.00,-0.50,17.11,0.00,-100.00
19:30 - 19:45,-77.00,-7.00,-0.50,17.11,0.00,-55.00
19:45 - 20:00,-32.00,-5.00,-0.50,16.82,0.00,-43.00
20:00 - 20:15,-26.00,0.00,-0.50,16.82,0.00,-20.00
20:15 - 20:30,13.46,0.00,-0.50,15.96,0.00,-18.00
20:30 - 20:45,32.68,0.00,-0.50,15.96,0.00,-76.00
20:45 - 21:00,43.26,0.00,-0.50,15.38,0.00,-95.00
21:00 - 21:15,76.90,0.00,-0.60,15.38,-10.00,-36.00
21:15 - 21:30,81.71,0.00,-0.60,14.90,-10.00,-35.00
21:30 - 21:45,49.03,0.00,-0.60,14.42,-10.00,-44.00
21:45 - 22:00,0.00,14.42,-0.60,13.17,-13.00,-46.00
22:00 - 22:15,-19.00,26.91,-0.60,12.79,-15.00,-65.00
22:15 - 22:30,0.00,21.14,-0.60,12.02,-17.00,-68.00
22:30 - 22:45,52.88,38.45,-0.60,11.05,-18.00,-63.00
22:45 - 23:00,116.32,66.33,-0.60,10.09,-20.00,-193.00
23:00 - 23:15,124.97,63.45,-0.60,9.13,-23.00,-59.00
23:15 - 23:30,129.77,94.21,-0.60,8.65,-25.00,-57.00
23:30 - 23:45,149.00,88.44,-0.60,8.46,-27.00,-60.00
23:45 - 24:00,138.43,86.52,-0.60,8.17,-29.00,-60.00
