Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
14:30 - 14:45,0.00,-39.00,16.25,0.00,-70.00
14:45 - 15:00,10.51,-43.00,15.30,0.00,-71.00
15:00 - 15:15,25.81,-15.00,16.25,0.00,-61.00
15:15 - 15:30,57.36,-10.00,15.29,0.00,-56.00
15:30 - 15:45,51.62,14.34,16.25,0.00,-70.00
15:45 - 16:00,14.34,-47.00,16.25,0.00,-45.00
16:00 - 16:15,12.43,-18.00,18.16,0.00,-178.00
16:15 - 16:30,-43.00,-61.00,17.21,0.00,-85.00
16:30 - 16:45,-29.00,-65.00,17.21,0.00,-60.00
16:45 - 17:00,-13.00,-62.00,14.47,0.16,-90.00
17:00 - 17:15,16.79,-68.00,9.28,0.53,-108.00
17:15 - 17:30,27.33,-57.00,7.00,0.83,-30.00
17:30 - 17:45,11.00,-55.00,2.14,0.13,-63.00
17:45 - 18:00,21.53,-49.00,2.86,0.00,-25.00
18:00 - 18:15,94.06,0.00,3.04,0.25,3.93
18:15 - 18:30,97.40,0.00,3.10,0.18,3.96
18:30 - 18:45,70.19,0.00,3.37,0.24,3.24
18:45 - 19:00,61.24,-10.00,3.98,0.57,4.45
19:00 - 19:15,61.18,-12.00,4.17,0.32,-40.00
19:15 - 19:30,38.85,-12.00,4.90,0.17,-64.00
19:30 - 19:45,59.20,-10.00,8.40,0.59,-94.00
19:45 - 20:00,12.23,-13.00,13.97,0.58,-167.00
20:00 - 20:15,105.15,-27.00,22.94,0.00,-217.00
20:15 - 20:30,156.77,-24.00,22.94,0.00,-203.00
20:30 - 20:45,91.77,-16.00,22.94,0.00,-144.00
20:45 - 21:00,132.87,-23.00,22.94,0.00,-151.00
21:00 - 21:15,120.44,-24.00,22.37,0.00,-152.00
21:15 - 21:30,114.71,-16.00,22.37,0.00,-74.00
21:30 - 21:45,160.59,-5.00,20.84,0.00,-57.00
21:45 - 22:00,73.60,-16.00,19.50,0.00,-63.00
22:00 - 22:15,112.80,0.00,18.54,0.00,0.96
22:15 - 22:30,83.16,0.00,16.44,0.00,-20.00
22:30 - 22:45,64.04,0.00,15.68,0.00,-75.00
22:45 - 23:00,23.90,38.23,13.67,0.00,-20.00
23:00 - 23:15,15.29,43.02,11.95,0.00,-20.00
23:15 - 23:30,15.29,49.72,11.18,0.00,-55.00
23:30 - 23:45,21.03,66.92,9.65,0.00,-80.00
23:45 - 24:00,0.00,43.01,8.70,0.00,-115.00
