Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
15:30 - 15:45,-25.00,163.70,22.15,-26.00,4.82,0.00,98.23
15:45 - 16:00,-62.00,67.41,22.15,-29.00,4.82,0.00,147.33
16:00 - 16:15,0.00,88.60,24.08,-32.00,4.82,0.00,111.69
16:15 - 16:30,0.00,76.08,23.11,-34.00,4.82,0.00,158.89
16:30 - 16:45,48.15,85.71,22.15,-38.00,4.82,0.00,55.85
16:45 - 17:00,-51.00,72.22,20.22,-45.00,4.82,0.00,-79.00
17:00 - 17:15,-170.00,-20.00,22.14,-4.00,4.82,0.00,-230.00
17:15 - 17:30,-152.00,-25.00,21.18,-17.00,4.82,0.00,-235.00
17:30 - 17:45,-313.00,-49.00,20.22,-32.00,4.82,0.00,-230.00
17:45 - 18:00,-361.00,-54.00,21.18,-41.00,4.82,0.00,-225.00
18:00 - 18:15,-170.00,-120.00,21.18,-59.00,4.82,0.00,-265.00
18:15 - 18:30,-209.00,-130.00,21.18,-76.00,4.82,0.00,-260.00
18:30 - 18:45,-180.00,-96.00,22.14,-77.00,4.82,0.00,-260.00
18:45 - 19:00,-237.00,-100.00,22.14,-81.00,4.82,0.00,-25.00
19:00 - 19:15,-222.00,-105.00,21.19,-71.00,5.20,0.00,-15.00
19:15 - 19:30,-146.00,-108.00,21.19,-72.00,7.80,-22.00,-5.00
19:30 - 19:45,-112.00,-98.00,21.18,-74.00,8.67,-22.00,-10.00
19:45 - 20:00,-97.00,-86.00,16.49,-74.00,8.46,-22.00,-15.00
20:00 - 20:15,-178.00,-65.00,18.64,-70.00,9.68,0.00,-10.00
20:15 - 20:30,-211.00,-58.00,16.45,-71.00,8.93,0.00,-10.00
20:30 - 20:45,-189.00,-59.00,14.19,-75.00,8.51,0.00,-15.00
20:45 - 21:00,-217.00,-47.00,13.83,-75.00,8.07,0.00,-25.00
21:00 - 21:15,-249.00,-52.00,16.85,-74.00,10.50,0.00,-30.00
21:15 - 21:30,-295.00,-55.00,16.85,-73.00,8.57,0.00,-50.00
21:30 - 21:45,-281.00,-68.00,15.41,-50.00,9.82,0.00,-100.00
21:45 - 22:00,-276.00,-56.00,15.41,-50.00,7.03,0.00,-120.00
22:00 - 22:15,-320.00,-58.00,15.41,-50.00,6.26,0.00,-130.00
22:15 - 22:30,-319.00,-32.00,15.41,-50.00,9.15,0.00,-140.00
22:30 - 22:45,-323.00,-49.00,10.75,-50.00,5.78,0.00,-100.00
22:45 - 23:00,-318.00,-45.00,10.14,-50.00,5.26,0.00,-100.00
23:00 - 23:15,-261.00,-35.00,8.12,-50.00,4.21,0.00,-180.00
23:15 - 23:30,-252.00,-35.00,8.04,-50.00,3.47,0.00,-170.00
23:30 - 23:45,-196.00,-32.00,5.65,-50.00,1.76,0.00,-130.00
23:45 - 24:00,-193.00,-32.00,5.98,-50.00,1.87,0.00,-130.00
