Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
16:15 - 16:30,42.41,9.64,1.06,-0.50,6.65,-10.00,0.29,53.00
16:30 - 16:45,60.72,0.00,1.06,-0.50,7.32,-10.00,0.29,91.56
16:45 - 17:00,63.61,0.00,1.06,-0.50,9.35,-10.00,0.29,81.92
17:00 - 17:15,64.58,0.00,1.06,-0.50,10.31,-10.00,0.29,28.91
17:15 - 17:30,55.89,14.46,1.06,-0.50,10.60,-10.00,0.29,24.10
17:30 - 17:45,39.51,0.00,0.58,-0.50,11.57,0.00,0.29,14.46
17:45 - 18:00,34.69,0.00,0.58,-0.50,12.82,0.00,0.29,4.82
18:00 - 18:15,16.38,0.00,0.58,-0.50,13.20,0.00,0.29,6.75
18:15 - 18:30,-24.00,0.00,0.58,-0.50,14.16,0.00,0.13,9.64
18:30 - 18:45,-10.00,0.00,0.58,-0.50,14.46,0.00,0.00,19.27
18:45 - 19:00,-44.00,0.00,0.58,-0.50,14.26,0.00,0.00,14.46
19:00 - 19:15,-35.00,0.00,0.58,-0.50,14.17,0.00,0.29,24.09
19:15 - 19:30,0.00,0.00,0.58,-0.50,13.98,0.00,0.29,24.09
19:30 - 19:45,3.86,0.00,0.58,-0.50,13.49,0.00,0.29,14.45
19:45 - 20:00,24.09,0.00,0.58,-0.50,13.01,0.00,0.29,19.28
20:00 - 20:15,50.12,0.00,1.06,-0.50,13.01,0.00,0.29,14.46
20:15 - 20:30,60.72,0.00,1.06,-0.50,12.14,0.00,0.29,14.46
20:30 - 20:45,53.96,0.00,1.06,-0.50,11.57,0.00,0.29,14.46
20:45 - 21:00,43.36,0.00,1.06,-0.50,11.28,0.00,0.29,9.64
21:00 - 21:15,102.16,14.46,1.06,-0.50,10.89,0.00,0.29,33.73
21:15 - 21:30,129.15,19.28,1.06,-0.50,10.89,0.00,0.29,38.55
21:30 - 21:45,138.78,11.57,1.06,-0.50,10.70,0.00,0.29,38.55
21:45 - 22:00,145.53,13.49,1.06,-0.50,10.51,0.00,0.29,38.55
22:00 - 22:15,159.98,11.57,1.06,-1.50,10.41,0.00,0.29,4.82
22:15 - 22:30,171.55,16.38,1.06,-1.50,9.64,0.00,0.29,19.28
22:30 - 22:45,130.12,16.38,1.06,-1.50,9.06,0.00,0.29,0.00
22:45 - 23:00,134.93,14.46,1.06,-1.50,8.58,0.00,0.29,4.82
23:00 - 23:15,101.19,14.46,1.06,-1.50,8.00,0.00,0.29,-15.00
23:15 - 23:30,114.69,17.35,1.06,-1.50,7.71,0.00,0.29,-15.00
23:30 - 23:45,100.23,0.00,1.06,-1.50,7.71,0.00,0.29,-20.00
23:45 - 24:00,84.81,0.00,1.06,-1.50,7.42,0.00,0.29,-26.00
