Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
06:45 - 07:00,-122.00,-12.00,-0.50,20.29,-18.00,0.00,0.00,24.15
07:00 - 07:15,-316.00,-26.00,-0.50,21.25,-17.00,0.00,0.00,56.03
07:15 - 07:30,-233.00,-29.00,-0.50,21.25,-17.00,0.00,0.00,56.03
07:30 - 07:45,-85.00,-71.00,-0.50,22.22,-18.00,0.00,0.00,72.45
07:45 - 08:00,-77.00,-69.00,-0.50,22.22,-15.00,0.00,0.00,82.11
08:00 - 08:15,17.39,-37.00,-0.50,15.46,-89.00,0.00,0.00,57.95
08:15 - 08:30,12.56,-38.00,-0.50,16.42,-71.00,0.00,0.00,53.13
08:30 - 08:45,16.42,-58.00,-0.50,17.39,-52.00,0.00,0.00,42.50
08:45 - 09:00,16.42,-60.00,-0.50,18.35,-33.00,0.00,0.00,34.78
09:00 - 09:15,24.15,0.00,-0.50,7.73,-68.00,0.00,0.00,28.98
09:15 - 09:30,18.35,-41.00,-0.50,8.69,-54.00,0.00,0.00,24.16
09:30 - 09:45,0.00,0.00,-0.50,9.66,-40.00,0.00,0.00,19.32
09:45 - 10:00,16.42,0.00,-0.50,10.63,-26.00,0.00,0.00,19.32
10:00 - 10:15,-65.00,0.00,-0.50,9.66,-63.00,0.00,0.00,4.83
10:15 - 10:30,-52.00,0.00,-0.50,9.66,-53.00,0.00,0.00,31.88
10:30 - 10:45,-47.00,0.00,-0.50,9.66,-47.00,0.00,0.00,54.10
10:45 - 11:00,-41.00,0.00,-0.50,9.66,-43.00,0.00,0.00,36.71
11:00 - 11:15,-18.00,-8.00,-0.50,9.66,-32.00,0.00,0.00,57.96
11:15 - 11:30,-15.00,-70.00,-0.50,9.66,-30.00,0.00,0.00,67.62
11:30 - 11:45,16.42,-70.00,-0.50,9.66,-29.00,0.00,0.00,40.57
11:45 - 12:00,23.18,-69.00,-0.50,9.66,-29.00,0.00,0.00,36.71
12:00 - 12:15,9.66,-43.00,-0.50,11.59,-25.00,0.00,0.00,53.13
12:15 - 12:30,27.05,-24.00,-0.50,11.59,-24.00,0.00,0.00,78.25
12:30 - 12:45,40.57,-25.00,-0.50,12.56,-22.00,0.00,0.00,116.89
12:45 - 13:00,57.96,-22.00,-0.50,12.56,-22.00,0.00,0.00,153.59
13:00 - 13:15,56.99,-31.00,-0.50,13.04,-15.00,0.00,0.00,68.59
13:15 - 13:30,86.94,-17.00,-0.50,13.04,-14.00,0.00,0.00,91.77
13:30 - 13:45,56.99,0.00,-0.50,13.52,-17.00,0.00,0.00,96.61
13:45 - 14:00,99.50,0.00,-0.50,13.52,-21.00,0.00,0.00,137.17
14:00 - 14:15,112.06,26.08,-0.50,15.46,-21.00,0.00,0.00,32.84
14:15 - 14:30,136.20,27.05,-0.50,15.46,-19.00,0.00,0.00,66.65
14:30 - 14:45,61.82,41.54,-0.50,15.46,-20.00,0.00,0.00,72.45
14:45 - 15:00,46.37,38.64,-0.50,15.46,-19.00,0.00,0.00,90.80
15:00 - 15:15,109.16,27.05,-0.50,18.35,-43.00,0.00,0.00,82.11
15:15 - 15:30,152.63,44.44,-0.50,18.35,-42.00,0.00,0.00,89.84
15:30 - 15:45,-14.00,75.35,-0.50,18.35,-45.00,0.00,0.00,74.38
15:45 - 16:00,-16.00,86.95,-0.50,18.35,-46.00,0.00,0.00,71.48
16:00 - 16:15,43.47,41.54,-0.50,21.25,-26.00,0.00,0.00,71.48
16:15 - 16:30,74.37,49.27,-0.50,20.29,-33.00,0.00,0.00,72.45
16:30 - 16:45,0.00,27.05,-0.50,19.32,-43.00,0.00,0.00,38.64
16:45 - 17:00,0.00,19.32,-0.50,19.32,-59.00,0.00,0.00,38.64
17:00 - 17:15,100.47,-23.00,-0.50,23.18,-20.00,0.00,0.00,19.32
17:15 - 17:30,143.93,-23.00,-0.50,22.22,-30.00,0.00,0.00,19.32
17:30 - 17:45,79.21,14.49,-0.50,21.25,-52.00,0.00,0.00,43.47
17:45 - 18:00,62.79,0.00,-0.50,19.32,-70.00,0.00,0.00,28.98
18:00 - 18:15,-25.00,0.00,-0.50,18.35,-63.00,0.00,0.00,19.32
18:15 - 18:30,-10.00,13.52,-0.50,17.39,-64.00,0.00,0.00,4.83
18:30 - 18:45,115.93,45.40,-0.50,18.35,-67.00,0.00,0.00,14.49
18:45 - 19:00,158.42,-15.00,-0.50,17.39,-64.00,0.00,0.00,140.07
19:00 - 19:15,-332.00,0.00,-0.50,17.39,-63.00,0.10,0.00,57.95
19:15 - 19:30,-283.00,0.00,-0.50,16.08,-63.00,0.80,-7.30,53.62
19:30 - 19:45,-208.00,13.05,-0.50,15.67,-63.00,1.91,-7.30,34.82
19:45 - 20:00,-153.00,23.23,-0.50,13.07,-64.00,1.30,-7.30,87.14
20:00 - 20:15,-116.00,18.93,-0.50,9.74,-62.00,0.75,-8.80,21.64
20:15 - 20:30,-63.00,19.91,-0.50,8.95,-62.00,1.09,-8.80,24.89
20:30 - 20:45,-52.00,23.47,-0.50,6.04,-65.00,1.30,-8.80,6.70
20:45 - 21:00,-71.00,26.64,-0.50,5.32,-64.00,1.15,-8.80,5.92
21:00 - 21:15,-85.00,0.00,-0.50,5.60,-63.00,1.18,-8.80,0.00
21:15 - 21:30,-106.00,5.62,-0.50,5.06,-60.00,0.53,-8.80,25.31
21:30 - 21:45,-42.00,12.82,-0.50,6.15,-61.00,0.70,-8.80,5.13
21:45 - 22:00,-21.00,11.01,-0.50,5.87,-60.00,0.42,-8.80,9.79
22:00 - 22:15,-25.00,-73.00,-0.50,5.77,-40.00,0.77,-8.80,12.54
22:15 - 22:30,-40.00,-47.00,-0.50,5.54,-40.00,0.12,-8.80,6.00
22:30 - 22:45,97.71,-15.00,-0.50,5.44,-40.00,0.59,0.00,0.23
22:45 - 23:00,158.22,0.00,-0.50,5.57,-40.00,0.00,0.00,0.24
23:00 - 23:15,177.72,0.00,-0.50,14.68,-40.00,0.20,0.00,-5.00
23:15 - 23:30,186.14,0.00,-0.50,15.39,-40.00,0.31,0.00,9.23
23:30 - 23:45,128.34,0.00,-0.50,22.29,-40.00,0.00,0.00,2.23
23:45 - 24:00,99.87,0.00,-0.50,25.88,-40.00,0.00,0.00,2.59
