Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
17:45 - 18:00,0.00,49.15,0.58,-0.80,12.82,0.00,0.00,-42.00
18:00 - 18:15,-32.00,115.66,0.58,-0.80,13.01,0.00,0.00,0.00
18:15 - 18:30,-33.00,116.62,0.58,-0.80,13.20,0.00,0.00,0.00
18:30 - 18:45,-25.00,106.98,0.58,-0.80,13.30,0.00,0.00,9.64
18:45 - 19:00,-40.00,81.92,0.58,-0.80,12.82,0.00,0.00,0.00
19:00 - 19:15,-18.00,78.06,0.58,-0.80,12.82,0.00,0.00,0.00
19:15 - 19:30,-8.00,79.03,0.58,-0.80,12.82,0.00,0.29,0.00
19:30 - 19:45,-33.00,42.41,0.58,-0.80,13.01,0.00,0.29,-10.00
19:45 - 20:00,-13.00,46.26,0.58,-0.80,12.72,0.00,0.29,-10.00
20:00 - 20:15,35.66,33.73,1.06,-0.80,12.53,0.00,0.29,-55.00
20:15 - 20:30,35.66,24.10,1.06,-0.80,12.24,0.00,0.29,-55.00
20:30 - 20:45,20.23,19.28,1.06,-0.80,11.76,0.00,0.29,-50.00
20:45 - 21:00,0.00,19.28,1.06,-0.80,10.02,0.00,0.29,-53.00
21:00 - 21:15,64.57,0.00,1.06,-0.80,9.64,0.00,0.29,-35.00
21:15 - 21:30,67.47,28.91,1.06,-0.80,9.64,0.00,0.29,-28.00
21:30 - 21:45,32.77,0.00,1.06,-0.80,9.64,0.00,0.29,-75.00
21:45 - 22:00,45.30,0.00,1.06,-0.80,9.64,0.00,0.29,-30.00
22:00 - 22:15,45.29,24.10,1.06,-1.80,10.60,0.00,0.29,-20.00
22:15 - 22:30,46.26,24.10,1.06,-1.80,10.12,0.00,0.29,-20.00
22:30 - 22:45,35.66,0.00,1.06,-1.80,9.83,0.00,0.29,-20.00
22:45 - 23:00,36.63,0.00,1.06,-1.80,9.25,0.00,0.29,-7.00
23:00 - 23:15,18.31,0.00,1.06,-1.80,8.87,0.00,0.29,0.00
23:15 - 23:30,17.35,0.00,1.06,-1.80,8.48,0.00,0.29,0.00
23:30 - 23:45,27.95,0.00,1.06,-1.80,8.10,0.00,0.29,20.24
23:45 - 24:00,12.53,0.00,1.06,-1.80,7.81,0.00,0.29,24.09
