Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
07:45 - 08:00,11.53,4.80,-2.20,12.49,0.00,-20.00
08:00 - 08:15,0.00,-5.00,-2.20,12.78,0.00,-40.00
08:15 - 08:30,22.10,-10.00,-2.20,13.16,0.00,-40.00
08:30 - 08:45,20.17,9.61,-2.20,14.60,0.00,-20.00
08:45 - 09:00,20.17,9.61,-2.20,14.41,0.00,-7.00
09:00 - 09:15,-10.00,28.82,-1.20,10.57,-10.00,-3.00
09:15 - 09:30,-11.00,24.01,-1.20,10.38,-10.00,14.41
09:30 - 09:45,0.00,-7.00,-1.20,10.18,-10.00,9.61
09:45 - 10:00,0.00,-7.00,-1.20,10.09,-10.00,14.41
10:00 - 10:15,-16.00,0.00,-1.20,9.03,-10.00,14.41
10:15 - 10:30,-16.00,-20.00,-1.20,8.93,-10.00,14.42
10:30 - 10:45,72.05,0.00,-1.20,8.36,-10.00,24.02
10:45 - 11:00,51.88,0.00,-1.20,7.78,-10.00,14.41
11:00 - 11:15,-8.00,0.00,-1.20,5.86,-15.00,-25.00
11:15 - 11:30,84.55,-15.00,-1.20,5.76,-15.00,-20.00
11:30 - 11:45,28.82,-35.00,-1.20,5.48,-15.00,-25.00
11:45 - 12:00,12.49,-30.00,-1.20,5.38,-15.00,-25.00
12:00 - 12:15,26.90,0.00,-1.20,5.28,-15.00,-15.00
12:15 - 12:30,39.39,0.00,-1.20,5.19,-15.00,-15.00
12:30 - 12:45,43.23,0.00,-1.20,5.09,-15.00,-35.00
12:45 - 13:00,44.19,0.00,-1.20,5.00,-15.00,-25.00
13:00 - 13:15,49.96,0.00,-1.20,5.76,-15.00,-50.00
13:15 - 13:30,25.94,0.00,-1.20,5.57,-15.00,-40.00
13:30 - 13:45,0.00,-10.00,-1.20,5.38,-15.00,4.80
13:45 - 14:00,0.00,-10.00,-1.20,5.28,-15.00,24.02
14:00 - 14:15,-5.00,0.00,-1.20,6.34,-15.00,-5.00
14:15 - 14:30,-11.00,0.00,-1.20,5.76,-15.00,-5.00
14:30 - 14:45,-42.00,9.61,-1.20,5.76,-15.00,-5.00
14:45 - 15:00,-24.00,9.61,-1.20,5.09,-15.00,-5.00
15:00 - 15:15,0.00,11.53,-1.20,5.76,-15.00,-20.00
15:15 - 15:30,0.00,13.45,-1.20,5.09,-15.00,-30.00
15:30 - 15:45,-8.00,56.68,-1.20,5.09,-15.00,-40.00
15:45 - 16:00,-10.00,60.53,-1.20,5.09,-15.00,-40.00
16:00 - 16:15,-6.00,-24.00,-1.20,6.72,-15.00,-40.00
16:15 - 16:30,-46.00,-30.00,-1.20,8.65,-15.00,-70.00
16:30 - 16:45,-22.00,-41.00,-1.20,9.13,0.00,-125.00
16:45 - 17:00,-10.00,-49.00,-1.20,9.61,0.00,-25.00
17:00 - 17:15,-24.00,-4.00,-1.20,11.53,0.00,-15.00
17:15 - 17:30,-40.00,-6.00,-1.20,12.49,0.00,-20.00
17:30 - 17:45,-55.00,-63.00,-1.20,13.45,0.00,-40.00
17:45 - 18:00,-52.00,-52.00,-1.20,15.37,0.00,-70.00
18:00 - 18:15,-81.00,-39.00,-1.20,16.33,0.00,14.41
18:15 - 18:30,-83.00,-30.00,-1.20,17.29,0.00,-60.00
18:30 - 18:45,-30.00,-98.00,-1.20,17.77,0.00,-110.00
18:45 - 19:00,-13.00,-168.00,-1.20,17.29,0.00,-110.00
19:00 - 19:15,51.88,0.00,-1.20,16.33,0.00,-45.00
19:15 - 19:30,45.16,0.00,-1.20,16.04,0.00,-130.00
19:30 - 19:45,32.66,9.61,-1.20,15.37,0.00,-80.00
19:45 - 20:00,41.31,11.53,-1.20,15.37,0.00,-30.00
20:00 - 20:15,34.59,67.24,-1.20,14.41,0.00,-15.00
20:15 - 20:30,29.78,73.02,-1.20,14.12,0.00,-20.00
20:30 - 20:45,31.70,55.73,-1.20,13.83,0.00,19.21
20:45 - 21:00,31.70,64.37,-1.20,13.45,0.00,19.21
21:00 - 21:15,31.70,68.21,-1.20,12.78,0.00,48.04
21:15 - 21:30,47.07,54.76,-1.20,12.49,0.00,62.45
21:30 - 21:45,50.92,33.62,-1.20,12.01,0.00,57.64
21:45 - 22:00,36.51,21.14,-1.20,11.53,0.00,57.63
22:00 - 22:15,40.35,54.76,-2.20,11.05,0.00,52.84
22:15 - 22:30,42.27,41.31,-2.20,9.90,0.00,52.83
22:30 - 22:45,84.55,19.21,-2.20,8.65,0.00,33.62
22:45 - 23:00,83.58,0.00,-2.20,8.17,0.00,33.62
23:00 - 23:15,26.90,0.00,-2.20,7.69,0.00,19.21
23:15 - 23:30,36.51,0.00,-2.20,7.40,0.00,19.21
23:30 - 23:45,53.80,0.00,-2.20,7.01,0.00,14.41
23:45 - 24:00,77.82,-15.00,-2.20,7.01,0.00,14.41
