Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
07:00 - 07:15,35.72,0.00,1.06,-2.00,13.52,0.00,0.00,24.14
07:15 - 07:30,-10.00,0.00,1.06,-2.00,13.03,0.00,0.00,19.32
07:30 - 07:45,-24.00,0.00,1.06,-2.00,12.55,0.00,0.29,0.00
07:45 - 08:00,80.14,0.00,1.06,-2.00,12.07,0.00,0.29,0.00
08:00 - 08:15,94.62,0.00,1.06,-2.00,11.59,0.00,0.29,0.00
08:15 - 08:30,103.31,0.00,1.06,-2.00,10.91,0.00,0.29,48.28
08:30 - 08:45,100.41,0.00,1.06,-2.00,11.39,0.00,0.29,43.45
08:45 - 09:00,39.59,0.00,1.06,-2.00,11.39,0.00,0.29,43.45
09:00 - 09:15,63.72,0.00,1.06,-6.30,11.10,0.00,0.29,67.59
09:15 - 09:30,80.13,0.00,1.06,-6.30,11.59,0.00,0.29,43.45
09:30 - 09:45,76.27,0.00,1.06,-6.30,11.10,0.00,0.29,115.87
09:45 - 10:00,73.38,0.00,1.06,-6.30,11.59,0.00,0.29,115.86
10:00 - 10:15,127.45,-24.00,1.06,-6.30,12.07,0.00,0.29,115.86
10:15 - 10:30,128.41,-25.00,1.06,-6.30,11.78,0.00,0.29,125.52
10:30 - 10:45,139.03,-14.00,1.06,-6.30,11.78,0.00,0.29,125.52
10:45 - 11:00,144.83,-11.00,1.06,-6.30,11.59,0.00,0.29,130.34
11:00 - 11:15,181.51,0.00,1.06,-6.30,11.59,0.00,0.29,137.10
11:15 - 11:30,174.76,0.00,1.06,-6.30,11.39,0.00,0.29,144.83
11:30 - 11:45,184.42,-16.00,1.06,-6.30,10.62,2.12,0.29,171.86
11:45 - 12:00,201.80,-17.00,1.06,-6.30,10.62,2.12,0.29,182.48
12:00 - 12:15,163.18,-20.00,1.06,-6.30,10.33,2.12,0.29,152.55
12:15 - 12:30,158.35,-20.00,1.06,-6.30,10.33,2.12,0.29,147.72
12:30 - 12:45,162.21,-11.00,1.06,-6.30,10.04,2.12,0.29,135.17
12:45 - 13:00,154.48,-12.00,1.06,-6.30,10.14,2.12,0.29,120.69
13:00 - 13:15,115.86,-5.00,1.06,-6.30,11.01,1.16,0.29,124.55
13:15 - 13:30,102.34,-13.00,1.06,-6.30,11.30,0.00,0.29,109.10
13:30 - 13:45,85.93,-11.00,1.06,-6.30,10.62,0.00,0.29,136.14
13:45 - 14:00,97.52,0.00,1.06,-6.30,9.66,0.00,0.29,137.09
14:00 - 14:15,106.21,0.00,1.06,-6.30,8.88,0.00,0.29,170.89
14:15 - 14:30,149.65,0.00,1.06,-6.30,9.85,0.00,0.29,171.86
14:30 - 14:45,143.86,0.00,1.06,-6.30,9.17,0.00,0.29,116.83
14:45 - 15:00,154.49,0.00,1.06,-6.30,10.23,0.00,0.29,40.55
15:00 - 15:15,161.24,0.00,1.06,-0.80,9.66,0.00,0.29,-26.00
15:15 - 15:30,167.04,0.00,1.06,-0.80,11.10,0.00,0.29,-25.00
15:30 - 15:45,169.93,0.00,1.06,-0.80,10.62,0.00,0.29,-78.00
15:45 - 16:00,173.79,0.00,1.06,-0.80,11.59,0.00,0.29,-90.00
16:00 - 16:15,115.86,0.00,1.06,-0.80,12.55,0.00,0.29,107.17
16:15 - 16:30,103.31,0.00,1.06,-0.80,13.03,0.00,0.00,112.97
16:30 - 16:45,99.45,0.00,1.06,-0.80,13.52,0.00,0.00,66.62
16:45 - 17:00,97.52,0.00,1.06,-0.80,14.00,0.00,0.00,1.93
17:00 - 17:15,88.83,0.00,1.06,-0.80,14.48,0.00,0.00,-13.00
17:15 - 17:30,110.06,0.00,1.06,-0.80,14.97,0.00,0.00,-22.00
17:30 - 17:45,89.89,63.45,0.53,-0.80,13.92,0.00,0.00,76.67
17:45 - 18:00,90.43,48.92,0.44,-0.80,12.16,0.00,0.00,79.32
18:00 - 18:15,64.51,51.97,0.18,-0.80,5.14,0.76,0.00,42.80
18:15 - 18:30,40.57,31.65,0.12,-0.80,3.17,0.38,0.00,27.00
18:30 - 18:45,50.65,42.89,0.05,-0.80,1.22,0.00,0.00,62.84
18:45 - 19:00,47.11,45.09,0.05,-0.80,1.21,0.00,0.00,68.44
19:00 - 19:15,156.25,156.25,0.08,-0.80,1.93,0.00,0.00,91.14
19:15 - 19:30,189.78,194.86,0.11,-0.80,2.40,0.00,0.00,0.00
19:30 - 19:45,97.09,168.35,0.34,-0.80,7.97,0.00,0.00,-82.00
19:45 - 20:00,101.75,171.71,0.39,-0.80,9.10,0.00,0.00,-24.00
20:00 - 20:15,149.66,130.34,1.06,-0.80,13.03,0.00,0.00,-42.00
20:15 - 20:30,158.35,120.69,1.06,-0.80,13.03,0.00,0.00,-44.00
20:30 - 20:45,121.65,120.69,1.06,-0.80,12.07,0.00,0.29,-77.00
20:45 - 21:00,124.55,115.86,1.06,-0.80,11.97,0.00,0.29,-47.00
21:00 - 21:15,134.20,73.38,1.06,-0.80,11.88,0.00,0.29,-13.00
21:15 - 21:30,166.07,90.76,1.06,-0.80,11.49,0.00,0.00,5.79
21:30 - 21:45,126.48,144.82,1.06,-0.80,11.20,0.00,0.06,-8.00
21:45 - 22:00,133.24,147.72,1.06,-0.80,10.72,0.00,0.20,-5.00
22:00 - 22:15,132.27,142.89,1.06,-1.80,10.33,0.00,0.06,-34.00
22:15 - 22:30,136.14,148.69,1.06,-1.80,9.94,0.00,0.00,-26.00
22:30 - 22:45,151.58,173.79,1.06,-1.80,9.46,0.00,0.00,9.66
22:45 - 23:00,155.45,168.95,1.06,-1.80,8.79,0.00,0.29,9.66
23:00 - 23:15,178.62,150.62,1.06,-1.80,8.30,0.00,0.29,14.48
23:15 - 23:30,179.60,153.51,1.06,-1.80,8.01,0.00,0.29,14.48
23:30 - 23:45,207.59,167.03,1.06,-1.80,7.72,0.00,0.29,24.14
23:45 - 24:00,212.41,168.96,1.06,-1.80,7.53,0.00,0.29,32.83
