Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
13:30 - 13:45,58.90,0.00,1.06,-0.10,2.99,0.00,0.29,0.00
13:45 - 14:00,59.86,0.00,1.06,-0.10,4.25,0.00,0.29,0.00
14:00 - 14:15,71.45,0.00,1.06,-6.00,4.34,0.00,0.29,38.62
14:15 - 14:30,75.31,0.00,1.06,-6.00,2.51,0.00,0.29,38.62
14:30 - 14:45,110.07,0.00,1.06,-6.00,1.93,0.00,0.29,19.31
14:45 - 15:00,127.45,0.00,1.06,-6.00,0.97,0.00,0.29,14.48
15:00 - 15:15,118.75,0.00,1.06,-6.00,1.26,0.00,0.29,57.93
15:15 - 15:30,105.24,0.00,1.06,-6.00,2.51,0.00,0.29,53.10
15:30 - 15:45,119.72,0.00,1.06,-6.00,4.83,0.00,0.29,72.41
15:45 - 16:00,121.65,0.00,1.06,-6.00,6.08,0.00,0.29,86.90
16:00 - 16:15,83.99,0.00,1.06,-6.00,6.76,0.00,0.29,48.28
16:15 - 16:30,54.07,0.00,1.06,-6.00,7.72,0.00,0.29,86.90
16:30 - 16:45,40.55,0.00,1.06,-6.00,8.01,0.00,0.29,48.28
16:45 - 17:00,39.59,0.00,1.06,-0.80,8.98,0.00,0.29,19.31
17:00 - 17:15,20.27,0.00,1.06,-0.80,9.66,0.00,0.29,0.00
17:15 - 17:30,12.55,0.00,1.06,-0.80,10.62,0.00,0.29,-100.00
17:30 - 17:45,-48.00,49.24,0.58,-0.80,12.94,1.74,0.29,-130.00
17:45 - 18:00,-56.00,48.27,0.58,-0.80,14.10,3.96,0.29,-150.00
18:00 - 18:15,-40.00,2.90,0.58,-0.80,14.39,5.60,0.29,19.30
18:15 - 18:30,-16.00,12.55,0.58,-0.80,15.16,5.89,0.29,86.89
18:30 - 18:45,-11.00,0.00,0.58,-0.80,15.64,4.06,0.29,125.51
18:45 - 19:00,23.17,10.62,0.58,-0.80,15.54,4.06,0.29,115.86
19:00 - 19:15,17.38,6.76,0.58,-0.80,15.25,5.70,0.29,67.58
19:15 - 19:30,0.00,6.76,0.58,-0.80,15.16,3.96,0.29,67.58
19:30 - 19:45,-26.00,33.79,0.58,-0.80,14.58,3.38,0.29,140.00
19:45 - 20:00,-22.00,28.00,0.58,-0.80,14.19,2.61,0.29,159.31
20:00 - 20:15,9.66,65.65,1.06,-0.80,14.10,2.41,0.29,159.31
20:15 - 20:30,-20.00,67.59,1.06,-0.80,13.23,2.80,0.29,159.30
20:30 - 20:45,0.00,14.48,1.06,-0.80,12.74,2.90,0.29,154.49
20:45 - 21:00,0.00,14.48,1.06,-0.80,12.45,2.03,0.29,154.49
21:00 - 21:15,67.59,21.24,1.06,-0.80,12.17,3.48,0.29,173.78
21:15 - 21:30,68.55,23.17,1.06,-0.80,12.17,3.96,0.29,183.44
21:30 - 21:45,35.73,0.00,1.06,-0.80,11.97,0.00,0.29,0.00
21:45 - 22:00,35.73,0.00,1.06,-0.80,11.68,5.02,0.29,0.00
22:00 - 22:15,28.00,0.00,1.06,-1.80,11.68,3.77,0.29,-30.00
22:15 - 22:30,28.97,0.00,1.06,-1.80,10.91,1.06,0.29,-30.00
22:30 - 22:45,40.55,13.52,1.06,-1.80,10.33,4.63,0.29,-40.00
22:45 - 23:00,41.52,18.34,1.06,-1.80,9.75,5.41,0.29,-40.00
23:00 - 23:15,40.56,24.14,1.06,-1.80,9.17,2.12,0.29,-56.00
23:15 - 23:30,40.54,28.97,1.06,-1.80,8.98,2.61,0.29,-65.00
23:30 - 23:45,93.66,33.79,1.06,-1.80,8.69,2.51,0.29,-63.00
23:45 - 24:00,137.10,38.62,1.06,-1.80,8.50,3.28,0.29,-57.00
