Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
06:00 - 06:15,177.38,-49.00,0.67,-1.80,13.79,0.00,1.54,0.29,-70.00
06:15 - 06:30,182.20,-49.00,0.67,-1.80,11.86,0.00,1.54,0.29,-50.00
06:30 - 06:45,186.06,-40.00,0.67,-1.80,12.72,0.00,1.54,0.29,-42.00
06:45 - 07:00,175.46,-39.00,0.67,-1.80,13.88,0.00,1.54,0.29,-38.00
07:00 - 07:15,136.90,-15.00,0.67,-1.80,13.88,0.00,1.54,0.29,-38.00
07:15 - 07:30,121.47,-15.00,0.67,-1.80,14.27,0.00,1.54,0.29,-40.00
07:30 - 07:45,148.47,-24.00,0.67,-1.80,14.36,0.00,1.54,0.29,-40.00
07:45 - 08:00,170.64,-21.00,0.67,-1.80,13.30,0.00,1.54,0.29,-40.00
08:00 - 08:15,122.44,-25.00,0.67,-1.80,9.54,0.00,1.54,0.29,-25.00
08:15 - 08:30,161.00,-13.00,0.67,-1.80,10.31,0.00,1.64,0.29,-9.00
08:30 - 08:45,203.41,-10.00,0.67,-1.80,10.80,0.00,1.54,0.29,0.00
08:45 - 09:00,251.61,0.00,0.67,-1.80,10.41,0.00,1.54,0.29,-10.00
09:00 - 09:15,240.05,0.00,0.67,-0.80,9.83,0.00,1.54,0.29,28.92
09:15 - 09:30,248.72,0.00,0.67,-0.80,9.45,0.00,1.54,0.29,62.66
09:30 - 09:45,239.08,24.10,0.67,-0.80,11.28,0.00,1.54,0.29,9.64
09:45 - 10:00,209.20,0.00,0.67,-0.80,12.24,0.00,1.54,0.29,-15.00
10:00 - 10:15,120.50,0.00,0.67,-0.80,13.21,0.00,1.54,0.29,-8.00
10:15 - 10:30,78.09,0.00,0.67,-0.80,13.69,0.00,1.54,0.29,-3.00
10:30 - 10:45,0.00,-33.00,0.67,-0.80,13.21,0.00,1.54,0.29,-15.00
10:45 - 11:00,0.00,-35.00,0.67,-0.80,14.08,0.00,1.54,0.29,-15.00
11:00 - 11:15,8.68,-23.00,0.67,-0.80,13.11,0.00,1.54,0.29,-28.00
11:15 - 11:30,5.78,-28.00,0.67,-0.80,10.90,0.00,1.54,0.29,-28.00
11:30 - 11:45,0.00,-25.00,0.67,-0.80,10.60,12.54,1.54,0.29,-49.00
11:45 - 12:00,0.00,-33.00,0.67,-0.80,11.09,12.53,1.54,0.29,-53.00
12:00 - 12:15,36.64,-25.00,0.67,-0.80,9.64,12.53,1.54,0.29,-36.00
12:15 - 12:30,34.71,-27.00,0.67,-0.80,8.68,12.53,1.54,0.29,-33.00
12:30 - 12:45,39.53,-27.00,0.67,-0.80,9.35,12.53,1.54,0.29,-52.00
12:45 - 13:00,41.46,-25.00,0.67,-0.80,9.45,12.53,1.54,0.29,-45.00
13:00 - 13:15,9.64,-38.00,0.67,-0.80,8.68,12.53,1.54,0.29,-15.00
13:15 - 13:30,9.64,-42.00,0.67,-0.80,8.68,12.53,1.54,0.29,-30.00
13:30 - 13:45,25.07,-12.00,0.67,-0.80,7.71,12.53,1.54,0.29,-20.00
13:45 - 14:00,27.96,-10.00,0.67,-0.80,8.68,12.53,1.54,0.29,-14.00
14:00 - 14:15,16.40,-10.00,0.67,-0.80,10.12,12.53,1.54,0.29,-11.00
14:15 - 14:30,24.11,-10.00,0.67,-0.80,5.30,12.53,1.54,0.29,-9.00
14:30 - 14:45,28.93,-10.00,0.67,-0.80,7.71,12.53,1.54,0.29,5.78
14:45 - 15:00,27.00,-6.00,0.67,-0.80,6.75,12.53,1.54,0.29,-20.00
15:00 - 15:15,52.07,0.00,0.67,-0.80,5.78,12.53,1.54,0.29,-52.00
15:15 - 15:30,57.85,0.00,0.67,-0.80,5.78,12.53,1.64,0.29,-55.00
15:30 - 15:45,53.99,0.00,0.67,-0.80,8.58,12.53,1.54,0.29,-75.00
15:45 - 16:00,57.85,-20.00,0.67,-0.80,9.06,12.53,1.64,0.29,-70.00
16:00 - 16:15,50.13,0.00,0.67,-0.80,10.22,12.53,1.64,0.29,-59.00
16:15 - 16:30,54.96,7.71,0.67,-0.80,10.70,12.53,1.54,0.29,-54.00
16:30 - 16:45,79.05,0.00,0.67,-0.80,11.57,12.53,1.54,0.29,-44.00
16:45 - 17:00,63.64,17.35,0.67,-0.80,12.24,12.53,1.54,0.29,-48.00
17:00 - 17:15,64.59,16.39,0.67,-0.80,12.44,12.53,1.54,0.29,-20.00
17:15 - 17:30,79.05,41.45,0.67,-0.80,12.15,12.53,1.54,0.29,-15.00
17:30 - 17:45,39.53,16.39,0.67,-0.80,12.24,12.53,1.54,0.29,-40.00
17:45 - 18:00,40.49,16.39,0.67,-0.80,12.63,12.53,1.54,0.29,-50.00
18:00 - 18:15,50.14,10.60,0.67,-0.80,12.82,0.00,1.54,0.00,-40.00
18:15 - 18:30,54.95,18.32,0.67,-0.80,13.11,0.00,1.54,0.00,-40.00
18:30 - 18:45,51.10,15.42,0.67,-0.80,12.92,0.00,1.54,0.00,-60.00
18:45 - 19:00,35.67,0.00,0.67,-0.80,12.63,0.00,6.07,0.00,-75.00
19:00 - 19:15,24.10,3.86,0.29,-0.80,12.34,0.00,1.54,0.00,-60.00
19:15 - 19:30,34.71,19.28,0.29,-0.80,11.95,0.00,1.54,0.00,-55.00
19:30 - 19:45,12.53,9.64,0.29,-0.80,11.57,0.00,1.54,0.29,-25.00
19:45 - 20:00,0.00,4.82,0.29,-0.80,11.09,0.00,1.54,0.29,-25.00
20:00 - 20:15,40.49,33.74,0.29,-0.80,10.60,0.00,1.54,0.29,-10.00
20:15 - 20:30,70.38,53.02,0.29,-0.80,10.60,0.00,1.54,0.29,-7.00
20:30 - 20:45,66.53,28.92,0.67,-0.80,10.60,0.00,1.54,0.29,19.28
20:45 - 21:00,45.31,23.14,0.67,-0.80,9.64,0.00,1.54,0.29,4.82
21:00 - 21:15,117.61,16.39,0.67,-0.80,9.74,0.00,1.54,0.29,-10.00
21:15 - 21:30,106.05,25.06,0.67,-0.80,9.54,0.00,1.54,0.29,-15.00
21:30 - 21:45,78.09,17.35,0.67,-0.80,9.93,0.00,1.54,0.29,-25.00
21:45 - 22:00,83.87,9.64,0.67,-0.80,9.64,0.00,1.54,0.29,-30.00
22:00 - 22:15,111.84,55.91,0.67,-1.80,9.25,0.00,1.54,0.29,-25.00
22:15 - 22:30,123.40,53.02,0.67,-1.80,8.48,0.00,1.54,0.29,-20.00
22:30 - 22:45,102.19,37.60,0.67,-1.80,8.29,0.00,1.54,0.29,-10.00
22:45 - 23:00,103.15,37.60,0.67,-1.80,8.00,0.00,1.54,0.29,-5.00
23:00 - 23:15,93.52,51.09,0.67,-1.80,7.42,0.00,1.54,0.29,-10.00
23:15 - 23:30,88.70,46.27,0.67,-1.80,7.13,0.00,1.54,0.29,-10.00
23:30 - 23:45,78.09,46.27,0.67,-1.80,6.94,0.00,1.54,0.29,-17.00
23:45 - 24:00,62.67,44.34,0.67,-1.80,6.56,0.00,1.54,0.29,-17.00
