Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
19:00 - 19:15,113.20,35.49,0.48,-1.50,12.47,0.00,0.00
19:15 - 19:30,125.67,32.62,0.48,-1.50,12.47,0.00,10.55
19:30 - 19:45,155.40,31.66,0.48,-1.50,12.47,0.00,-2.00
19:45 - 20:00,194.73,41.25,0.48,-1.50,12.47,0.00,6.72
20:00 - 20:15,139.09,61.40,0.00,-1.50,12.47,0.00,-6.00
20:15 - 20:30,131.42,57.56,0.00,-1.50,12.47,0.00,-5.00
20:30 - 20:45,126.62,55.64,0.00,-1.50,11.51,0.00,19.19
20:45 - 21:00,113.20,49.88,0.00,-1.50,10.55,0.00,11.51
21:00 - 21:15,75.78,59.48,0.00,-1.50,9.59,0.00,-78.00
21:15 - 21:30,0.00,59.48,0.00,-1.50,8.73,0.00,-3.00
21:30 - 21:45,115.12,23.98,0.00,-1.50,8.15,0.00,-2.00
21:45 - 22:00,129.51,30.70,0.00,-1.50,8.15,0.00,16.31
22:00 - 22:15,138.15,79.62,0.00,-2.30,10.74,0.00,41.25
22:15 - 22:30,135.27,82.50,0.00,-2.30,9.78,0.00,40.29
22:30 - 22:45,134.30,79.62,0.00,-2.30,9.88,0.00,1.92
22:45 - 23:00,135.26,88.26,0.00,-2.30,9.11,0.00,8.63
23:00 - 23:15,94.98,91.13,0.00,-2.30,8.63,0.00,7.67
23:15 - 23:30,121.83,86.34,0.00,-2.30,7.96,0.00,-1.00
23:30 - 23:45,161.16,57.56,0.00,-2.30,7.77,0.00,-1.00
23:45 - 24:00,197.62,47.97,0.00,-2.30,7.67,0.00,-2.00
