Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
15:45 - 16:00,66.37,9.62,4.23,4.81,38.47
16:00 - 16:15,49.05,-35.00,5.77,4.81,-25.00
16:15 - 16:30,57.70,0.00,6.35,4.81,-25.00
16:30 - 16:45,44.24,-8.00,7.02,4.81,-60.00
16:45 - 17:00,44.25,-12.00,8.94,4.81,-25.00
17:00 - 17:15,48.09,-86.00,9.62,4.81,-94.99
17:15 - 17:30,38.47,-129.00,10.10,4.81,-35.00
17:30 - 17:45,0.00,-64.00,10.58,4.81,-95.00
17:45 - 18:00,0.00,-135.00,11.54,4.81,-100.00
18:00 - 18:15,-14.00,0.00,12.50,4.81,-110.00
18:15 - 18:30,-27.00,-20.00,14.43,4.81,-108.00
18:30 - 18:45,-19.00,-30.00,14.81,4.81,-60.00
18:45 - 19:00,-33.00,-38.00,15.39,4.81,-55.00
19:00 - 19:15,0.00,-14.00,15.39,4.81,-55.00
19:15 - 19:30,8.66,0.00,15.38,4.81,-7.00
19:30 - 19:45,12.50,-5.00,15.68,4.81,2.89
19:45 - 20:00,7.69,0.00,15.87,4.81,24.05
20:00 - 20:15,-15.00,25.97,16.06,4.81,0.00
20:15 - 20:30,0.00,18.27,15.97,4.81,0.00
20:30 - 20:45,61.55,4.81,15.87,4.81,4.81
20:45 - 21:00,62.52,0.00,15.58,4.81,0.00
21:00 - 21:15,75.01,14.43,15.20,4.81,0.00
21:15 - 21:30,73.09,14.43,14.14,4.81,0.00
21:30 - 21:45,43.28,41.36,12.89,4.81,0.00
21:45 - 22:00,20.20,25.97,12.21,4.81,0.00
22:00 - 22:15,37.51,40.39,14.62,4.81,0.00
22:15 - 22:30,36.54,24.05,12.98,4.81,14.43
22:30 - 22:45,29.82,15.39,11.54,4.81,48.09
22:45 - 23:00,26.93,27.89,10.39,4.81,48.09
23:00 - 23:15,57.71,42.32,9.62,4.81,38.47
23:15 - 23:30,75.97,40.40,8.85,4.81,9.62
23:30 - 23:45,56.75,38.47,7.69,4.81,-10.00
23:45 - 24:00,50.01,29.82,7.21,4.81,-25.00
