Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
08:30 - 08:45,116.42,-62.00,0.68,-7.00,7.76,-23.00,0.00,0.29,43.65
08:45 - 09:00,117.39,-87.00,0.68,-7.00,8.05,-10.00,0.00,0.29,33.95
09:00 - 09:15,76.64,-67.00,0.68,-6.00,8.73,-54.00,0.00,0.29,19.40
09:15 - 09:30,71.79,-42.00,0.68,-6.00,8.73,-43.00,0.00,0.29,38.80
09:30 - 09:45,50.45,-44.00,0.68,-6.00,8.73,-35.00,0.00,0.29,43.65
09:45 - 10:00,46.57,-51.00,0.68,-6.00,8.73,-27.00,0.00,0.29,43.65
10:00 - 10:15,85.37,-65.00,0.68,-6.00,8.73,-19.00,0.00,0.29,38.80
10:15 - 10:30,83.43,-60.00,0.68,-6.00,8.73,-14.00,0.00,0.29,24.25
10:30 - 10:45,18.43,-28.00,0.68,-6.00,8.73,-10.00,0.00,0.29,4.85
10:45 - 11:00,21.34,-14.00,0.68,-6.00,8.44,-10.00,0.00,0.29,4.85
11:00 - 11:15,44.63,-30.00,0.68,-6.00,6.79,-10.00,0.00,0.29,14.55
11:15 - 11:30,48.51,-25.00,0.68,-6.00,6.11,-10.00,0.00,0.29,9.70
11:30 - 11:45,43.66,-27.00,0.68,-6.00,5.82,-10.00,0.00,0.29,43.65
11:45 - 12:00,48.51,-24.00,0.68,-6.00,5.43,-10.00,0.00,0.29,43.65
12:00 - 12:15,19.40,0.00,0.68,-6.00,4.85,-10.00,0.00,0.29,63.06
12:15 - 12:30,20.37,0.00,0.68,-6.00,4.46,-10.00,0.00,0.29,53.36
12:30 - 12:45,43.65,0.00,0.68,-6.00,2.33,-10.00,0.00,0.29,72.75
12:45 - 13:00,39.77,0.00,0.68,-6.00,1.94,-10.00,0.00,0.29,72.76
13:00 - 13:15,37.83,0.00,0.68,-6.00,0.00,-10.00,0.00,0.29,48.51
13:15 - 13:30,38.80,0.00,0.68,-6.00,0.00,-10.00,0.00,0.29,48.51
13:30 - 13:45,56.27,0.00,0.68,-6.00,3.40,-10.00,0.00,0.29,72.75
13:45 - 14:00,58.21,0.00,0.68,-6.00,2.91,-10.00,0.00,0.29,38.80
14:00 - 14:15,46.56,0.00,0.68,-6.00,2.91,-10.00,0.00,0.29,164.92
14:15 - 14:30,40.74,0.00,0.68,-6.00,2.91,-10.00,0.00,0.29,130.97
14:30 - 14:45,0.00,0.00,0.68,-6.00,3.01,-10.00,0.00,0.29,97.01
14:45 - 15:00,11.64,0.00,0.68,-6.00,3.30,-10.00,0.00,0.29,87.31
15:00 - 15:15,30.07,0.00,0.68,-6.00,1.94,-10.00,0.00,0.29,97.01
15:15 - 15:30,33.95,0.00,0.68,-6.00,2.91,-10.00,0.00,0.29,97.01
15:30 - 15:45,45.59,0.00,0.68,-6.00,3.88,-10.00,0.00,0.29,97.02
15:45 - 16:00,51.42,0.00,0.68,-6.00,4.85,-10.00,0.00,0.29,97.01
16:00 - 16:15,0.00,9.70,0.68,-6.00,4.85,-10.00,0.00,0.29,53.36
16:15 - 16:30,-13.00,0.00,0.68,-6.00,4.85,-10.00,0.00,0.29,58.21
16:30 - 16:45,0.00,0.00,0.68,-6.00,4.85,-11.00,0.00,0.29,64.03
16:45 - 17:00,0.00,11.64,0.68,-6.00,4.85,-16.00,0.00,0.29,66.94
17:00 - 17:15,18.43,28.13,0.68,-6.00,4.85,-10.00,0.00,0.29,55.30
17:15 - 17:30,50.45,59.17,0.68,-6.00,4.85,-10.00,0.00,0.29,55.30
17:30 - 17:45,59.18,58.21,0.68,-6.00,4.85,-10.00,0.00,0.29,80.51
17:45 - 18:00,-111.00,58.21,0.68,-6.00,5.82,-10.00,0.00,0.29,78.57
18:00 - 18:15,-87.00,67.91,0.68,-6.00,15.04,0.00,0.00,0.29,106.70
18:15 - 18:30,26.19,58.21,0.68,-6.00,16.01,0.00,0.00,0.29,126.11
18:30 - 18:45,53.36,0.00,0.68,-6.00,16.10,0.00,0.00,0.00,138.72
18:45 - 19:00,23.28,-21.00,0.68,-6.00,16.20,0.00,0.58,0.00,125.15
19:00 - 19:15,65.00,0.00,0.68,-6.00,16.49,0.00,4.56,0.29,170.74
19:15 - 19:30,20.37,0.00,0.68,-6.00,16.49,0.00,4.95,0.29,159.10
19:30 - 19:45,30.07,0.00,0.68,-6.00,16.49,0.00,4.56,0.29,142.61
19:45 - 20:00,-29.00,0.00,0.68,-6.00,16.78,0.00,2.91,0.29,126.12
20:00 - 20:15,59.18,0.00,0.68,-6.00,16.78,0.00,0.00,0.29,119.32
20:15 - 20:30,73.73,0.00,0.68,-6.00,16.49,0.00,0.00,0.29,137.75
20:30 - 20:45,78.58,0.00,0.68,-6.00,14.55,0.00,0.00,0.29,120.29
20:45 - 21:00,82.46,0.00,0.68,-6.00,14.55,0.00,0.00,0.29,95.07
21:00 - 21:15,44.62,0.00,0.68,-6.00,5.82,0.00,0.10,0.29,91.19
21:15 - 21:30,52.39,0.00,0.68,-6.00,4.85,0.00,0.00,0.29,95.07
21:30 - 21:45,17.46,0.00,0.68,-6.00,13.58,0.00,0.00,0.29,92.16
21:45 - 22:00,30.07,12.61,0.68,-6.00,13.58,0.00,0.00,0.29,103.81
22:00 - 22:15,89.25,9.70,0.68,-7.00,11.64,0.00,0.10,0.29,121.26
22:15 - 22:30,101.86,13.58,0.68,-7.00,11.64,0.00,0.10,0.29,125.14
22:30 - 22:45,34.92,8.73,0.68,-7.00,10.67,0.00,0.10,0.29,84.40
22:45 - 23:00,24.25,15.52,0.68,-7.00,10.67,0.00,0.10,0.29,67.91
23:00 - 23:15,0.00,25.22,0.68,-7.00,10.67,0.00,0.00,0.29,29.11
23:15 - 23:30,-12.00,31.05,0.68,-7.00,10.67,0.00,0.00,0.29,29.10
23:30 - 23:45,-42.00,19.40,0.68,-7.00,9.70,0.00,0.10,0.29,0.00
23:45 - 24:00,-43.00,17.46,0.68,-7.00,9.70,0.00,0.10,0.29,0.00
