Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
07:30 - 07:45,9.66,0.00,-0.30,7.82,-76.00
07:45 - 08:00,34.76,0.00,-0.30,7.43,-97.00
08:00 - 08:15,14.49,-10.00,-0.30,7.14,-142.00
08:15 - 08:30,7.72,-17.00,-0.30,6.76,-152.00
08:30 - 08:45,36.69,-17.00,-0.30,6.47,-169.00
08:45 - 09:00,21.24,-68.00,-5.30,6.08,-200.00
09:00 - 09:15,47.31,-69.00,-5.30,5.79,-163.00
09:15 - 09:30,49.24,-76.00,-5.30,5.60,-155.00
09:30 - 09:45,56.00,-77.00,-5.30,5.21,-157.00
09:45 - 10:00,48.28,-188.00,-5.30,4.73,-160.00
10:00 - 10:15,49.24,-170.00,0.00,3.77,-170.00
10:15 - 10:30,37.65,-171.00,-2.88,5.70,-189.00
10:30 - 10:45,22.20,-52.00,-0.13,2.90,-199.00
10:45 - 11:00,22.21,-52.00,-5.30,2.99,-205.00
11:00 - 11:15,22.21,-59.00,-5.30,3.38,-255.00
11:15 - 11:30,23.17,-53.00,-5.30,4.15,-255.00
11:30 - 11:45,27.03,-44.00,-5.30,3.19,-220.00
11:45 - 12:00,25.10,-37.00,-5.30,4.44,-215.00
12:00 - 12:15,26.06,-20.00,-4.40,9.66,-200.00
12:15 - 12:30,24.14,-19.00,-5.30,9.27,-200.00
12:30 - 12:45,0.00,-22.00,0.00,8.21,-210.00
12:45 - 13:00,0.00,-28.00,0.00,7.72,-210.00
13:00 - 13:15,0.00,-49.00,0.00,7.72,-210.00
13:15 - 13:30,0.00,-59.00,0.00,4.34,-210.00
13:30 - 13:45,0.00,-68.00,0.00,5.79,-210.00
13:45 - 14:00,0.00,-87.00,0.00,5.31,-220.00
14:00 - 14:15,0.00,-72.00,-5.30,4.54,-250.00
14:15 - 14:30,0.00,-67.00,-5.30,5.31,-250.00
14:30 - 14:45,0.00,-144.00,-5.30,4.83,-240.00
14:45 - 15:00,0.00,-186.00,-5.30,5.31,-240.00
15:00 - 15:15,31.86,-116.00,-5.30,6.47,-200.00
15:15 - 15:30,68.55,-116.00,-5.30,6.76,-200.00
15:30 - 15:45,65.66,-75.00,-5.30,6.37,-230.00
15:45 - 16:00,69.51,-70.00,-3.30,8.50,-230.00
16:00 - 16:15,33.79,-40.00,-0.30,8.69,-200.00
16:15 - 16:30,17.38,-51.00,-0.30,8.69,-200.00
16:30 - 16:45,0.00,-54.00,-0.30,8.69,-200.00
16:45 - 17:00,0.00,-63.00,-0.30,9.66,-170.00
17:00 - 17:15,0.00,-94.00,-0.30,9.17,-166.00
17:15 - 17:30,0.00,-78.00,-0.30,8.98,-150.00
17:30 - 17:45,0.00,0.00,-0.30,9.66,-117.00
17:45 - 18:00,0.00,0.00,-0.30,10.62,-162.00
18:00 - 18:15,28.97,0.00,-0.30,10.62,-57.00
18:15 - 18:30,36.69,0.00,-0.30,10.62,-82.00
18:30 - 18:45,55.03,0.00,-0.30,10.62,-95.00
18:45 - 19:00,13.52,0.00,-0.30,10.62,-105.00
19:00 - 19:15,0.00,0.00,-0.30,10.62,-40.00
19:15 - 19:30,-44.00,0.00,-0.30,10.62,-175.00
19:30 - 19:45,0.00,0.00,-0.30,10.62,-143.00
19:45 - 20:00,0.00,0.00,-0.30,10.62,-125.00
20:00 - 20:15,0.00,-25.00,-0.30,10.62,-120.00
20:15 - 20:30,0.00,-13.00,-0.30,10.62,-110.00
20:30 - 20:45,25.10,0.00,-0.30,9.66,-105.00
20:45 - 21:00,27.99,0.00,-0.30,9.66,-90.00
21:00 - 21:15,115.86,0.00,-0.30,12.17,-75.00
21:15 - 21:30,85.92,0.00,-0.30,12.17,-70.00
21:30 - 21:45,58.90,0.00,-0.30,11.97,-90.00
21:45 - 22:00,55.04,0.00,-0.30,11.68,-130.00
22:00 - 22:15,89.79,0.00,-1.30,11.68,-90.00
22:15 - 22:30,95.58,0.00,-1.30,10.91,-48.00
22:30 - 22:45,0.00,0.00,-1.30,10.33,-40.00
22:45 - 23:00,0.00,0.00,-1.30,9.75,-40.00
23:00 - 23:15,16.42,0.00,-1.30,9.17,-42.00
23:15 - 23:30,29.93,0.00,-1.30,8.98,-37.00
23:30 - 23:45,0.00,-10.00,-1.30,8.69,-46.00
23:45 - 24:00,0.00,-20.00,-1.30,8.50,-59.00
