Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
20:15 - 20:30,41.55,-61.00,-0.10,12.56,-10.00,38.64
20:30 - 20:45,-22.00,-40.00,-0.10,12.56,-10.00,96.61
20:45 - 21:00,13.53,-40.00,-0.10,12.56,-10.00,96.60
21:00 - 21:15,0.00,-123.00,-0.10,13.53,0.00,61.83
21:15 - 21:30,0.00,-126.00,-0.10,13.53,0.00,70.52
21:30 - 21:45,0.00,-145.00,-0.10,13.53,0.00,48.30
21:45 - 22:00,0.00,-155.00,-0.10,13.53,0.00,57.96
22:00 - 22:15,0.00,-162.00,-0.10,13.53,0.00,50.23
22:15 - 22:30,0.00,-167.00,-0.10,13.53,0.00,-19.00
22:30 - 22:45,-15.00,-132.00,-0.10,12.56,0.00,41.54
22:45 - 23:00,-6.00,-115.00,-0.10,12.56,0.00,41.54
23:00 - 23:15,-7.00,-108.00,-0.10,12.56,0.00,41.54
23:15 - 23:30,-14.00,-100.00,-0.10,12.56,0.00,41.54
23:30 - 23:45,-66.00,-85.00,-0.10,9.66,0.00,38.65
23:45 - 24:00,-78.00,-85.00,-0.10,9.66,0.00,38.65
