Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
11:15 - 11:30,28.82,-13.00,-0.30,8.93,76.86
11:30 - 11:45,71.09,-21.00,-0.30,8.65,76.85
11:45 - 12:00,47.07,-24.00,-0.30,8.65,81.66
12:00 - 12:15,33.62,-37.00,-0.30,8.65,76.86
12:15 - 12:30,56.68,-32.00,-0.30,8.45,81.66
12:30 - 12:45,62.45,-13.00,-0.30,8.45,67.25
12:45 - 13:00,44.19,-11.00,-0.30,8.07,57.64
13:00 - 13:15,21.13,-15.00,-0.30,8.65,0.00
13:15 - 13:30,4.80,-21.00,-0.30,8.36,0.00
13:30 - 13:45,-8.00,-32.00,-0.30,7.49,28.82
13:45 - 14:00,-3.00,-37.00,-0.30,6.92,19.21
14:00 - 14:15,7.69,-28.00,-0.30,7.69,43.22
14:15 - 14:30,18.25,-32.00,-0.30,8.17,43.23
14:30 - 14:45,11.53,-50.00,-0.30,8.26,28.82
14:45 - 15:00,29.78,-40.00,-0.30,8.36,28.82
15:00 - 15:15,85.51,-34.00,-0.30,8.45,33.62
15:15 - 15:30,91.27,-37.00,-0.30,8.55,33.62
15:30 - 15:45,62.45,-46.00,-0.30,5.76,52.84
15:45 - 16:00,71.10,-58.00,-0.30,5.76,33.62
16:00 - 16:15,22.10,-122.00,-0.30,7.01,19.21
16:15 - 16:30,26.90,-96.00,-0.30,7.69,-20.00
16:30 - 16:45,19.21,-124.00,-0.30,7.69,-87.00
16:45 - 17:00,25.94,-160.00,-0.30,8.17,5.76
17:00 - 17:15,38.42,-154.00,-0.30,10.57,38.43
17:15 - 17:30,36.51,-154.00,-0.30,12.49,-35.00
17:30 - 17:45,-4.00,-160.00,-0.30,14.41,-32.00
17:45 - 18:00,-8.00,-175.00,-0.30,15.37,-42.00
18:00 - 18:15,17.77,-154.00,-0.30,11.52,-34.00
18:15 - 18:30,0.00,-162.00,-0.30,14.59,-28.00
18:30 - 18:45,0.00,-164.00,-0.30,15.85,-30.00
18:45 - 19:00,0.00,-160.00,-0.30,15.85,-45.00
19:00 - 19:15,14.41,-33.00,-0.30,15.85,-42.00
19:15 - 19:30,54.76,0.00,-0.30,15.37,12.49
19:30 - 19:45,37.47,0.00,-0.30,14.41,4.80
19:45 - 20:00,-11.00,0.00,-0.30,14.12,52.84
20:00 - 20:15,43.23,-10.00,-0.30,12.78,0.00
20:15 - 20:30,42.27,-8.00,-0.30,12.49,-38.00
20:30 - 20:45,38.43,0.00,-0.30,12.30,33.62
20:45 - 21:00,38.42,0.00,-0.30,11.72,35.55
21:00 - 21:15,34.58,0.00,-0.30,11.53,-80.00
21:15 - 21:30,28.82,0.00,-0.30,10.86,-39.00
21:30 - 21:45,39.38,0.00,-0.30,9.90,0.00
21:45 - 22:00,38.43,0.00,-0.30,9.90,4.80
22:00 - 22:15,48.99,21.14,-1.30,9.32,16.33
22:15 - 22:30,46.11,17.29,-1.30,8.65,16.33
22:30 - 22:45,41.31,0.00,-1.30,8.55,16.33
22:45 - 23:00,40.35,0.00,-1.30,7.88,0.00
23:00 - 23:15,28.82,-9.00,-1.30,7.40,10.57
23:15 - 23:30,27.86,-18.00,-1.30,7.21,2.88
23:30 - 23:45,8.64,-15.00,-1.30,6.92,-6.00
23:45 - 24:00,9.61,-20.00,-1.30,6.82,-21.00
