Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
08:00 - 08:15,-12.00,28.84,7.69,-45.00,0.00,-65.00
08:15 - 08:30,-18.00,33.65,5.77,-28.00,0.00,-60.00
08:30 - 08:45,-51.00,33.65,8.65,-9.00,0.00,-65.00
08:45 - 09:00,-38.00,38.46,9.13,-5.00,0.00,-60.00
09:00 - 09:15,-30.00,82.68,9.61,-17.00,0.00,-5.00
09:15 - 09:30,-24.00,86.52,9.52,0.00,0.00,4.81
09:30 - 09:45,0.00,128.83,10.09,0.00,0.00,62.49
09:45 - 10:00,7.69,136.52,10.58,0.00,0.00,91.33
10:00 - 10:15,36.53,171.13,9.61,0.00,0.00,86.53
10:15 - 10:30,47.11,171.13,9.61,0.00,0.00,86.53
10:30 - 10:45,6.73,176.90,6.73,0.00,0.00,115.37
10:45 - 11:00,33.65,185.55,4.81,0.00,0.00,124.98
11:00 - 11:15,74.03,187.47,6.25,0.00,0.00,100.95
11:15 - 11:30,96.14,184.59,4.81,0.00,0.00,110.56
11:30 - 11:45,82.68,201.89,3.56,0.00,0.00,110.56
11:45 - 12:00,65.38,187.47,2.21,0.00,0.00,110.56
12:00 - 12:15,39.42,168.25,0.00,0.00,0.00,91.33
12:15 - 12:30,31.73,160.55,0.00,0.00,0.00,91.33
12:30 - 12:45,70.18,148.05,0.00,0.00,0.00,86.53
12:45 - 13:00,66.34,150.94,0.00,0.00,0.00,76.91
13:00 - 13:15,78.83,160.56,10.96,0.00,0.00,29.80
13:15 - 13:30,79.80,130.75,10.86,0.00,0.00,40.38
13:30 - 13:45,104.79,108.65,10.86,0.00,0.00,62.49
13:45 - 14:00,124.98,129.79,10.86,0.00,0.00,86.53
14:00 - 14:15,203.82,138.44,10.86,0.00,0.00,-5.00
14:15 - 14:30,194.21,166.32,10.86,0.00,0.00,57.68
14:30 - 14:45,210.55,197.09,10.96,0.00,0.00,76.91
14:45 - 15:00,196.13,216.31,11.06,0.00,0.00,81.72
15:00 - 15:15,234.57,202.86,9.23,0.00,0.00,67.30
15:15 - 15:30,226.89,172.09,9.13,0.00,0.00,86.53
15:30 - 15:45,288.42,184.59,9.23,0.00,0.00,100.95
15:45 - 16:00,306.68,185.55,9.33,0.00,0.00,100.95
16:00 - 16:15,31.73,174.96,10.29,0.00,0.00,72.11
16:15 - 16:30,0.00,178.82,10.29,0.00,0.00,62.49
16:30 - 16:45,0.00,148.05,10.29,0.00,0.00,61.53
16:45 - 17:00,0.00,153.82,11.54,0.00,0.00,68.26
17:00 - 17:15,-29.00,115.37,11.54,0.00,0.00,110.56
17:15 - 17:30,-30.00,96.14,10.29,0.00,0.00,105.75
17:30 - 17:45,-92.00,66.34,9.33,-30.00,0.00,57.68
17:45 - 18:00,-75.00,51.92,7.69,-42.00,0.00,57.68
18:00 - 18:15,21.15,34.61,5.77,-42.00,0.00,57.68
18:15 - 18:30,25.96,36.53,6.73,-43.00,0.00,9.61
18:30 - 18:45,50.95,47.11,7.69,-31.00,0.00,-65.00
18:45 - 19:00,70.18,53.84,8.65,-32.00,0.00,0.00
19:00 - 19:15,38.46,34.61,13.46,-34.00,0.00,-7.00
19:15 - 19:30,-10.00,49.03,11.54,-37.00,0.00,-5.00
19:30 - 19:45,13.46,19.23,12.50,-37.00,0.00,0.00
19:45 - 20:00,11.54,0.00,12.98,-38.00,0.00,-20.00
20:00 - 20:15,0.00,-16.00,13.46,-38.00,0.00,-25.00
20:15 - 20:30,0.00,-18.00,13.84,-39.00,0.00,-25.00
20:30 - 20:45,-13.00,-30.00,14.42,-35.00,0.00,-30.00
20:45 - 21:00,-52.00,-43.00,14.42,-35.00,-20.00,-35.00
21:00 - 21:15,-114.00,-45.00,15.19,-35.00,-20.00,-20.00
21:15 - 21:30,-121.00,-50.00,14.35,-35.00,-20.00,-20.00
21:30 - 21:45,-80.00,-55.00,15.03,-35.00,-20.00,-5.00
21:45 - 22:00,-56.00,-53.00,14.94,-35.00,-20.00,0.00
22:00 - 22:15,-48.00,-49.00,15.38,-35.00,-20.00,48.07
22:15 - 22:30,-22.00,-46.00,15.38,-35.00,-20.00,19.23
22:30 - 22:45,-43.00,-44.00,13.64,-35.00,-20.00,13.63
22:45 - 23:00,-17.00,-48.00,13.99,-35.00,-20.00,-5.00
23:00 - 23:15,0.00,-30.00,13.46,-40.00,-20.00,0.96
23:15 - 23:30,0.00,-37.00,13.46,-40.00,-20.00,0.96
23:30 - 23:45,35.57,-8.00,12.50,-40.00,0.00,-23.00
23:45 - 24:00,0.00,-15.00,12.50,-40.00,0.00,-19.00
