Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
13:45 - 14:00,-336.00,-48.00,0.00,1.93,-101.00,-238.00
14:00 - 14:15,-374.00,-52.00,-0.50,3.86,-111.00,-246.00
14:15 - 14:30,-347.00,-50.00,-0.50,3.86,-75.00,-251.00
14:30 - 14:45,-404.00,-35.00,-0.50,3.86,-80.00,-219.00
14:45 - 15:00,-417.00,0.00,-0.50,3.86,-81.00,-177.00
15:00 - 15:15,-434.00,-21.00,-0.50,7.73,-81.00,-211.00
15:15 - 15:30,-320.00,-29.00,-0.50,7.73,-86.00,-223.00
15:30 - 15:45,-513.00,-26.00,-0.50,7.73,-90.00,-42.00
15:45 - 16:00,-524.00,-27.00,-0.50,7.73,-89.00,-39.00
16:00 - 16:15,-503.00,-50.00,-0.50,10.63,-83.00,-61.00
16:15 - 16:30,-518.00,-50.00,-0.50,10.63,-76.00,-62.00
16:30 - 16:45,-502.00,-58.00,-0.50,10.63,-81.00,-84.00
16:45 - 17:00,-469.00,-56.00,-0.50,11.59,-83.00,-65.00
17:00 - 17:15,-460.99,-108.00,-0.46,16.42,-56.00,-240.00
17:15 - 17:30,-452.00,-109.00,-0.42,16.42,-60.00,-280.00
17:30 - 17:45,-400.00,-52.00,-0.50,16.42,-64.00,-260.00
17:45 - 18:00,-381.00,-51.00,-0.50,16.42,-65.00,-230.00
18:00 - 18:15,-370.00,-117.00,-0.24,17.39,-65.00,-175.00
18:15 - 18:30,-363.00,-123.00,-0.50,18.35,-66.00,-190.00
18:30 - 18:45,-250.00,-117.00,-0.50,19.32,-66.00,-130.00
18:45 - 19:00,-243.00,-108.00,-0.50,20.29,-71.00,-140.00
19:00 - 19:15,-228.00,-74.00,-0.50,21.25,-77.00,-170.00
19:15 - 19:30,-226.00,-94.00,-0.50,21.25,-76.00,-170.00
19:30 - 19:45,-247.00,-102.00,-0.50,21.25,-75.00,-170.00
19:45 - 20:00,-235.00,-103.00,-0.50,21.25,-75.00,-180.00
20:00 - 20:15,-290.00,-153.00,-0.50,21.25,-44.00,-190.00
20:15 - 20:30,-291.00,-172.00,-0.50,21.25,-49.00,-190.00
20:30 - 20:45,-267.00,-160.00,-0.50,20.29,-29.00,-230.00
20:45 - 21:00,-229.00,-155.00,-0.50,20.29,-31.00,4.83
21:00 - 21:15,-151.00,-174.00,-0.50,19.32,-32.00,53.13
21:15 - 21:30,-143.00,-172.00,-0.50,19.32,-35.00,57.96
21:30 - 21:45,-87.00,-187.00,-0.10,18.35,-34.00,48.30
21:45 - 22:00,-33.00,-191.00,-0.10,18.35,-34.00,43.47
22:00 - 22:15,-12.00,-193.00,-0.10,17.39,-35.00,38.64
22:15 - 22:30,-30.00,-201.00,-0.10,17.39,-35.00,43.47
22:30 - 22:45,0.00,-242.00,-0.10,17.39,-34.00,17.39
22:45 - 23:00,0.00,-237.00,-0.10,17.39,-35.00,9.66
23:00 - 23:15,-138.00,-205.00,-0.10,17.39,-34.00,19.32
23:15 - 23:30,-145.00,-198.00,-0.10,17.39,-33.00,14.49
23:30 - 23:45,-165.00,-186.00,-0.10,17.39,-34.00,-7.00
23:45 - 24:00,-171.00,-183.00,-0.10,17.39,-36.00,-7.00
