Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
08:30 - 08:45,-16.00,0.00,-2.20,10.94,9.59
08:45 - 09:00,-8.00,0.00,-2.20,10.94,9.59
09:00 - 09:15,0.00,0.00,-1.50,7.87,23.98
09:15 - 09:30,0.00,0.00,-1.50,7.67,23.99
09:30 - 09:45,19.19,-13.00,-1.50,10.07,33.57
09:45 - 10:00,23.98,-14.00,-1.50,9.78,52.77
10:00 - 10:15,69.07,4.80,-1.50,8.63,62.35
10:15 - 10:30,84.42,4.80,-1.50,8.35,62.35
10:30 - 10:45,78.67,28.78,-1.50,8.15,62.35
10:45 - 11:00,85.38,28.78,-1.50,7.87,62.35
11:00 - 11:15,63.31,32.62,-1.50,9.31,74.82
11:15 - 11:30,69.07,34.53,-1.50,9.11,77.71
11:30 - 11:45,93.04,47.01,-1.50,8.83,82.50
11:45 - 12:00,96.89,45.09,-1.50,8.44,82.50
12:00 - 12:15,141.02,39.33,-1.50,7.19,154.45
12:15 - 12:30,139.10,29.74,-1.50,6.72,160.20
12:30 - 12:45,173.62,20.15,-1.50,6.24,137.18
12:45 - 13:00,165.96,22.06,-1.50,5.76,135.26
13:00 - 13:15,162.12,13.43,-1.50,4.80,28.78
13:15 - 13:30,200.49,13.43,-1.50,4.22,47.97
13:30 - 13:45,106.47,33.58,-1.50,3.84,74.83
13:45 - 14:00,77.70,30.70,-1.50,3.55,71.95
14:00 - 14:15,98.81,20.15,-1.50,3.36,89.21
14:15 - 14:30,92.10,21.10,-1.50,3.36,89.21
14:30 - 14:45,81.54,0.00,-1.50,3.36,76.74
14:45 - 15:00,72.90,0.00,-1.50,4.80,56.60
15:00 - 15:15,42.21,0.00,-1.50,4.51,-6.00
15:15 - 15:30,37.41,0.00,-1.50,4.22,-6.00
15:30 - 15:45,13.43,0.00,-1.50,3.84,45.08
15:45 - 16:00,38.37,0.00,-1.50,4.80,47.00
16:00 - 16:15,42.21,-30.00,-1.50,6.72,8.63
16:15 - 16:30,59.47,-5.00,-1.50,6.72,-50.00
16:30 - 16:45,38.37,0.00,-1.50,6.72,7.67
16:45 - 17:00,39.33,0.00,-1.50,7.67,5.76
17:00 - 17:15,22.06,0.00,-1.50,6.72,9.59
17:15 - 17:30,55.64,0.00,-1.50,7.67,14.39
17:30 - 17:45,46.05,0.00,-1.50,9.59,-55.00
17:45 - 18:00,49.89,0.00,-1.50,10.55,-63.00
18:00 - 18:15,73.86,44.13,-1.50,12.47,-59.00
18:15 - 18:30,60.44,35.49,-1.50,12.76,-55.00
18:30 - 18:45,57.56,36.45,-1.50,12.95,-62.00
18:45 - 19:00,34.54,21.10,-1.50,13.14,-79.00
19:00 - 19:15,0.00,53.72,-1.50,12.95,-169.00
19:15 - 19:30,19.19,56.59,-1.50,12.76,-155.00
19:30 - 19:45,24.94,54.68,-1.50,12.47,-143.00
19:45 - 20:00,41.25,46.05,-1.50,12.47,-73.00
20:00 - 20:15,38.38,9.59,-1.50,12.47,-6.00
20:15 - 20:30,28.78,0.00,-1.50,12.47,64.27
20:30 - 20:45,-12.00,0.00,-1.50,11.51,63.32
20:45 - 21:00,-11.00,0.00,-1.50,11.99,59.48
21:00 - 21:15,-32.00,0.00,-1.50,11.51,41.25
21:15 - 21:30,-25.00,0.00,-1.50,11.03,40.29
21:30 - 21:45,-34.00,0.00,-1.50,10.55,17.27
21:45 - 22:00,-42.00,0.00,-1.50,10.07,17.27
22:00 - 22:15,0.00,0.00,-2.20,9.59,-45.00
22:15 - 22:30,30.70,0.00,-2.20,9.11,-45.00
22:30 - 22:45,23.99,0.00,-2.20,8.63,-40.00
22:45 - 23:00,17.27,0.00,-2.20,9.11,-40.00
23:00 - 23:15,0.00,0.00,-2.20,8.63,-40.00
23:15 - 23:30,0.00,0.00,-2.20,7.96,-40.00
23:30 - 23:45,-12.00,0.00,-2.20,7.77,-40.00
23:45 - 24:00,-8.00,0.00,-2.20,7.67,-30.00
