Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
08:30 - 08:45,-125.00,186.31,17.65,3.27,-84.00
08:45 - 09:00,-152.00,252.56,20.18,3.74,-83.00
09:00 - 09:15,-93.00,136.43,20.18,4.80,-71.00
09:15 - 09:30,-52.00,127.79,22.10,4.80,-65.00
09:30 - 09:45,-93.00,96.08,21.14,4.80,-102.00
09:45 - 10:00,-56.00,96.08,21.14,4.80,-118.00
10:00 - 10:15,-121.00,73.98,21.14,4.80,-160.00
10:15 - 10:30,-81.00,85.51,21.14,4.80,-158.00
10:30 - 10:45,4.80,25.95,20.18,4.80,-180.00
10:45 - 11:00,2.88,25.94,20.18,3.36,-180.00
11:00 - 11:15,-20.00,87.42,19.22,4.04,-95.00
11:15 - 11:30,0.00,134.51,18.26,3.84,-20.00
11:30 - 11:45,92.24,157.57,18.26,3.07,-95.00
11:45 - 12:00,42.28,123.95,17.29,4.80,-45.00
12:00 - 12:15,-10.00,142.20,19.22,4.80,-15.00
12:15 - 12:30,-12.00,133.55,19.22,4.80,0.00
12:30 - 12:45,-15.00,115.30,19.22,4.80,0.00
12:45 - 13:00,-20.00,115.30,19.22,4.80,4.80
13:00 - 13:15,-60.00,91.28,14.41,4.80,-90.00
13:15 - 13:30,-20.00,87.44,14.41,4.80,-15.00
13:30 - 13:45,15.37,87.44,12.49,4.80,-30.00
13:45 - 14:00,18.26,94.16,11.53,4.80,-20.00
14:00 - 14:15,9.61,98.96,9.61,4.80,-20.00
14:15 - 14:30,14.41,112.42,9.61,4.80,-40.00
14:30 - 14:45,0.00,93.20,7.21,4.80,-65.00
14:45 - 15:00,0.00,89.35,7.21,4.80,-30.00
15:00 - 15:15,-25.00,95.13,3.84,4.80,-50.00
15:15 - 15:30,-25.00,96.09,3.84,4.80,-60.00
15:30 - 15:45,-58.00,100.89,4.80,4.80,-50.00
15:45 - 16:00,-17.00,100.89,4.80,4.80,-50.00
16:00 - 16:15,24.98,112.42,4.80,4.80,-55.00
16:15 - 16:30,26.90,38.44,5.76,4.80,-40.00
16:30 - 16:45,34.59,73.02,6.73,4.80,-36.00
16:45 - 17:00,9.61,55.73,8.65,4.80,-42.00
17:00 - 17:15,17.29,118.19,11.53,4.80,-69.00
17:15 - 17:30,16.91,89.50,10.57,3.53,-99.00
17:30 - 17:45,5.73,100.00,7.05,2.20,-108.00
17:45 - 18:00,5.91,97.46,4.56,1.50,-109.00
18:00 - 18:15,10.82,110.32,1.95,0.84,-109.00
18:15 - 18:30,34.43,109.75,1.69,0.66,-116.00
18:30 - 18:45,118.60,198.10,2.30,0.97,-126.00
18:45 - 19:00,112.84,209.70,2.43,0.84,-126.00
19:00 - 19:15,40.83,120.95,2.78,1.10,-107.00
19:15 - 19:30,10.08,89.70,2.92,0.82,-101.00
19:30 - 19:45,11.91,41.37,3.97,1.17,-33.00
19:45 - 20:00,0.00,40.69,4.74,1.39,1.95
20:00 - 20:15,47.08,134.51,18.26,4.80,-13.00
20:15 - 20:30,65.33,124.91,18.26,4.80,-24.00
20:30 - 20:45,35.55,57.65,18.26,4.80,40.35
20:45 - 21:00,30.75,151.81,17.29,4.80,86.47
21:00 - 21:15,42.28,28.82,17.29,4.80,47.09
21:15 - 21:30,24.02,33.63,16.33,4.80,36.52
21:30 - 21:45,52.84,182.57,16.33,4.80,14.41
21:45 - 22:00,73.98,192.17,16.33,4.80,31.71
22:00 - 22:15,-105.00,83.59,16.33,4.80,18.26
22:15 - 22:30,-48.00,83.60,15.37,4.80,35.55
22:30 - 22:45,13.45,76.88,14.41,4.80,28.82
22:45 - 23:00,67.26,72.06,12.49,4.80,18.26
23:00 - 23:15,66.30,78.78,10.57,4.80,19.22
23:15 - 23:30,60.53,62.46,9.61,4.80,13.45
23:30 - 23:45,44.20,40.35,8.65,4.80,-20.00
23:45 - 24:00,15.37,28.83,7.69,4.80,-25.00
