Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
16:15 - 16:30,35.76,70.54,0.68,-0.50,5.80,-10.00,0.00,0.29,-81.00
16:30 - 16:45,71.51,88.91,0.68,-0.50,6.76,-10.00,0.00,0.29,-64.00
16:45 - 17:00,85.04,99.54,0.68,-0.50,6.76,-10.00,0.00,0.29,-70.00
17:00 - 17:15,161.39,198.10,0.68,-0.50,8.70,0.00,0.00,0.29,13.53
17:15 - 17:30,166.22,210.67,0.68,-0.50,8.70,0.00,0.00,0.29,9.66
17:30 - 17:45,115.97,217.44,0.68,-0.50,9.66,0.00,0.00,0.29,24.16
17:45 - 18:00,117.90,207.78,0.68,-0.50,9.66,0.00,0.00,0.29,9.66
18:00 - 18:15,131.43,153.66,0.29,-0.50,10.63,0.00,0.00,0.29,9.66
18:15 - 18:30,117.90,154.62,0.29,-0.50,11.60,0.00,0.00,0.29,0.00
18:30 - 18:45,87.94,156.56,0.29,-0.50,12.56,0.00,0.00,0.29,-14.00
18:45 - 19:00,67.65,148.83,0.29,-0.50,12.56,0.00,0.00,0.00,-20.00
19:00 - 19:15,0.00,131.43,0.29,-0.50,12.56,0.00,0.00,0.29,-27.00
19:15 - 19:30,0.00,124.67,0.29,-0.50,12.56,0.00,0.00,0.00,-19.00
19:30 - 19:45,24.16,141.10,0.29,-0.50,12.56,0.00,0.00,0.29,0.00
19:45 - 20:00,-4.00,133.37,0.29,-0.50,12.56,0.00,0.00,0.29,0.00
20:00 - 20:15,-45.00,122.73,0.29,-0.50,12.76,0.00,0.00,0.29,-24.00
20:15 - 20:30,-50.00,123.70,0.29,-0.50,12.76,0.00,0.00,0.29,-16.00
20:30 - 20:45,-78.00,122.73,0.29,-0.50,12.76,0.00,0.00,0.29,0.00
20:45 - 21:00,-69.00,121.76,0.29,-0.50,12.76,0.00,0.00,0.29,0.00
21:00 - 21:15,-12.00,103.40,0.29,-0.50,12.76,0.00,0.00,0.29,-11.00
21:15 - 21:30,-19.00,95.67,0.29,-0.50,12.66,0.00,0.00,0.29,-25.00
21:30 - 21:45,-43.00,80.21,0.29,-0.50,12.56,0.00,0.00,0.29,-37.00
21:45 - 22:00,-41.00,90.84,0.29,-0.50,12.37,0.00,0.00,0.29,-92.00
22:00 - 22:15,42.52,88.92,0.19,-1.50,12.27,0.00,0.00,0.29,-72.00
22:15 - 22:30,7.73,74.42,0.19,-1.50,11.98,0.00,0.00,0.29,-72.00
22:30 - 22:45,22.23,76.35,0.19,-1.50,11.79,0.00,0.00,0.29,-85.00
22:45 - 23:00,23.19,79.25,0.19,-1.50,11.79,0.00,0.00,0.29,-90.00
23:00 - 23:15,14.50,63.78,0.68,-1.50,11.40,0.00,0.00,0.29,-100.00
23:15 - 23:30,9.66,57.99,0.68,-1.50,11.11,0.00,0.00,0.29,-100.00
23:30 - 23:45,58.95,46.39,0.68,-1.50,10.82,0.00,0.00,0.29,-100.00
23:45 - 24:00,85.04,41.56,0.68,-1.50,10.63,0.00,0.00,0.29,-100.00
