Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
15:30 - 15:45,-16.00,70.53,-0.10,13.53,-38.00,0.00,0.00,120.75
15:45 - 16:00,-15.00,64.73,-0.10,13.53,-41.00,0.00,0.00,120.76
16:00 - 16:15,-50.00,74.39,-0.10,15.46,-43.00,0.00,0.00,126.56
16:15 - 16:30,-55.00,59.90,-0.10,15.46,-46.00,0.00,0.00,129.45
16:30 - 16:45,-76.00,53.14,-0.10,14.49,-48.00,0.00,0.00,120.76
16:45 - 17:00,-77.00,57.97,-0.10,14.49,-53.00,0.00,0.00,111.10
17:00 - 17:15,-89.00,40.58,-0.10,18.36,-9.00,0.00,0.00,120.75
17:15 - 17:30,-93.00,35.75,-0.10,16.42,-19.00,0.00,0.00,120.76
17:30 - 17:45,-74.00,57.96,-0.10,14.49,-34.00,0.00,0.00,57.97
17:45 - 18:00,-82.00,50.23,-0.10,13.53,-49.00,0.00,0.00,48.31
18:00 - 18:15,-45.00,95.65,-0.10,12.56,-63.00,0.00,0.00,28.98
18:15 - 18:30,-67.00,94.68,-0.10,11.59,-62.00,0.00,0.00,33.81
18:30 - 18:45,-82.00,38.65,-0.10,11.59,-91.00,0.00,0.00,14.49
18:45 - 19:00,-114.00,11.59,-0.10,11.60,-91.00,0.00,0.00,0.00
19:00 - 19:15,-109.00,94.68,-0.10,11.59,-89.00,0.00,0.00,91.78
19:15 - 19:30,-82.00,93.71,-0.10,12.56,-90.00,0.00,0.00,19.32
19:30 - 19:45,6.76,45.41,-0.10,12.56,-90.00,0.00,0.00,-10.00
19:45 - 20:00,35.75,40.57,-0.10,12.56,-90.00,0.00,0.00,-35.00
20:00 - 20:15,-220.00,29.94,-0.10,13.53,-91.00,0.00,0.00,-30.00
20:15 - 20:30,-195.00,36.71,-0.10,13.53,-90.00,0.00,0.00,-20.00
20:30 - 20:45,-135.00,56.03,-0.10,13.53,-93.00,0.00,0.00,-25.00
20:45 - 21:00,-96.00,57.74,-0.10,13.48,-93.00,0.00,-25.00,-15.00
21:00 - 21:15,-38.00,-14.00,-0.10,10.48,-94.00,0.07,-25.00,-10.00
21:15 - 21:30,-37.00,-3.00,-0.10,11.03,-90.00,0.00,-25.00,0.00
21:30 - 21:45,11.74,-5.00,-0.10,8.80,-91.00,0.00,-25.00,5.86
21:45 - 22:00,36.95,-10.00,-0.10,7.91,-91.00,0.00,-25.00,5.27
22:00 - 22:15,22.63,-35.00,-0.10,7.72,-91.00,0.00,-8.00,0.00
22:15 - 22:30,8.03,-37.00,-0.10,4.63,-91.00,0.21,-8.00,0.00
22:30 - 22:45,7.14,-15.00,-0.10,4.46,-94.00,0.63,-8.00,11.89
22:45 - 23:00,10.52,-14.00,-0.10,4.78,-95.00,0.73,-8.00,15.96
23:00 - 23:15,5.81,-9.00,-0.10,3.54,-95.00,0.38,0.00,12.62
23:15 - 23:30,7.55,-10.00,-0.10,3.64,-95.00,0.39,0.00,7.80
23:30 - 23:45,8.21,-18.00,-0.10,3.83,-95.00,0.00,0.00,16.41
23:45 - 24:00,10.92,-23.00,-0.10,3.92,-96.00,0.00,0.00,12.60
