Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
12:00 - 12:15,281.69,176.90,0.00,0.00,0.00,54.80
12:15 - 12:30,280.73,179.78,0.00,0.00,0.00,64.41
12:30 - 12:45,204.77,197.09,-8.00,0.00,0.00,67.30
12:45 - 13:00,192.28,193.24,-10.00,0.00,0.00,43.26
13:00 - 13:15,152.86,169.21,0.00,0.00,0.00,-17.00
13:15 - 13:30,166.32,174.98,0.00,0.00,0.00,-61.00
13:30 - 13:45,60.57,154.78,0.00,0.00,0.00,-18.00
13:45 - 14:00,32.69,173.05,0.00,0.00,0.00,43.26
14:00 - 14:15,-43.00,188.43,-2.00,0.00,0.00,-30.00
14:15 - 14:30,-71.00,207.66,-2.00,0.00,0.00,-20.00
14:30 - 14:45,-49.00,139.40,-3.50,-16.00,0.00,14.42
14:45 - 15:00,-21.00,151.90,-3.50,-15.00,0.00,38.46
15:00 - 15:15,-27.00,99.02,-9.00,-14.00,0.00,-10.00
15:15 - 15:30,-85.00,76.91,-9.00,-16.00,0.00,-10.00
15:30 - 15:45,-95.00,131.71,-9.00,-20.00,0.00,-10.00
15:45 - 16:00,-94.00,139.40,-9.00,-21.00,0.00,-10.00
16:00 - 16:15,-63.00,151.90,-9.00,-27.00,0.00,-6.00
16:15 - 16:30,-34.00,120.18,-10.00,-32.00,0.00,-12.00
16:30 - 16:45,74.99,145.17,-10.00,-38.00,0.00,-24.00
16:45 - 17:00,124.02,167.28,-9.00,-43.00,0.00,-17.00
17:00 - 17:15,177.86,218.24,0.00,-50.00,0.00,-35.00
17:15 - 17:30,195.16,201.90,-1.00,-59.00,0.00,-35.00
17:30 - 17:45,184.59,150.94,-2.00,-70.00,0.00,4.81
17:45 - 18:00,203.81,110.56,-3.00,-39.00,0.00,4.81
18:00 - 18:15,183.63,92.29,-5.00,-44.00,0.00,38.46
18:15 - 18:30,118.25,71.14,-4.00,-48.00,0.00,38.46
18:30 - 18:45,32.69,29.80,-1.00,-50.00,0.00,43.26
18:45 - 19:00,0.00,26.92,0.96,-51.00,0.00,124.98
19:00 - 19:15,-51.00,-5.00,2.88,-52.00,0.00,72.11
19:15 - 19:30,-96.00,0.00,2.88,-59.00,0.00,33.65
19:30 - 19:45,-44.00,5.77,3.85,-57.00,-10.30,19.22
19:45 - 20:00,-40.00,11.54,3.85,-59.00,-10.30,28.83
20:00 - 20:15,-48.00,0.00,3.85,-56.00,0.00,38.45
20:15 - 20:30,-24.00,0.00,3.85,-58.00,0.00,43.26
20:30 - 20:45,0.00,11.54,6.73,-58.00,0.00,57.68
20:45 - 21:00,22.31,18.59,6.51,-61.00,0.00,55.80
21:00 - 21:15,58.64,33.65,6.73,-61.00,0.00,52.88
21:15 - 21:30,116.13,41.67,6.21,-61.00,0.00,57.63
21:30 - 21:45,86.53,29.16,6.59,-66.00,0.00,43.26
21:45 - 22:00,139.85,25.69,6.66,-67.00,0.00,38.05
22:00 - 22:15,168.24,35.57,5.77,-66.00,0.00,33.65
22:15 - 22:30,203.82,36.53,5.77,-65.00,0.00,33.65
22:30 - 22:45,166.15,25.02,5.35,-66.00,0.00,35.73
22:45 - 23:00,219.59,56.35,4.14,-61.00,0.00,37.28
23:00 - 23:15,301.88,84.60,4.81,-63.00,0.00,33.65
23:15 - 23:30,268.23,79.80,4.81,-64.00,0.00,28.84
23:30 - 23:45,236.50,76.91,3.85,-65.00,0.00,19.23
23:45 - 24:00,198.04,65.38,3.85,-67.00,0.00,19.23
