Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
12:30 - 12:45,337.67,72.15,16.35,0.00,139.49
12:45 - 13:00,293.42,69.26,16.35,0.00,141.41
13:00 - 13:15,249.16,42.33,16.35,0.00,138.53
13:15 - 13:30,207.80,38.48,16.35,0.00,101.01
13:30 - 13:45,195.29,43.29,15.39,0.00,134.68
13:45 - 14:00,202.98,43.29,15.39,0.00,158.73
14:00 - 14:15,189.52,59.64,15.39,0.00,161.62
14:15 - 14:30,210.68,44.25,15.39,0.00,156.81
14:30 - 14:45,188.55,53.87,14.43,0.00,202.99
14:45 - 15:00,208.75,25.01,14.43,0.00,195.29
15:00 - 15:15,204.90,62.53,13.47,0.00,200.10
15:15 - 15:30,201.05,43.29,13.47,0.00,195.29
15:30 - 15:45,253.96,32.71,13.47,0.00,119.29
15:45 - 16:00,280.90,8.66,13.47,0.00,39.44
16:00 - 16:15,330.93,46.18,14.43,0.96,-36.00
16:15 - 16:30,343.43,46.18,14.43,0.00,3.85
16:30 - 16:45,354.97,56.76,14.43,0.00,17.32
16:45 - 17:00,387.69,65.42,15.39,0.00,53.87
17:00 - 17:15,276.09,120.25,14.43,0.00,86.58
17:15 - 17:30,289.57,107.74,15.39,0.00,38.48
17:30 - 17:45,168.35,113.52,15.39,0.00,14.43
17:45 - 18:00,148.15,112.55,15.39,0.00,0.00
18:00 - 18:15,60.61,153.91,17.32,0.00,-15.00
18:15 - 18:30,189.51,190.48,17.32,0.96,0.00
18:30 - 18:45,253.00,197.21,17.32,1.25,-24.00
18:45 - 19:00,297.25,202.02,17.32,0.00,-22.00
19:00 - 19:15,280.90,177.01,17.32,0.00,8.66
19:15 - 19:30,318.42,189.51,17.32,0.00,15.39
19:30 - 19:45,331.88,190.48,17.32,0.00,-26.00
19:45 - 20:00,287.64,171.24,16.35,0.00,-22.00
20:00 - 20:15,241.47,148.15,16.35,0.00,30.78
20:15 - 20:30,271.28,158.73,16.35,0.00,113.52
20:30 - 20:45,289.57,110.63,16.35,0.00,78.88
20:45 - 21:00,304.95,108.71,15.39,0.00,81.77
21:00 - 21:15,231.84,60.61,15.39,0.00,47.14
21:15 - 21:30,195.29,59.64,14.43,0.00,42.33
21:30 - 21:45,112.55,41.37,13.18,0.00,25.97
21:45 - 22:00,121.21,35.59,12.51,0.00,9.62
22:00 - 22:15,159.68,50.99,14.43,0.00,50.99
22:15 - 22:30,167.39,43.29,13.76,0.00,29.82
22:30 - 22:45,128.90,38.48,12.51,0.00,19.24
22:45 - 23:00,114.48,29.82,10.68,0.00,24.05
23:00 - 23:15,110.63,25.01,10.58,0.00,9.62
23:15 - 23:30,134.68,22.13,9.04,0.00,14.43
23:30 - 23:45,146.22,31.75,7.12,0.00,-10.00
23:45 - 24:00,124.09,32.71,6.45,0.00,-12.00
