Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
08:15 - 08:30,126.31,-45.00,0.00,-1.00,17.65,4.65,65.01
08:30 - 08:45,50.98,-37.00,0.00,-1.00,27.89,2.79,-40.00
08:45 - 09:00,-27.00,-37.00,0.00,-1.00,27.90,3.65,-130.00
09:00 - 09:15,-16.00,-26.00,0.00,-0.30,23.37,0.00,-235.00
09:15 - 09:30,-16.00,-31.00,0.00,-0.30,22.12,0.00,-240.00
09:30 - 09:45,31.74,-28.00,0.00,-0.30,22.89,0.00,-265.00
09:45 - 10:00,20.20,-30.00,0.00,-0.30,22.89,0.00,-200.00
10:00 - 10:15,18.27,-35.00,0.00,-0.30,20.11,0.00,-220.00
10:15 - 10:30,0.00,-30.00,0.00,-0.30,19.81,0.00,-185.00
10:30 - 10:45,46.17,-5.00,0.00,-0.30,17.79,0.00,-76.00
10:45 - 11:00,53.86,4.81,0.00,-0.30,17.79,0.00,-149.00
11:00 - 11:15,153.89,24.05,0.00,-0.30,19.04,0.00,-241.00
11:15 - 11:30,155.82,12.50,0.00,-0.30,19.04,0.00,-235.00
11:30 - 11:45,83.68,19.24,0.00,-0.30,18.56,0.00,-154.00
11:45 - 12:00,44.24,25.01,0.00,-0.30,17.31,0.00,-157.00
12:00 - 12:15,-10.00,0.00,0.00,-0.30,15.39,0.00,-162.00
12:15 - 12:30,9.62,0.00,0.00,-0.30,14.43,0.00,-154.00
12:30 - 12:45,52.90,9.62,0.00,-0.30,12.98,0.00,-171.00
12:45 - 13:00,75.02,19.24,0.00,-0.30,12.50,0.00,-189.00
13:00 - 13:15,70.22,11.54,0.00,-0.30,12.02,0.00,-181.00
13:15 - 13:30,68.29,0.00,0.00,-0.30,10.58,0.00,-175.00
13:30 - 13:45,119.26,-12.00,0.00,-0.30,10.10,0.00,-194.00
13:45 - 14:00,96.18,-16.00,0.00,-0.30,10.58,0.00,-192.00
14:00 - 14:15,98.11,38.47,0.00,-0.30,12.98,0.00,-189.00
14:15 - 14:30,86.57,38.47,0.00,-0.30,12.50,0.00,-192.00
14:30 - 14:45,96.19,17.31,0.00,-0.30,12.50,0.00,-142.00
14:45 - 15:00,93.30,4.81,0.00,-0.30,12.02,0.00,-131.00
15:00 - 15:15,54.82,0.00,0.00,-0.30,11.54,0.00,-137.00
15:15 - 15:30,39.44,0.00,0.00,-0.30,11.54,0.00,-130.00
15:30 - 15:45,0.00,-15.00,0.00,-0.30,11.54,0.00,-110.00
15:45 - 16:00,0.00,-22.00,0.00,-0.30,11.06,0.00,-116.00
16:00 - 16:15,25.97,-16.00,0.48,-0.30,12.50,0.00,-168.00
16:15 - 16:30,28.85,-20.00,0.48,-0.30,12.50,0.00,24.05
16:30 - 16:45,0.00,-20.00,0.44,-0.30,12.33,0.00,-23.00
16:45 - 17:00,-171.00,-75.00,0.32,-0.30,10.25,0.00,-76.00
17:00 - 17:15,-120.00,-118.00,0.17,-0.30,5.50,1.20,-51.00
17:15 - 17:30,-83.00,-102.00,0.16,-0.30,5.34,2.17,8.35
17:30 - 17:45,-121.00,-90.00,0.12,-0.30,4.07,1.97,10.40
17:45 - 18:00,-118.00,-88.00,0.11,-0.30,4.28,1.26,5.29
18:00 - 18:15,-124.00,-76.00,0.08,-0.30,3.55,0.57,-38.00
18:15 - 18:30,-93.00,-64.00,0.07,-0.30,3.18,0.25,-26.00
18:30 - 18:45,-104.00,-60.00,0.11,-0.30,4.92,1.07,-35.00
18:45 - 19:00,-112.00,-57.00,0.13,-0.30,6.57,0.90,-73.00
19:00 - 19:15,-137.00,-60.00,0.48,-0.10,22.13,0.38,-206.00
19:15 - 19:30,-142.00,-55.00,0.48,-0.10,21.16,0.00,-222.00
19:30 - 19:45,-44.00,-70.00,0.48,-0.10,21.16,0.00,-240.00
19:45 - 20:00,-5.00,-35.00,0.48,-0.10,20.20,0.00,-121.00
20:00 - 20:15,58.67,0.00,0.00,-0.10,20.20,0.00,-143.00
20:15 - 20:30,93.29,17.31,0.00,-0.10,20.20,0.00,-140.00
20:30 - 20:45,92.33,50.98,0.00,-0.10,19.04,0.00,-132.00
20:45 - 21:00,93.30,65.40,0.00,-0.10,18.37,0.00,-125.00
21:00 - 21:15,75.98,74.06,0.00,-0.10,17.60,0.00,-105.00
21:15 - 21:30,30.78,70.21,0.00,-0.10,16.83,0.00,-100.00
21:30 - 21:45,23.08,70.21,0.00,-0.10,15.68,0.00,-145.00
21:45 - 22:00,3.85,67.32,0.00,-0.10,13.95,0.00,-145.00
22:00 - 22:15,0.00,69.25,0.00,-0.10,16.16,0.00,-134.00
22:15 - 22:30,0.00,75.99,0.00,-0.10,15.48,0.00,-135.00
22:30 - 22:45,36.55,78.86,0.00,-0.10,13.95,0.00,-137.00
22:45 - 23:00,37.51,74.06,0.00,-0.10,12.50,0.00,-139.00
23:00 - 23:15,34.62,52.90,0.00,-0.10,11.16,0.00,-145.00
23:15 - 23:30,35.59,36.54,0.00,-0.10,10.58,0.00,-145.00
23:30 - 23:45,38.47,10.58,0.00,-0.10,9.62,0.00,-130.00
23:45 - 24:00,0.00,-15.00,0.00,-0.10,8.66,0.00,-130.00
