Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
04:45 - 05:00,12.55,0.00,1.06,-1.50,6.18,0.00,0.29,29.93
05:00 - 05:15,16.41,0.00,1.06,-1.50,7.05,0.00,0.29,28.97
05:15 - 05:30,14.48,0.00,1.06,-1.50,8.11,0.00,0.29,28.00
05:30 - 05:45,28.01,0.00,1.06,-1.50,9.94,0.00,0.29,19.31
05:45 - 06:00,27.04,0.00,1.06,-1.50,11.39,0.00,0.29,17.38
06:00 - 06:15,9.66,0.00,1.06,-1.50,12.26,0.00,0.29,14.48
06:15 - 06:30,63.72,0.00,1.06,-1.50,13.90,0.00,0.29,13.52
06:30 - 06:45,50.21,0.00,1.06,-1.50,14.48,0.00,0.29,19.31
06:45 - 07:00,23.17,0.00,1.06,-1.50,14.19,0.00,0.29,20.28
07:00 - 07:15,9.66,0.00,1.06,-1.50,13.52,0.00,0.29,56.96
07:15 - 07:30,0.00,0.00,1.06,-1.50,13.03,0.00,0.29,65.66
07:30 - 07:45,33.79,9.66,1.06,-1.50,12.55,0.00,0.29,70.48
07:45 - 08:00,16.41,9.66,1.06,-1.50,12.07,0.00,0.29,78.20
08:00 - 08:15,23.17,0.00,1.06,-1.50,11.59,0.00,0.29,92.69
08:15 - 08:30,28.00,0.00,1.06,-1.50,11.39,0.00,0.29,89.80
08:30 - 08:45,18.34,0.00,1.06,-1.50,11.39,0.00,0.29,78.21
08:45 - 09:00,44.41,0.00,1.06,-1.50,11.39,0.00,0.29,79.18
09:00 - 09:15,28.00,0.00,1.06,-0.50,11.59,0.00,0.29,73.38
09:15 - 09:30,25.10,0.00,1.06,-0.50,11.30,0.00,0.29,74.34
09:30 - 09:45,63.72,-27.00,1.06,-0.50,11.10,0.00,0.29,102.35
09:45 - 10:00,77.24,-27.00,1.06,-4.00,11.59,0.00,0.29,101.38
10:00 - 10:15,95.58,-22.00,1.06,-6.00,12.07,0.00,0.29,109.11
10:15 - 10:30,104.27,-19.00,1.06,-6.00,11.78,0.00,0.29,112.97
10:30 - 10:45,96.55,-17.00,1.06,-6.00,11.78,0.00,0.29,111.03
10:45 - 11:00,102.34,-21.00,1.06,-6.00,15.45,0.00,0.29,111.04
11:00 - 11:15,137.10,-20.00,1.06,-6.00,12.36,0.00,0.29,120.69
11:15 - 11:30,134.21,-18.00,1.06,-6.00,11.39,0.00,0.29,120.69
11:30 - 11:45,111.03,11.59,1.06,-6.00,13.52,0.00,0.29,91.72
11:45 - 12:00,110.07,9.66,1.06,-6.00,14.48,0.00,0.29,91.72
12:00 - 12:15,75.30,14.48,1.06,-6.00,9.66,0.00,0.29,48.28
12:15 - 12:30,77.24,19.31,1.06,-6.00,12.55,0.00,0.29,48.28
12:30 - 12:45,91.72,13.52,1.06,-6.00,11.10,0.00,0.29,43.45
12:45 - 13:00,83.99,8.69,1.06,-6.00,9.66,0.00,0.29,48.28
13:00 - 13:15,77.23,-23.00,1.06,-6.00,9.66,0.00,0.29,24.14
13:15 - 13:30,78.20,-37.00,1.06,-6.00,10.62,0.00,0.29,48.28
13:30 - 13:45,64.69,0.00,1.06,-6.00,9.66,0.00,0.29,77.24
13:45 - 14:00,75.31,0.00,1.06,-6.00,8.69,0.00,0.29,77.24
14:00 - 14:15,84.01,0.00,1.06,-6.00,12.55,0.00,0.29,74.34
14:15 - 14:30,77.24,0.00,1.06,-6.00,9.66,0.00,0.29,74.34
14:30 - 14:45,84.96,4.83,1.06,-6.00,10.62,0.00,0.29,43.45
14:45 - 15:00,86.90,19.31,1.06,-6.00,10.62,0.00,0.29,-23.00
15:00 - 15:15,78.21,0.00,1.06,-6.00,11.59,0.00,0.29,53.10
15:15 - 15:30,82.07,0.00,1.06,-0.50,11.59,0.00,0.29,77.24
15:30 - 15:45,76.27,20.28,1.06,-0.50,10.62,0.00,0.29,72.41
15:45 - 16:00,76.27,13.52,1.06,-0.50,11.59,0.00,0.29,63.72
16:00 - 16:15,65.65,0.00,1.06,-0.50,12.07,0.00,0.00,62.76
16:15 - 16:30,51.17,0.00,1.06,-0.50,12.55,0.00,0.00,62.76
16:30 - 16:45,23.17,0.00,1.06,-0.50,13.03,0.00,0.00,28.97
16:45 - 17:00,28.00,0.00,1.06,-0.50,13.52,0.00,0.00,28.96
17:00 - 17:15,31.28,0.00,0.86,-0.50,10.95,1.26,0.00,66.48
17:15 - 17:30,36.79,0.00,0.76,-0.50,10.06,2.15,0.00,53.45
17:30 - 17:45,57.85,19.28,0.39,-0.50,9.32,1.99,0.00,80.34
17:45 - 18:00,53.85,11.96,0.36,-0.50,8.97,1.85,0.00,66.41
18:00 - 18:15,67.29,83.53,0.34,-0.50,6.73,1.74,0.00,65.04
18:15 - 18:30,28.06,43.29,0.24,-0.50,4.81,0.80,0.00,44.10
18:30 - 18:45,19.21,43.31,0.15,-0.50,3.33,0.13,0.00,24.34
18:45 - 19:00,16.65,40.80,0.16,-0.50,3.61,0.00,0.00,25.81
19:00 - 19:15,14.76,70.29,0.21,-0.50,4.22,0.00,0.00,37.26
19:15 - 19:30,32.16,78.67,0.26,-0.50,5.21,0.00,0.00,33.03
19:30 - 19:45,53.29,93.44,0.46,-0.50,8.50,0.00,0.00,0.00
19:45 - 20:00,42.99,104.91,0.51,-0.50,9.46,0.00,0.00,0.00
20:00 - 20:15,28.00,96.55,1.06,-0.50,10.62,0.00,0.00,49.24
20:15 - 20:30,30.90,94.62,1.06,-0.50,10.62,0.00,0.00,46.34
20:30 - 20:45,37.65,57.94,1.06,-0.50,10.62,0.00,0.00,49.24
20:45 - 21:00,23.17,47.31,1.06,-0.50,10.62,0.00,0.00,8.69
21:00 - 21:15,82.07,73.38,1.06,-0.50,9.66,0.00,0.29,44.41
21:15 - 21:30,90.76,82.07,1.06,-0.50,9.66,0.00,0.00,55.03
21:30 - 21:45,68.56,37.65,1.06,-0.50,7.72,0.00,0.29,56.00
21:45 - 22:00,68.56,44.41,1.06,-0.50,7.72,0.00,0.29,60.83
22:00 - 22:15,80.14,27.03,1.06,-1.50,7.72,0.00,0.29,20.28
22:15 - 22:30,80.14,32.83,1.06,-1.50,7.72,0.00,0.29,35.72
22:30 - 22:45,86.90,32.83,1.06,-1.50,7.72,0.00,0.00,23.17
22:45 - 23:00,89.80,35.72,1.06,-1.50,7.72,0.00,0.29,23.17
23:00 - 23:15,76.28,38.62,1.06,-1.50,7.72,0.00,0.29,23.17
23:15 - 23:30,82.07,41.52,1.06,-1.50,7.72,0.00,0.29,21.24
23:30 - 23:45,79.16,28.97,1.06,-1.50,6.76,0.00,0.29,22.21
23:45 - 24:00,89.80,31.86,1.06,-1.50,6.76,0.00,0.29,27.03
