Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
18:30 - 18:45,101.52,-85.00,9.23,0.92,12.69
18:45 - 19:00,29.77,-92.00,15.37,0.00,-7.00
19:00 - 19:15,16.32,-49.00,14.41,0.00,-17.00
19:15 - 19:30,22.09,-42.00,14.41,0.00,-19.00
19:30 - 19:45,27.85,-35.00,14.41,0.00,-69.00
19:45 - 20:00,29.77,0.00,14.31,0.00,-75.00
20:00 - 20:15,21.13,25.93,13.83,0.00,-81.00
20:15 - 20:30,30.73,17.29,13.83,0.00,-77.00
20:30 - 20:45,20.17,9.60,14.41,0.00,-80.00
20:45 - 21:00,20.16,0.00,14.41,0.00,-24.00
21:00 - 21:15,21.13,0.00,12.97,0.00,42.25
21:15 - 21:30,12.49,0.00,12.97,0.00,41.29
21:30 - 21:45,7.68,0.00,12.49,0.00,56.66
21:45 - 22:00,0.00,0.00,11.24,0.00,55.70
22:00 - 22:15,0.00,11.52,10.56,0.00,51.87
22:15 - 22:30,10.56,0.00,9.80,0.00,46.10
22:30 - 22:45,40.34,0.00,9.60,0.00,38.42
22:45 - 23:00,35.53,0.00,8.93,0.00,43.22
23:00 - 23:15,28.81,14.41,8.36,0.00,48.01
23:15 - 23:30,66.26,14.41,8.07,0.00,48.02
23:30 - 23:45,83.56,0.00,7.78,0.00,33.61
23:45 - 24:00,111.41,0.00,7.49,0.00,33.61
