Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
06:45 - 07:00,-39.00,0.00,14.46,-23.00,0.00,-70.00
07:00 - 07:15,-20.00,0.00,15.42,-23.00,0.00,-45.00
07:15 - 07:30,38.55,0.00,15.42,-23.00,0.00,-21.00
07:30 - 07:45,103.13,68.43,15.42,-10.00,0.00,4.82
07:45 - 08:00,114.69,67.47,15.42,-10.00,0.00,-45.00
08:00 - 08:15,139.75,65.54,15.42,-10.00,0.00,12.53
08:15 - 08:30,140.71,55.90,14.46,-10.00,0.00,48.19
08:30 - 08:45,168.66,83.85,19.28,-10.00,0.00,81.92
08:45 - 09:00,180.23,85.78,20.24,-10.00,0.00,91.56
09:00 - 09:15,292.99,98.31,20.24,-23.00,0.00,53.01
09:15 - 09:30,374.92,104.09,20.24,-12.00,0.00,53.01
09:30 - 09:45,314.19,106.02,20.24,0.00,0.00,57.83
09:45 - 10:00,268.91,117.58,20.24,0.00,0.00,86.74
10:00 - 10:15,287.22,109.87,20.24,0.00,0.00,86.74
10:15 - 10:30,293.00,102.16,20.24,0.00,0.00,106.02
10:30 - 10:45,282.40,72.29,16.38,0.00,0.00,125.29
10:45 - 11:00,280.47,90.60,16.38,0.00,0.00,125.29
11:00 - 11:15,224.57,88.67,15.42,0.00,0.00,134.93
11:15 - 11:30,236.13,100.24,13.49,0.00,0.00,139.75
11:30 - 11:45,363.36,142.64,12.53,0.00,0.00,125.29
11:45 - 12:00,416.36,148.43,10.60,0.00,0.00,125.29
12:00 - 12:15,408.65,159.99,9.64,0.00,0.00,86.74
12:15 - 12:30,344.07,186.98,9.64,0.00,0.00,96.38
12:30 - 12:45,243.84,242.88,9.64,0.00,0.00,106.02
12:45 - 13:00,239.02,242.88,8.67,0.00,0.00,115.66
13:00 - 13:15,219.75,239.02,19.28,0.00,0.00,130.11
13:15 - 13:30,211.07,209.14,19.28,0.00,0.00,120.48
13:30 - 13:45,214.92,163.85,19.28,0.00,0.00,115.66
13:45 - 14:00,201.43,177.34,19.28,0.00,0.00,139.75
14:00 - 14:15,108.91,147.46,19.28,0.00,0.00,5.78
14:15 - 14:30,64.57,162.88,19.28,0.00,0.00,54.94
14:30 - 14:45,220.71,169.63,19.28,0.00,0.00,-8.00
14:45 - 15:00,213.00,192.76,19.28,0.00,0.00,16.38
15:00 - 15:15,213.96,239.99,17.35,0.00,0.00,53.01
15:15 - 15:30,212.04,236.12,17.35,0.00,0.00,67.47
15:30 - 15:45,300.72,259.26,16.38,0.00,0.00,36.62
15:45 - 16:00,299.74,260.23,16.38,0.00,0.00,34.70
16:00 - 16:15,292.03,262.15,15.42,-16.00,0.00,24.10
16:15 - 16:30,275.64,263.12,15.42,-16.00,0.00,19.28
16:30 - 16:45,133.97,206.25,14.46,-13.00,0.00,0.00
16:45 - 17:00,131.08,156.13,15.42,-16.00,0.00,0.00
17:00 - 17:15,197.57,159.03,6.75,-37.00,0.00,-27.00
17:15 - 17:30,242.88,171.56,5.78,-45.00,0.00,-30.00
17:30 - 17:45,310.34,86.74,4.82,-51.00,0.00,4.82
17:45 - 18:00,107.94,57.83,3.86,-62.00,0.00,4.82
18:00 - 18:15,186.01,43.37,1.93,-77.00,0.00,19.28
18:15 - 18:30,348.89,9.64,3.86,-87.00,0.00,-10.00
18:30 - 18:45,346.01,28.91,5.78,-83.00,0.00,170.59
18:45 - 19:00,333.47,24.10,6.75,-94.00,0.00,112.76
19:00 - 19:15,183.12,-26.00,9.64,-98.00,-15.00,164.81
19:15 - 19:30,69.09,-36.00,7.68,-100.00,-15.00,95.21
19:30 - 19:45,70.83,-17.00,5.33,-74.00,-40.00,82.02
19:45 - 20:00,84.35,-28.00,4.76,-74.00,-40.00,75.76
20:00 - 20:15,135.42,-27.00,4.56,-67.00,-40.00,68.32
20:15 - 20:30,143.87,-32.00,4.63,-65.00,-40.00,92.54
20:30 - 20:45,186.34,-35.00,5.41,-69.00,-40.00,73.75
20:45 - 21:00,170.46,-34.00,5.20,-66.00,-40.00,87.59
21:00 - 21:15,149.60,-41.00,7.65,-63.00,-40.00,111.33
21:15 - 21:30,178.96,-25.00,7.72,-63.00,-40.00,112.29
21:30 - 21:45,146.50,-20.00,10.60,-65.00,0.00,49.15
21:45 - 22:00,167.70,-5.00,10.60,-65.00,0.00,55.90
22:00 - 22:15,181.78,-21.00,9.52,-63.00,0.00,38.07
22:15 - 22:30,172.73,-17.00,8.86,-63.00,0.00,35.43
22:30 - 22:45,196.61,-45.00,9.64,-54.00,0.00,14.46
22:45 - 23:00,191.79,-49.00,9.64,-50.00,0.00,9.64
23:00 - 23:15,144.57,-33.00,8.67,-48.00,0.00,0.00
23:15 - 23:30,148.43,-40.00,8.67,-49.00,0.00,0.00
23:30 - 23:45,159.99,-80.00,7.71,-61.00,0.00,-55.00
23:45 - 24:00,156.14,-93.00,7.71,-60.00,0.00,-40.00
