genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
33,0,0,0,7.1513442,0,0,0,11.62765725,,2.2003696,0,2.2218625,0,0,0,0,10.0758867,5.1527476,1.54074745,5.5588841,1.974258,317.55688855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,7.8900228,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,1.0579998,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
34,0,0,0,7.1513442,0,0,0,11.62765725,,2.2003696,0,2.2218625,0,0,0,0,10.0758867,5.1527476,1.54074745,5.5588841,1.974258,272.56441355,,,7.6827322,25.024142,,,,0,,0,,7.1340126,3.9293056,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,1.0579998,0,,,3.5166054,3.30253385,4.45141125,0,8.6631116,5.33238255,
35,0,0,0,7.1513442,0,0,0,11.62765725,,2.2003696,0,2.2218625,0,0,0,0,10.0758867,5.1527476,1.54074745,5.5588841,1.974258,272.56441355,,,7.6827322,25.024142,,,,0,,0,,7.1340126,0,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,1.0579998,0,,,3.5166054,3.30253385,4.45141125,0,8.6631116,5.33238255,
36,0,0,0,7.1513442,0,0,0,11.62765725,,2.2003696,0,2.2218625,0,0,0,0,10.0758867,5.1527476,1.54074745,5.5588841,1.974258,272.56441355,,,7.6827322,25.024142,,,,0,,0,,7.1340126,0,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,1.0579998,0,,,3.5166054,3.30253385,4.45141125,0,8.6631116,5.33238255,
37,0,0,0,7.1162091,0,0,0,11.62765725,,2.2003696,0,2.2218625,0,0,0,0,10.0758867,5.1527476,0,5.5588841,2.0906886,260.72428855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,0,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0.1299298,0,,,3.5166054,3.30253385,4.45141125,0,8.6631116,5.60388015,
38,0,0,0,7.1162091,0,0,0,11.62765725,,2.2003696,0,2.2218625,0,0,0,0,10.0758867,5.1527476,0,5.5588841,2.2071192,227.57193855,,,7.6827322,25.024142,,,,0,,0,,7.1340126,0,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0.1299298,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.60388015,
39,0,0,0,7.1162091,0,0,0,11.62765725,,2.2003696,0,0,0,0,0,0,10.0758867,5.1527476,0,5.5588841,2.3252372,227.57193855,,,7.6827322,25.024142,,,,0,,0,,3.2776051,0,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0.0860574,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.60388015,
40,0,0,0,7.1162091,0,0,0,11.62765725,,2.2003696,0,0,0,0,0,0,10.0758867,5.1527476,0,5.5588841,2.412982,227.57193855,,,7.6827322,25.024142,,,,0,,0,,3.2776051,0,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0.0860574,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.60388015,
41,0,0,0,7.0459389,0,0,0,11.62765725,,2.2003696,0,0,0,0,0,0,10.0758867,5.1527476,0,5.5588841,2.412982,227.57193855,,,7.6827322,25.024142,,,,0,,0,,3.2776051,0,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0.0860574,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
42,0,0,0,7.0459389,0,0,0,11.62765725,,2.2003696,0,0,0,0,0,0,10.0758867,5.1527476,0,5.5588841,2.412982,213.36378855,,,7.6827322,25.024142,,,,0,,0,,3.2776051,0,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0.0860574,0,,,3.5166054,3.30253385,4.45141125,0,8.1957018,5.33238255,
43,0,0,0,7.0459389,0,0,0,11.62765725,,2.2003696,0,0,0,0,0,0,10.0758867,5.1527476,0,5.5588841,2.412982,213.36378855,,,7.6827322,25.024142,,,,0,,0,,3.2776051,0,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0.0860574,0,,,3.5166054,3.30253385,4.45141125,0,8.1028948,5.33238255,
44,0,0,0,7.0459389,0,0,0,11.62765725,,2.2003696,0,0,0,0,0,0,10.0758867,5.1527476,0,5.5588841,2.412982,199.15563855,,,7.6827322,25.024142,,,,0,,0,,3.2776051,0,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0.0860574,0,,,3.5166054,3.30253385,4.45141125,0,8.1028948,5.33238255,
45,0,0,0,6.97431735,0,0,0,11.62765725,,2.2003696,0,0,0,0,0,0,10.0758867,5.1527476,0,5.5588841,2.412982,199.15563855,,,7.6827322,25.024142,,,,0,,0,,3.2776051,0,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0.0860574,0,,,3.5166054,3.30253385,4.45141125,0,8.1028948,5.33238255,
46,0,0,0,6.97431735,0,0,0,11.62765725,,2.2003696,0,0,0,0,0,0,10.0758867,5.1527476,0,5.5588841,2.412982,199.15563855,,,7.6827322,25.024142,,,,0,,0,,3.2776051,0,,,,,,,0,0,0,0,8.5600207,15.5215896,20.03376375,0,,,0,70.6632498,0,,,23.568215,,0,,0.0860574,0,,,3.5166054,3.30253385,4.45141125,0,8.1028948,5.33238255,
