Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
09:00 - 09:15,41.44,-7.00,1.06,-0.50,12.53,0.29,9.64
09:15 - 09:30,33.72,0.00,1.06,-0.50,14.46,0.29,11.57
09:30 - 09:45,79.03,0.00,1.06,-0.50,14.65,0.29,24.10
09:45 - 10:00,87.70,0.00,1.06,-0.50,12.82,0.29,24.10
10:00 - 10:15,94.45,-18.00,1.06,-0.50,12.05,0.29,57.83
10:15 - 10:30,88.67,-24.00,1.06,-0.50,13.98,0.29,43.37
10:30 - 10:45,74.21,-34.00,1.06,-0.50,13.11,0.29,43.37
10:45 - 11:00,78.07,-27.00,1.06,-0.50,11.76,0.29,48.19
11:00 - 11:15,50.12,0.00,1.06,-0.50,10.31,0.29,40.48
11:15 - 11:30,43.37,0.00,1.06,-0.50,11.08,0.29,39.52
11:30 - 11:45,51.08,0.00,1.06,-0.50,13.69,0.29,72.28
11:45 - 12:00,60.72,0.00,1.06,-0.50,15.52,0.29,81.92
12:00 - 12:15,57.83,7.71,1.06,-0.50,14.65,0.29,86.74
12:15 - 12:30,60.72,4.82,1.06,-0.50,16.38,0.29,82.89
12:30 - 12:45,33.73,9.64,1.06,-0.50,15.81,0.29,96.38
12:45 - 13:00,30.84,6.75,1.06,-0.50,16.87,0.29,96.37
13:00 - 13:15,49.15,0.00,1.06,-0.50,13.98,0.29,75.17
13:15 - 13:30,53.97,0.00,1.06,-0.50,17.35,0.29,77.10
13:30 - 13:45,61.68,0.00,1.06,-0.50,14.94,0.29,102.16
13:45 - 14:00,65.54,0.00,1.06,-0.50,14.94,0.29,107.94
14:00 - 14:15,80.00,-42.00,1.06,-0.50,13.01,0.29,123.36
14:15 - 14:30,83.85,-28.00,1.06,-0.50,11.08,0.29,125.30
14:30 - 14:45,112.76,0.00,1.06,-0.50,12.05,0.29,115.66
14:45 - 15:00,114.69,0.00,1.06,-0.50,12.53,0.29,125.29
15:00 - 15:15,133.97,0.00,1.06,-0.50,12.53,0.29,174.44
15:15 - 15:30,133.00,0.00,1.06,-0.50,15.13,0.29,184.09
15:30 - 15:45,108.91,0.00,1.06,-0.50,12.53,0.29,162.88
15:45 - 16:00,102.16,0.00,1.06,-0.50,13.30,0.29,116.62
16:00 - 16:15,58.79,0.00,1.06,-0.50,13.98,0.29,62.64
16:15 - 16:30,37.59,0.00,1.06,-0.50,13.59,0.29,-14.00
16:30 - 16:45,45.30,0.00,1.06,-0.50,14.94,0.29,106.01
16:45 - 17:00,42.41,0.00,1.06,-0.50,15.42,0.29,86.74
17:00 - 17:15,55.90,19.28,1.06,-0.50,15.90,0.29,57.83
17:15 - 17:30,68.43,19.28,1.06,-0.50,15.90,0.29,38.55
17:30 - 17:45,37.59,0.00,0.58,-0.50,16.38,0.29,14.46
17:45 - 18:00,19.28,0.00,0.58,-0.50,16.38,0.29,-10.00
18:00 - 18:15,28.92,17.35,0.58,-0.50,16.38,0.00,0.00
18:15 - 18:30,31.81,23.13,0.58,-0.50,16.38,0.00,4.82
18:30 - 18:45,37.35,19.86,0.47,-0.50,13.50,0.00,-15.00
18:45 - 19:00,11.07,5.53,0.47,-0.50,13.45,0.00,-40.00
19:00 - 19:15,0.00,0.00,0.54,-0.50,15.21,0.00,-45.00
19:15 - 19:30,53.98,26.02,0.58,-0.50,15.90,0.00,-65.00
19:30 - 19:45,24.10,61.67,0.58,-0.50,15.81,0.00,-105.00
19:45 - 20:00,38.55,43.37,0.58,-0.50,15.61,0.00,-80.00
20:00 - 20:15,123.37,156.14,1.06,-0.50,15.32,0.29,-160.00
20:15 - 20:30,92.52,147.46,1.06,-0.50,15.04,0.29,-65.00
20:30 - 20:45,80.96,116.62,1.06,-0.50,13.40,0.29,-5.00
20:45 - 21:00,71.32,109.88,1.06,-0.50,12.91,0.29,-5.00
21:00 - 21:15,33.73,101.20,1.06,-0.50,12.43,0.29,-110.00
21:15 - 21:30,34.70,111.80,1.06,-0.50,12.24,0.29,-15.00
21:30 - 21:45,47.23,106.98,1.06,-0.50,11.37,0.29,-5.00
21:45 - 22:00,45.30,106.01,1.06,-0.50,10.99,0.29,0.00
22:00 - 22:15,93.49,107.94,1.06,-1.50,10.60,0.29,4.82
22:15 - 22:30,91.56,112.76,1.06,-1.50,10.12,0.29,4.82
22:30 - 22:45,99.27,134.93,1.06,-1.50,10.02,0.29,6.75
22:45 - 23:00,90.60,137.82,1.06,-1.50,9.64,0.29,4.82
23:00 - 23:15,101.20,109.87,1.06,-1.50,9.16,0.29,-20.00
23:15 - 23:30,83.85,106.02,1.06,-1.50,8.96,0.29,-20.00
23:30 - 23:45,69.39,110.84,1.06,-1.50,8.77,0.29,-30.00
23:45 - 24:00,64.57,95.42,1.06,-1.50,8.48,0.29,-30.00
