Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
11:45 - 12:00,-153.00,-33.00,-1.00,14.46,-10.00,-97.00
12:00 - 12:15,-128.00,-32.00,-1.00,13.49,-10.00,-62.00
12:15 - 12:30,-134.00,-31.00,-1.00,12.53,-10.00,-61.00
12:30 - 12:45,-130.00,-55.00,-1.00,12.05,-10.00,-95.00
12:45 - 13:00,-139.00,-53.00,-1.00,11.56,-10.00,-98.00
13:00 - 13:15,-186.00,-42.00,0.00,11.56,0.00,-96.00
13:15 - 13:30,-211.00,-72.00,0.00,11.56,0.00,-97.00
13:30 - 13:45,-234.00,-35.00,0.00,11.56,0.00,-105.00
13:45 - 14:00,-242.00,-33.00,0.00,11.56,0.00,-110.00
14:00 - 14:15,-247.00,-46.00,0.00,11.56,0.00,-108.00
14:15 - 14:30,-249.00,-41.00,0.00,11.56,0.00,-108.00
14:30 - 14:45,-182.00,-48.00,0.00,11.56,0.00,-101.00
14:45 - 15:00,-170.00,-48.00,0.00,11.56,0.00,-103.00
15:00 - 15:15,-205.00,-86.00,0.00,11.56,0.00,-154.00
15:15 - 15:30,-196.00,-92.00,0.00,11.56,0.00,-151.00
15:30 - 15:45,-190.00,-92.00,0.00,12.53,0.00,-85.00
15:45 - 16:00,-157.00,-88.00,0.00,12.82,0.00,-84.00
16:00 - 16:15,-279.00,-60.00,0.00,13.20,0.00,-83.00
16:15 - 16:30,-237.00,-52.00,0.00,13.20,0.00,-64.00
16:30 - 16:45,-267.00,-71.00,-1.00,13.49,-10.00,-91.00
16:45 - 17:00,-266.00,-78.00,-1.00,13.68,-10.00,-49.00
17:00 - 17:15,-140.00,-65.00,-1.00,14.17,0.00,24.09
17:15 - 17:30,-125.00,-64.00,-1.00,14.45,0.00,4.82
17:30 - 17:45,-86.00,-116.00,-1.00,14.74,0.00,28.92
17:45 - 18:00,-82.00,-59.00,-1.00,15.13,0.00,53.00
18:00 - 18:15,-93.00,-58.00,-1.00,15.42,0.00,77.10
18:15 - 18:30,-101.00,-25.00,-1.00,15.90,0.00,-55.00
18:30 - 18:45,-79.00,72.28,-1.00,16.00,0.00,28.91
18:45 - 19:00,-74.00,81.91,-1.00,16.00,0.00,-50.00
19:00 - 19:15,-38.00,-28.00,-1.00,16.00,0.00,-50.00
19:15 - 19:30,-45.00,-25.00,-1.00,16.00,0.00,-55.00
19:30 - 19:45,-109.00,-38.00,-1.00,16.00,0.00,-20.00
19:45 - 20:00,-120.00,-38.00,-1.00,16.00,0.00,-15.00
20:00 - 20:15,-106.00,-35.00,-1.00,16.00,0.00,-25.00
20:15 - 20:30,-123.00,-42.00,-1.00,16.00,0.00,-5.00
20:30 - 20:45,-149.00,36.62,-1.00,16.00,0.00,19.27
20:45 - 21:00,-171.00,19.27,-1.00,16.00,0.00,28.91
21:00 - 21:15,-112.00,-100.00,-1.00,15.90,0.00,53.00
21:15 - 21:30,-96.00,-100.00,-1.00,15.71,0.00,72.28
21:30 - 21:45,-121.00,-20.00,-1.00,15.42,0.00,101.19
21:45 - 22:00,-121.00,-15.00,-1.00,15.13,0.00,139.74
22:00 - 22:15,-130.00,0.00,-1.00,16.00,0.00,130.10
22:15 - 22:30,-126.00,0.00,-1.00,15.90,0.00,134.92
22:30 - 22:45,-119.00,0.00,-1.00,15.80,0.00,134.92
22:45 - 23:00,-114.00,0.00,-1.00,15.61,0.00,134.92
23:00 - 23:15,-81.00,-80.00,-1.00,15.13,0.00,149.37
23:15 - 23:30,-76.00,-80.00,-1.00,14.46,0.00,154.19
23:30 - 23:45,-84.00,0.00,-1.00,13.88,0.00,153.23
23:45 - 24:00,-70.00,0.00,-1.00,13.49,0.00,159.01
