Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
12:15 - 12:30,188.44,183.63,-22.00,-13.00,0.00,105.75
12:30 - 12:45,233.62,182.67,-21.00,-15.00,0.00,110.56
12:45 - 13:00,249.00,168.25,-21.00,-14.00,0.00,96.14
13:00 - 13:15,202.85,182.67,-10.00,-14.00,0.00,19.23
13:15 - 13:30,136.52,168.24,-10.00,-5.00,0.00,14.42
13:30 - 13:45,131.71,177.86,-9.00,-5.00,0.00,110.56
13:45 - 14:00,149.02,182.66,-9.00,-5.00,0.00,115.37
14:00 - 14:15,122.10,202.85,-10.00,-5.00,0.00,-20.00
14:15 - 14:30,143.25,214.39,-10.00,-5.00,0.00,14.42
14:30 - 14:45,88.45,222.08,-10.00,-5.00,0.00,38.46
14:45 - 15:00,64.41,226.90,-10.00,-5.00,0.00,57.68
15:00 - 15:15,121.14,237.46,-13.00,-5.00,0.00,52.88
15:15 - 15:30,147.09,237.47,-13.00,-5.00,0.00,57.68
15:30 - 15:45,146.13,254.77,-13.00,-5.00,0.00,62.49
15:45 - 16:00,197.09,249.97,-13.00,-5.00,0.00,57.68
16:00 - 16:15,123.06,211.51,-13.00,-5.00,0.00,9.61
16:15 - 16:30,87.49,210.55,-13.00,-12.00,0.00,14.42
16:30 - 16:45,42.30,201.90,-11.00,-14.00,0.00,28.84
16:45 - 17:00,32.69,202.85,-9.00,-16.00,0.00,33.65
17:00 - 17:15,0.00,221.12,0.96,-17.00,0.00,52.88
17:15 - 17:30,0.00,224.01,1.92,-20.00,0.00,52.88
17:30 - 17:45,8.65,197.09,1.92,-23.00,0.00,19.23
17:45 - 18:00,7.69,173.05,1.92,-23.00,0.00,24.04
18:00 - 18:15,-11.00,199.01,0.96,-32.00,0.00,43.26
18:15 - 18:30,-25.00,185.55,2.88,-36.00,0.00,33.65
18:30 - 18:45,94.22,143.24,4.81,-37.00,0.00,33.65
18:45 - 19:00,82.68,101.91,6.73,-40.00,0.00,33.65
19:00 - 19:15,68.26,158.63,9.61,-57.00,0.00,134.60
19:15 - 19:30,37.49,159.60,9.61,-56.00,0.00,72.11
19:30 - 19:45,68.26,52.88,10.58,-57.00,0.00,76.90
19:45 - 20:00,77.87,19.23,10.58,-57.00,0.00,76.91
20:00 - 20:15,36.53,20.19,10.58,-58.00,0.00,76.91
20:15 - 20:30,54.79,20.19,10.58,-58.00,0.00,33.65
20:30 - 20:45,79.78,31.73,10.58,-57.00,0.00,52.88
20:45 - 21:00,82.67,31.73,10.58,-56.00,0.00,48.07
21:00 - 21:15,108.64,53.84,10.58,-54.00,0.00,57.68
21:15 - 21:30,105.75,60.57,10.58,-45.00,0.00,76.91
21:30 - 21:45,172.09,60.57,16.34,-42.00,0.00,28.84
21:45 - 22:00,175.93,60.57,16.34,-44.00,0.00,38.46
22:00 - 22:15,233.85,65.44,14.83,0.00,-16.40,34.90
22:15 - 22:30,219.63,65.08,13.82,0.00,-16.40,36.60
22:30 - 22:45,269.19,86.53,16.34,0.00,-16.40,4.81
22:45 - 23:00,299.00,115.37,16.34,0.00,-16.40,-5.00
23:00 - 23:15,394.18,153.82,16.34,0.00,0.00,28.84
23:15 - 23:30,365.33,163.44,16.34,0.00,0.00,38.46
23:30 - 23:45,321.10,168.25,15.38,0.00,0.00,5.77
23:45 - 24:00,286.50,158.63,15.38,0.00,0.00,4.81
