Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
08:15 - 08:30,69.40,0.00,1.06,-1.50,14.55,0.00,0.29,0.00
08:30 - 08:45,-8.00,0.00,1.06,-1.50,14.94,0.00,0.29,0.00
08:45 - 09:00,0.00,0.00,1.06,-1.50,13.97,0.00,0.29,-20.00
09:00 - 09:15,8.67,0.00,1.06,-0.50,15.81,0.00,0.29,-10.00
09:15 - 09:30,57.83,0.00,1.06,-0.50,16.00,0.00,0.29,-10.00
09:30 - 09:45,63.61,0.00,1.06,-0.50,15.71,0.00,0.29,48.19
09:45 - 10:00,55.90,0.00,1.06,-0.50,13.30,0.00,0.29,96.38
10:00 - 10:15,41.44,0.00,1.06,-0.50,13.59,0.00,0.29,0.00
10:15 - 10:30,21.20,0.00,1.06,-0.50,15.13,0.00,0.29,0.00
10:30 - 10:45,36.62,0.00,1.06,-0.50,15.32,0.00,0.29,43.38
10:45 - 11:00,34.70,0.00,1.06,-0.50,15.61,0.00,0.29,38.55
11:00 - 11:15,53.97,-40.00,1.06,-0.50,15.81,0.00,0.29,43.37
11:15 - 11:30,63.61,-40.00,1.06,-0.50,16.48,0.00,0.29,43.37
11:30 - 11:45,55.90,0.00,1.06,-0.50,13.78,0.00,0.29,38.55
11:45 - 12:00,62.65,0.00,1.06,-0.50,12.91,0.00,0.29,38.55
12:00 - 12:15,55.89,19.28,1.06,-0.50,12.34,0.00,0.29,0.00
12:15 - 12:30,37.59,9.64,1.06,-0.50,14.55,0.00,0.29,-15.00
12:30 - 12:45,29.88,33.74,1.06,-0.50,14.84,0.00,0.29,28.91
12:45 - 13:00,26.02,28.92,1.06,-0.50,14.07,0.00,0.29,28.91
13:00 - 13:15,28.91,0.00,1.06,-0.50,13.98,0.00,0.29,14.46
13:15 - 13:30,27.95,0.00,1.06,-0.50,13.30,0.00,0.29,14.46
13:30 - 13:45,27.95,0.00,1.06,-0.50,11.95,0.00,0.29,28.91
13:45 - 14:00,28.92,0.00,1.06,-0.50,13.59,0.00,0.29,28.91
14:00 - 14:15,15.42,-22.00,1.06,-0.50,16.00,0.00,0.29,38.55
14:15 - 14:30,12.53,0.00,1.06,-0.50,15.13,0.00,0.29,38.55
14:30 - 14:45,53.01,0.00,1.06,-0.50,10.60,0.00,0.29,19.28
14:45 - 15:00,57.83,0.00,1.06,-0.50,11.08,0.00,0.29,19.28
15:00 - 15:15,46.27,4.82,1.06,-0.50,11.08,0.00,0.29,28.91
15:15 - 15:30,52.04,14.46,1.06,-0.50,11.57,0.00,0.29,43.37
15:30 - 15:45,53.01,0.00,1.06,-0.50,12.05,0.00,0.29,38.55
15:45 - 16:00,59.76,0.00,1.06,-0.50,12.53,0.00,0.29,28.91
16:00 - 16:15,61.68,0.00,1.06,-0.50,13.01,0.00,0.29,27.95
16:15 - 16:30,52.05,0.00,1.06,-0.50,13.49,0.00,0.29,9.64
16:30 - 16:45,61.68,0.00,1.06,-0.50,14.46,0.00,0.29,-60.00
16:45 - 17:00,65.53,0.00,1.06,-0.50,14.94,0.00,0.29,9.64
17:00 - 17:15,49.15,0.00,1.06,-0.50,15.42,0.00,0.29,-13.00
17:15 - 17:30,56.87,0.00,1.06,-0.50,15.90,0.00,0.29,-32.00
17:30 - 17:45,41.45,0.00,0.58,-0.50,16.38,0.00,0.29,-30.00
17:45 - 18:00,40.48,0.00,0.58,-0.50,16.38,0.00,0.29,-51.00
18:00 - 18:15,20.24,0.00,0.58,-0.50,16.38,0.00,0.00,-47.00
18:15 - 18:30,9.64,0.00,0.58,-0.50,16.86,0.00,0.00,-44.00
18:30 - 18:45,-51.00,-11.00,0.58,-0.50,15.90,0.00,0.00,0.00
18:45 - 19:00,-75.00,-18.00,0.58,-0.50,15.42,0.00,0.00,-14.00
19:00 - 19:15,-42.00,0.00,0.58,-0.50,15.90,0.00,0.00,-10.00
19:15 - 19:30,-4.00,0.00,0.58,-0.50,16.38,0.00,0.00,-15.00
19:30 - 19:45,3.86,27.95,0.58,-0.50,15.90,0.00,0.29,-20.00
19:45 - 20:00,22.17,32.76,0.58,-0.50,15.42,0.00,0.29,-19.00
20:00 - 20:15,38.55,63.61,1.06,-0.50,15.42,0.00,0.29,0.00
20:15 - 20:30,1.93,46.26,1.06,-0.50,14.94,0.00,0.29,-9.00
20:30 - 20:45,-10.00,46.26,1.06,-0.50,13.98,0.00,0.29,-77.00
20:45 - 21:00,-22.00,43.37,1.06,-0.50,13.69,0.00,0.29,-62.00
21:00 - 21:15,-22.00,31.81,1.06,-0.50,13.30,0.00,0.29,-69.00
21:15 - 21:30,-7.00,45.30,1.06,-0.50,13.11,0.00,0.29,-69.00
21:30 - 21:45,3.86,50.11,1.06,-0.50,12.82,0.00,0.29,-69.00
21:45 - 22:00,14.46,70.36,1.06,-0.50,12.43,0.00,0.29,-63.00
22:00 - 22:15,65.55,64.57,1.06,-1.50,12.14,0.00,0.29,-64.00
22:15 - 22:30,80.00,74.21,1.06,-1.50,11.76,0.00,0.29,-44.00
22:30 - 22:45,71.32,84.81,1.06,-1.50,11.28,0.00,0.29,-61.00
22:45 - 23:00,72.29,90.59,1.06,-1.50,10.99,0.00,0.29,-56.00
23:00 - 23:15,61.68,97.35,1.06,-1.50,10.41,0.00,0.29,-75.00
23:15 - 23:30,51.08,92.53,1.06,-1.50,10.12,0.00,0.29,-76.00
23:30 - 23:45,36.62,73.26,1.06,-1.50,9.73,0.00,0.29,-96.00
23:45 - 24:00,18.31,62.65,1.06,-1.50,9.35,0.00,0.29,-132.00
