Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
19:00 - 19:15,27.84,0.00,-1.00,23.04,0.00,-200.00
19:15 - 19:30,71.04,0.00,-1.00,23.04,0.00,-185.00
19:30 - 19:45,51.84,0.00,-1.00,23.04,0.00,-160.00
19:45 - 20:00,30.72,0.00,-1.00,23.04,0.00,-155.00
20:00 - 20:15,-41.00,-19.00,-1.00,23.04,0.00,-200.00
20:15 - 20:30,-34.00,-27.00,-1.00,22.08,0.00,-200.00
20:30 - 20:45,-36.00,38.40,-1.00,22.08,0.00,-115.00
20:45 - 21:00,-33.00,35.52,-1.00,21.12,0.00,-115.00
21:00 - 21:15,-39.00,38.40,-1.00,21.12,0.00,-100.00
21:15 - 21:30,-41.00,38.40,-1.00,21.12,0.00,-90.00
21:30 - 21:45,-20.00,0.00,-1.00,20.16,0.00,-70.00
21:45 - 22:00,-19.00,9.60,-1.00,20.16,0.00,-70.00
22:00 - 22:15,89.28,51.84,-1.00,19.20,0.00,-90.00
22:15 - 22:30,70.08,50.88,-1.00,18.24,0.00,-100.00
22:30 - 22:45,54.72,56.64,-1.00,17.28,0.00,-100.00
22:45 - 23:00,31.68,55.68,-1.00,17.28,0.00,-100.00
23:00 - 23:15,18.24,8.64,-1.00,16.32,0.00,-145.00
23:15 - 23:30,0.00,8.64,-1.00,16.32,0.00,-145.00
23:30 - 23:45,-34.00,4.80,-1.00,15.36,0.00,-149.00
23:45 - 24:00,-38.00,7.68,-1.00,14.98,0.00,-149.00
