Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
05:15 - 05:30,27.17,0.00,0.68,-1.50,5.43,-46.00,0.00,0.29,-36.00
05:30 - 05:45,25.22,-40.00,0.68,-1.50,6.31,-45.00,0.00,0.29,-80.00
05:45 - 06:00,9.70,-49.00,0.68,-1.50,7.08,-48.00,0.00,0.29,-118.00
06:00 - 06:15,-6.00,-63.00,0.68,-1.50,6.98,-47.00,0.00,0.29,-158.00
06:15 - 06:30,8.73,-50.00,0.68,-1.50,7.37,-47.00,0.00,0.29,-156.00
06:30 - 06:45,0.00,-30.00,0.68,-1.50,7.57,-45.00,0.00,0.00,-77.00
06:45 - 07:00,0.00,-17.00,0.68,-1.50,7.47,-50.00,0.00,0.04,-33.00
07:00 - 07:15,0.00,-20.00,0.68,-1.50,7.76,-50.00,0.00,0.29,-28.00
07:15 - 07:30,0.00,-11.00,0.68,-1.50,7.95,-48.00,0.00,0.29,-14.00
07:30 - 07:45,0.00,-25.00,0.68,-1.50,8.73,-37.00,0.00,0.29,-28.00
07:45 - 08:00,11.64,-45.00,0.68,-1.50,8.83,-47.00,0.00,0.29,-42.00
08:00 - 08:15,-25.00,-74.00,0.68,-1.50,9.70,-45.00,0.10,0.29,-32.00
08:15 - 08:30,0.00,-94.00,0.68,-1.50,9.99,-28.00,0.00,0.29,-47.00
08:30 - 08:45,70.81,-119.00,0.68,-1.50,10.19,0.00,0.00,0.29,-11.00
08:45 - 09:00,108.65,-125.00,0.68,-1.50,9.80,0.00,0.00,0.29,-23.00
09:00 - 09:15,99.92,-133.00,0.68,-0.50,11.93,-35.00,0.00,0.29,-16.00
09:15 - 09:30,96.04,-123.00,0.68,-0.50,12.61,-20.00,0.00,0.29,16.49
09:30 - 09:45,79.54,-115.00,0.68,-0.50,12.03,-10.00,0.00,0.29,60.15
09:45 - 10:00,25.23,-105.00,0.68,-0.50,11.35,-13.00,0.00,0.29,24.25
10:00 - 10:15,23.28,-70.00,0.68,-0.50,9.90,0.00,0.00,0.29,32.98
10:15 - 10:30,0.00,-65.00,0.68,-0.50,8.54,0.00,0.00,0.29,32.01
10:30 - 10:45,-9.00,-58.00,0.68,-0.50,7.76,0.00,0.00,0.29,11.64
10:45 - 11:00,34.93,-48.00,0.68,-0.50,7.08,0.00,0.00,0.29,10.67
11:00 - 11:15,31.04,0.00,0.68,-0.50,6.79,0.00,0.00,0.29,6.79
11:15 - 11:30,25.22,0.00,0.68,-0.50,7.76,0.00,0.00,0.29,2.91
11:30 - 11:45,19.40,0.00,0.68,-0.50,10.67,0.00,0.00,0.29,-6.00
11:45 - 12:00,31.04,0.00,0.68,-0.50,10.48,0.00,0.00,0.29,-6.00
12:00 - 12:15,19.40,0.00,0.68,-0.50,9.70,0.00,0.00,0.29,-18.00
12:15 - 12:30,29.10,0.00,0.68,-0.50,12.13,0.00,0.00,0.29,-19.00
12:30 - 12:45,0.00,-10.00,0.68,-0.50,10.67,0.00,0.00,0.29,-14.00
12:45 - 13:00,0.00,-10.00,0.68,-0.50,11.16,0.00,0.00,0.29,-14.00
13:00 - 13:15,3.88,-10.00,0.68,-0.50,8.73,0.00,0.00,0.29,-37.00
13:15 - 13:30,13.58,-10.00,0.68,-0.50,7.76,0.00,0.00,0.29,-36.00
13:30 - 13:45,25.22,-20.00,0.68,-0.50,8.73,0.00,0.00,0.29,-31.00
13:45 - 14:00,28.13,-10.00,0.68,-0.50,11.64,0.00,0.00,0.29,-8.00
14:00 - 14:15,33.96,-25.00,0.68,-0.50,6.79,0.00,0.00,0.29,10.67
14:15 - 14:30,44.63,-6.00,0.68,-0.50,6.79,0.00,0.00,0.29,11.64
14:30 - 14:45,4.85,-10.00,0.68,-0.50,6.79,0.00,0.00,0.29,-15.00
14:45 - 15:00,35.89,0.00,0.68,-0.50,6.79,0.00,0.00,0.29,-10.00
15:00 - 15:15,23.28,0.00,0.68,-0.50,6.79,0.00,0.00,0.29,-29.00
15:15 - 15:30,62.09,0.00,0.68,-0.50,7.76,0.00,0.00,0.29,-31.00
15:30 - 15:45,14.55,0.00,0.68,-0.50,8.73,0.00,0.00,0.29,-41.00
15:45 - 16:00,-14.00,0.00,0.68,-0.50,8.73,0.00,0.00,0.29,-39.00
16:00 - 16:15,-32.00,14.55,0.68,-0.50,8.73,0.00,0.00,0.29,-48.00
16:15 - 16:30,-31.00,24.25,0.68,-0.50,8.73,0.00,11.45,0.29,-101.00
16:30 - 16:45,-66.00,37.83,0.68,-0.50,9.70,0.00,0.00,0.00,-146.00
16:45 - 17:00,-88.00,48.51,0.68,-0.50,9.70,0.00,0.00,0.29,-142.00
17:00 - 17:15,-55.00,106.72,0.19,-0.50,9.70,0.00,0.00,0.29,-115.00
17:15 - 17:30,-18.00,116.42,0.19,-0.50,9.70,0.00,0.00,0.29,-90.00
17:30 - 17:45,16.49,53.37,0.19,-0.50,9.70,0.00,0.87,0.00,-99.00
17:45 - 18:00,37.84,-30.00,0.19,-0.50,9.70,0.00,7.66,0.00,-4.00
18:00 - 18:15,16.49,20.37,0.19,-0.50,9.70,0.00,13.29,0.00,116.42
18:15 - 18:30,-47.00,0.00,0.19,-0.50,9.70,0.00,10.09,0.00,67.91
18:30 - 18:45,-43.00,0.00,0.16,-0.50,8.24,0.00,9.05,0.00,57.63
18:45 - 19:00,-45.00,0.00,0.16,-0.50,7.69,-10.00,7.69,0.00,57.69
19:00 - 19:15,-29.00,0.00,0.10,-0.80,5.03,-16.00,3.87,0.00,69.38
19:15 - 19:30,-26.00,-10.00,0.11,-0.80,5.39,-21.00,4.37,0.00,67.43
19:30 - 19:45,-18.00,-15.00,0.15,-0.80,7.11,-26.00,7.11,0.00,154.40
19:45 - 20:00,3.16,-15.00,0.16,-0.80,7.51,-31.00,8.14,0.00,158.10
20:00 - 20:15,-16.00,-41.00,0.19,-0.80,8.73,-37.00,11.55,0.00,0.00
20:15 - 20:30,19.41,-38.00,0.19,-0.80,8.73,-42.00,10.96,0.00,0.00
20:30 - 20:45,-15.00,-50.00,0.19,-0.80,8.25,-35.00,14.07,0.00,-30.00
20:45 - 21:00,-20.00,-46.00,0.19,-0.80,8.05,-39.00,15.04,0.00,-50.00
21:00 - 21:15,-28.00,-51.00,0.19,-0.80,8.05,-38.00,8.83,0.29,-60.00
21:15 - 21:30,-27.00,-50.00,0.19,-0.80,8.05,-31.00,9.13,0.29,-40.00
21:30 - 21:45,-33.00,-55.00,0.19,-0.80,6.79,-33.00,9.51,0.29,0.00
21:45 - 22:00,-28.00,-51.00,0.19,-0.80,6.80,-35.00,6.69,0.29,0.00
22:00 - 22:15,-29.00,0.00,0.19,-1.50,5.82,-37.00,6.89,0.29,-20.00
22:15 - 22:30,-26.00,0.00,0.19,-1.50,5.82,-37.00,6.12,0.29,-20.00
22:30 - 22:45,-10.00,0.00,0.19,-1.50,4.85,-38.00,5.05,0.00,-10.00
22:45 - 23:00,22.32,0.00,0.19,-1.50,4.85,-39.00,5.53,0.00,-5.00
23:00 - 23:15,-20.00,-15.00,0.19,-1.50,4.85,-41.00,5.44,0.29,0.00
23:15 - 23:30,-14.00,-15.00,0.19,-1.50,4.66,-43.00,3.98,0.29,9.70
23:30 - 23:45,-8.00,-25.00,0.19,-0.10,4.37,-45.00,4.07,0.29,0.00
23:45 - 24:00,-12.00,-25.00,0.19,-0.10,4.37,-48.00,3.10,0.29,-12.00
