Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
06:45 - 07:00,107.72,29.82,5.77,-30.00,0.00,12.50
07:00 - 07:15,100.03,18.27,4.81,-30.00,0.00,4.81
07:15 - 07:30,93.29,0.00,4.33,-30.00,0.00,19.24
07:30 - 07:45,87.53,-12.00,5.77,-30.00,0.00,28.85
07:45 - 08:00,95.22,-12.00,5.77,-28.00,0.00,28.85
08:00 - 08:15,170.23,0.00,2.89,0.00,0.00,48.09
08:15 - 08:30,201.98,0.00,1.92,0.00,0.00,48.09
08:30 - 08:45,99.05,62.52,3.85,0.00,0.00,24.05
08:45 - 09:00,115.41,52.90,2.89,0.00,0.00,48.09
09:00 - 09:15,41.36,19.24,8.46,0.00,0.00,48.09
09:15 - 09:30,50.98,51.93,7.50,0.00,0.00,48.09
09:30 - 09:45,79.83,-19.00,9.62,-15.00,0.00,76.94
09:45 - 10:00,81.76,-11.00,9.62,-15.00,0.00,76.94
10:00 - 10:15,76.94,30.78,9.62,-15.00,0.00,28.85
10:15 - 10:30,74.06,69.25,10.58,-15.00,0.00,28.85
10:30 - 10:45,138.50,62.52,11.54,-15.00,0.00,43.28
10:45 - 11:00,148.12,70.21,11.54,-15.00,0.00,43.28
11:00 - 11:15,141.39,82.71,11.54,-15.00,0.00,72.14
11:15 - 11:30,135.61,96.18,11.54,-15.00,0.00,72.14
11:30 - 11:45,114.45,111.57,11.35,-15.00,0.00,62.52
11:45 - 12:00,109.65,130.79,11.16,-15.00,0.00,67.33
12:00 - 12:15,77.91,131.76,15.39,-15.00,0.00,67.33
12:15 - 12:30,102.91,132.73,15.39,-15.00,0.00,67.33
12:30 - 12:45,97.14,128.88,15.39,-15.00,0.00,19.24
12:45 - 13:00,102.91,134.65,15.39,-15.00,0.00,19.24
13:00 - 13:15,97.14,145.23,15.39,0.00,0.00,-40.00
13:15 - 13:30,94.26,144.26,15.39,0.00,0.00,9.62
13:30 - 13:45,88.49,162.54,14.43,0.00,0.00,-20.00
13:45 - 14:00,28.85,141.39,14.43,0.00,0.00,-30.00
14:00 - 14:15,208.70,121.19,14.43,0.00,0.00,-5.00
14:15 - 14:30,207.74,126.00,14.43,0.00,0.00,-10.00
14:30 - 14:45,174.09,139.46,16.35,0.00,0.00,-20.00
14:45 - 15:00,210.64,123.11,16.35,0.00,0.00,-20.00
15:00 - 15:15,242.38,145.23,16.35,0.00,0.00,0.00
15:15 - 15:30,236.61,141.38,16.35,0.00,0.00,0.00
15:30 - 15:45,148.11,143.31,17.31,0.00,0.00,67.33
15:45 - 16:00,139.46,145.23,17.31,0.00,0.00,57.71
16:00 - 16:15,173.12,155.81,10.58,-6.00,0.00,115.42
16:15 - 16:30,126.96,165.43,10.58,-10.00,0.00,86.56
16:30 - 16:45,218.32,113.49,9.62,-6.00,0.00,72.14
16:45 - 17:00,213.51,120.23,9.62,-6.00,0.00,67.33
17:00 - 17:15,170.24,107.72,10.58,-6.00,0.00,74.06
17:15 - 17:30,151.96,106.76,9.62,-17.00,0.00,75.98
17:30 - 17:45,100.99,71.17,8.66,-27.00,0.00,57.71
17:45 - 18:00,90.41,72.14,7.69,-39.00,0.00,57.71
18:00 - 18:15,142.35,36.55,6.73,-51.00,0.00,-10.00
18:15 - 18:30,128.88,62.52,5.77,-49.00,0.00,-5.00
18:30 - 18:45,84.63,19.24,4.81,-45.00,0.00,-25.00
18:45 - 19:00,81.75,64.44,4.81,-46.00,0.00,16.35
19:00 - 19:15,50.98,38.47,6.73,-49.00,0.00,66.36
19:15 - 19:30,64.74,40.46,6.29,-51.00,-18.60,70.14
19:30 - 19:45,65.40,42.32,6.73,-53.00,0.00,76.95
19:45 - 20:00,55.78,42.32,6.73,-53.00,0.00,76.95
20:00 - 20:15,25.97,0.00,7.69,-53.00,0.00,48.09
20:15 - 20:30,11.54,11.54,7.69,-49.00,0.00,38.48
20:30 - 20:45,-19.00,0.00,7.69,-30.00,0.00,4.81
20:45 - 21:00,19.24,0.00,7.69,-30.00,0.00,4.81
21:00 - 21:15,44.54,-18.00,6.98,-30.00,-20.00,34.92
21:15 - 21:30,92.34,-21.00,6.60,0.00,-20.00,28.85
21:30 - 21:45,127.17,-70.00,5.88,0.00,0.00,18.38
21:45 - 22:00,157.61,-58.00,6.16,0.00,0.00,30.76
22:00 - 22:15,144.51,-25.00,4.79,0.00,0.00,27.39
22:15 - 22:30,155.55,-10.00,4.71,0.00,0.00,26.93
22:30 - 22:45,202.05,29.60,5.18,0.00,0.00,29.60
22:45 - 23:00,252.04,59.81,5.58,0.00,0.00,31.90
23:00 - 23:15,204.87,86.56,17.50,0.00,0.00,48.09
23:15 - 23:30,223.14,129.84,17.02,0.00,0.00,48.09
23:30 - 23:45,250.07,96.18,17.02,0.00,0.00,38.47
23:45 - 24:00,107.73,0.00,17.02,0.00,0.00,38.47
