Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
18:30 - 18:45,20.37,18.43,-0.10,10.19,0.00,9.31,0.00,-15.00
18:45 - 19:00,11.64,0.00,-0.10,9.70,-10.00,10.38,0.00,-20.00
19:00 - 19:15,71.79,14.55,-0.10,9.70,-16.00,9.41,0.00,0.00
19:15 - 19:30,90.22,9.70,-0.10,9.70,-21.00,8.15,0.00,-1.00
19:30 - 19:45,40.74,4.85,-0.10,9.70,-26.00,10.77,0.00,-9.00
19:45 - 20:00,-24.00,0.00,-0.10,9.22,-31.00,11.54,0.00,-36.00
20:00 - 20:15,-184.00,0.00,-0.10,9.22,-37.00,10.67,0.29,-118.00
20:15 - 20:30,-177.00,0.00,-0.10,8.73,-42.00,9.31,0.29,-118.00
20:30 - 20:45,-122.00,-6.00,-0.10,6.79,-35.00,10.77,0.29,-150.00
20:45 - 21:00,-125.00,-11.00,-0.10,6.79,-39.00,9.41,0.29,-170.00
21:00 - 21:15,-216.00,-12.00,-0.10,5.82,-38.00,6.60,0.29,-103.00
21:15 - 21:30,-186.00,-5.00,-0.10,5.82,-31.00,8.25,0.29,-42.00
21:30 - 21:45,-126.00,-26.00,-0.10,4.85,-33.00,8.64,0.29,-36.00
21:45 - 22:00,-89.00,-15.00,-0.10,4.85,-35.00,6.40,0.29,-47.00
22:00 - 22:15,-64.00,-14.00,-0.10,4.85,-37.00,3.10,0.29,101.87
22:15 - 22:30,-32.00,-5.00,-0.10,4.85,-37.00,3.78,0.29,99.93
22:30 - 22:45,-18.00,0.00,-0.10,4.85,-38.00,3.88,0.29,48.51
22:45 - 23:00,-6.00,0.00,-0.10,4.37,-39.00,4.07,0.29,38.80
23:00 - 23:15,21.34,0.00,-0.10,4.37,-41.00,3.59,0.29,29.10
23:15 - 23:30,-11.00,0.00,-0.10,3.88,-43.00,3.10,0.29,33.96
23:30 - 23:45,-9.00,0.00,-0.10,2.91,-45.00,2.62,0.29,33.95
23:45 - 24:00,-20.00,0.00,-0.10,2.91,-48.00,1.75,0.29,9.70
