Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
14:00 - 14:15,0.00,0.00,6.72,0.00,-70.00
14:15 - 14:30,0.00,0.00,5.76,0.00,-70.00
14:30 - 14:45,-24.00,0.00,4.80,0.00,-20.00
14:45 - 15:00,-20.00,0.00,4.80,0.00,-20.00
15:00 - 15:15,-14.00,-20.00,4.80,0.00,-90.00
15:15 - 15:30,-22.00,-25.00,4.80,0.00,28.81
15:30 - 15:45,-35.00,-5.00,3.84,0.00,-45.00
15:45 - 16:00,0.00,-40.00,3.84,0.00,-40.00
16:00 - 16:15,-9.00,-108.00,5.76,0.00,-40.00
16:15 - 16:30,-11.00,-130.00,6.25,2.59,-30.00
16:30 - 16:45,-58.00,-106.00,6.24,0.00,-15.00
16:45 - 17:00,-40.00,-58.00,7.20,0.00,-165.00
17:00 - 17:15,-38.00,-89.00,10.56,0.00,-180.00
17:15 - 17:30,-38.00,-68.00,11.52,4.71,-25.00
17:30 - 17:45,-60.00,-96.00,13.45,8.93,62.42
17:45 - 18:00,-62.00,-103.00,14.41,4.51,19.21
18:00 - 18:15,-53.00,-43.00,15.84,6.15,0.00
18:15 - 18:30,-38.00,-44.00,16.33,1.63,-5.00
18:30 - 18:45,-12.00,-64.00,16.32,2.98,-48.00
18:45 - 19:00,-27.00,-65.00,16.33,0.00,-150.00
19:00 - 19:15,-27.00,-56.00,15.85,0.00,-46.00
19:15 - 19:30,-12.00,-41.00,15.37,0.00,-46.00
19:30 - 19:45,0.00,0.00,15.37,0.00,-38.00
19:45 - 20:00,31.69,0.00,15.37,0.00,-41.00
20:00 - 20:15,4.80,33.61,15.37,0.00,-26.00
20:15 - 20:30,6.72,19.21,15.37,0.00,-31.00
20:30 - 20:45,8.64,0.00,15.37,0.00,-15.00
20:45 - 21:00,20.16,0.00,14.89,0.00,-17.00
21:00 - 21:15,18.24,0.00,14.41,0.00,-12.00
21:15 - 21:30,0.00,0.00,13.93,0.00,-22.00
21:30 - 21:45,6.72,0.00,13.45,0.00,-19.00
21:45 - 22:00,24.01,0.00,12.97,0.00,-36.00
22:00 - 22:15,9.60,0.00,12.30,0.00,-36.00
22:15 - 22:30,13.45,0.00,11.62,0.00,-37.00
22:30 - 22:45,0.00,0.00,11.04,0.00,-16.00
22:45 - 23:00,0.00,0.00,10.37,0.00,-16.00
23:00 - 23:15,24.97,0.00,9.80,0.00,-20.00
23:15 - 23:30,31.69,0.00,9.22,0.00,-20.00
23:30 - 23:45,13.45,0.00,8.74,0.00,-30.00
23:45 - 24:00,0.00,0.00,8.16,0.00,-32.00
