Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
08:15 - 08:30,37.59,0.00,1.06,-1.50,13.49,0.00,0.29,30.84
08:30 - 08:45,14.46,-6.00,1.06,-1.50,13.59,0.00,0.29,-34.00
08:45 - 09:00,13.49,-6.00,1.06,-1.50,13.11,0.00,0.29,-67.00
09:00 - 09:15,32.76,0.00,1.06,-0.10,13.98,-20.00,0.29,-26.00
09:15 - 09:30,26.02,-10.00,1.06,-0.10,14.36,-15.00,0.29,-59.00
09:30 - 09:45,-31.00,0.00,1.06,-0.10,13.97,0.00,0.29,-62.00
09:45 - 10:00,-8.00,0.00,1.06,-0.10,13.49,0.00,0.29,-46.00
10:00 - 10:15,0.00,0.00,1.06,-0.10,13.78,0.00,0.29,4.82
10:15 - 10:30,0.00,0.00,1.06,-0.10,13.78,0.00,0.29,1.93
10:30 - 10:45,0.00,-8.00,1.06,-0.10,13.49,0.00,0.29,19.28
10:45 - 11:00,0.00,-6.00,1.06,-0.10,15.42,0.00,0.29,19.28
11:00 - 11:15,47.23,-14.00,1.06,-0.10,13.01,0.00,0.29,17.35
11:15 - 11:30,47.22,-11.00,1.06,-0.10,15.71,0.00,0.29,17.35
11:30 - 11:45,-22.00,0.00,1.06,-0.10,14.94,0.00,0.29,24.09
11:45 - 12:00,-22.00,0.00,1.06,-0.10,13.49,0.00,0.29,24.10
12:00 - 12:15,23.13,0.00,1.06,-0.10,12.82,0.00,0.29,6.75
12:15 - 12:30,45.30,0.00,1.06,-0.10,10.31,0.00,0.29,14.46
12:30 - 12:45,59.75,0.00,1.06,-0.10,12.05,0.00,0.29,-30.00
12:45 - 13:00,49.15,0.00,1.06,-0.10,14.46,0.00,0.29,-30.00
13:00 - 13:15,0.00,0.00,1.06,-0.10,12.53,0.00,0.29,19.27
13:15 - 13:30,0.00,0.00,1.06,-0.09,11.08,0.00,0.29,19.28
13:30 - 13:45,38.55,0.00,1.06,0.00,11.57,0.00,0.29,28.91
13:45 - 14:00,61.69,0.00,1.06,-0.10,10.60,0.00,0.29,28.91
14:00 - 14:15,111.80,0.00,1.06,-0.10,10.60,0.00,0.29,24.10
14:15 - 14:30,113.72,0.00,1.06,-0.10,9.64,0.00,0.29,9.64
14:30 - 14:45,72.28,0.00,1.06,-0.10,9.35,-20.00,0.29,-10.00
14:45 - 15:00,68.43,0.00,1.06,-0.10,10.31,-20.00,0.29,-12.00
15:00 - 15:15,27.95,0.00,1.06,-0.10,10.41,-20.00,0.29,-15.00
15:15 - 15:30,34.70,0.00,1.06,-0.10,11.08,-20.00,0.29,-20.00
15:30 - 15:45,123.36,0.00,1.06,-0.10,12.53,-20.00,0.29,14.46
15:45 - 16:00,144.57,0.00,1.06,-0.10,14.26,-20.00,0.29,14.46
16:00 - 16:15,128.18,0.00,1.06,-0.10,13.49,-20.00,0.29,19.28
16:15 - 16:30,106.02,0.00,1.06,-0.10,13.49,-20.00,0.29,-50.00
16:30 - 16:45,68.43,0.00,1.06,-0.10,14.94,-20.00,0.29,-35.00
16:45 - 17:00,79.03,0.00,1.06,-0.10,14.17,-20.00,0.29,96.38
17:00 - 17:15,49.15,27.95,1.06,-0.10,13.98,-20.00,0.29,21.20
17:15 - 17:30,64.56,59.76,1.06,-0.10,13.98,-20.00,0.29,-55.00
17:30 - 17:45,42.41,71.31,0.58,0.00,14.46,-20.00,0.29,-49.00
17:45 - 18:00,0.00,56.86,0.58,0.00,14.46,-20.00,0.29,-50.00
18:00 - 18:15,-61.00,26.98,0.58,-0.80,14.17,-20.00,0.29,-26.00
18:15 - 18:30,-86.00,33.73,0.58,-0.80,14.46,-20.00,0.00,-14.00
18:30 - 18:45,-91.00,30.84,0.58,-0.80,14.46,-20.00,0.00,-40.00
18:45 - 19:00,-59.00,34.69,0.58,-0.80,13.98,-20.00,0.00,-43.00
19:00 - 19:15,-22.00,65.54,0.58,-0.80,13.49,-20.00,0.29,-22.00
19:15 - 19:30,18.31,86.74,0.58,-0.80,13.49,-20.00,0.29,-26.00
19:30 - 19:45,6.75,28.91,0.58,-0.80,12.53,-20.00,0.29,-16.00
19:45 - 20:00,16.38,31.81,0.58,-0.80,12.53,-20.00,0.29,-21.00
20:00 - 20:15,60.72,73.25,1.06,-0.80,12.53,-20.00,0.29,-3.00
20:15 - 20:30,26.02,63.61,1.06,-0.80,12.05,-20.00,0.29,-9.00
20:30 - 20:45,15.42,46.26,1.06,-0.80,12.53,-20.00,0.29,15.42
20:45 - 21:00,-2.00,27.95,1.06,-0.80,11.57,-20.00,0.29,-17.00
21:00 - 21:15,-6.00,21.20,1.06,-0.80,12.05,-20.00,0.29,-50.00
21:15 - 21:30,17.35,26.02,1.06,-0.80,11.57,-20.00,0.29,-22.00
21:30 - 21:45,34.70,27.95,1.06,-0.80,10.89,-20.00,0.29,-5.00
21:45 - 22:00,40.48,26.99,1.06,-0.80,10.60,-20.00,0.29,0.00
22:00 - 22:15,75.17,19.28,1.06,-1.80,10.60,-20.00,0.29,0.00
22:15 - 22:30,89.64,30.84,1.06,-1.80,10.60,-20.00,0.29,-3.00
22:30 - 22:45,51.08,20.24,1.06,-1.80,9.64,-20.00,0.29,-16.00
22:45 - 23:00,51.08,23.13,1.06,-1.80,9.64,-20.00,0.29,-13.00
23:00 - 23:15,49.15,31.81,1.06,-1.80,8.67,-20.00,0.29,-20.00
23:15 - 23:30,44.34,25.06,1.06,-1.80,8.67,-20.00,0.29,-21.00
23:30 - 23:45,15.42,29.88,1.06,-1.80,7.71,-20.00,0.29,-37.00
23:45 - 24:00,9.64,25.06,1.06,-1.80,7.71,-20.00,0.29,-65.00
