Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
11:30 - 11:45,63.63,38.56,0.67,-1.00,11.86,12.53,0.00,0.29,4.82
11:45 - 12:00,62.67,44.34,0.67,-1.00,11.18,12.53,0.00,0.29,0.00
12:00 - 12:15,75.20,22.17,0.67,-1.00,10.99,12.53,0.00,0.29,0.00
12:15 - 12:30,75.20,28.92,0.67,-1.00,10.41,12.53,0.00,0.29,0.00
12:30 - 12:45,53.99,28.92,0.67,-1.00,11.57,12.53,0.00,0.29,-10.00
12:45 - 13:00,48.21,25.06,0.67,-1.00,9.64,12.53,0.00,0.29,-10.00
13:00 - 13:15,28.93,0.00,0.67,-1.00,9.64,12.53,0.00,0.29,-10.00
13:15 - 13:30,28.93,0.00,0.67,-1.00,9.64,12.53,0.00,0.29,-15.00
13:30 - 13:45,81.95,33.74,0.67,-1.00,9.64,12.53,0.00,0.29,0.00
13:45 - 14:00,82.91,28.92,0.67,-1.00,8.68,12.53,0.00,0.29,4.82
14:00 - 14:15,100.26,32.78,0.67,-1.00,7.71,12.53,0.00,0.29,24.10
14:15 - 14:30,76.15,37.60,0.67,-1.00,8.68,12.53,0.00,0.29,19.28
14:30 - 14:45,83.87,40.49,0.67,-1.00,8.68,12.53,0.00,0.29,38.56
14:45 - 15:00,103.16,38.56,0.67,-1.00,7.71,12.53,0.00,0.29,43.38
15:00 - 15:15,174.49,62.66,0.67,-1.00,7.71,12.53,0.00,0.29,67.48
15:15 - 15:30,163.89,65.55,0.67,-1.00,7.71,12.53,0.00,0.29,106.04
15:30 - 15:45,139.78,48.20,0.67,-1.00,9.64,14.46,0.00,0.29,28.92
15:45 - 16:00,123.39,40.49,0.67,-1.00,8.68,26.99,0.00,0.29,62.66
16:00 - 16:15,85.80,42.42,0.67,-1.00,10.60,42.42,0.00,0.29,28.92
16:15 - 16:30,58.82,44.34,0.67,-1.00,12.53,44.34,0.00,0.29,14.46
16:30 - 16:45,63.62,52.06,0.67,-1.00,11.57,47.24,0.00,0.29,28.92
16:45 - 17:00,67.48,66.52,0.67,-1.00,12.24,47.24,0.00,0.29,33.74
17:00 - 17:15,104.11,80.01,0.67,-1.00,12.44,56.88,0.00,0.29,-65.00
17:15 - 17:30,122.44,107.00,0.67,-1.00,12.15,48.20,0.00,0.19,-154.99
17:30 - 17:45,59.77,134.97,0.67,-1.00,12.24,39.52,0.00,0.00,-25.00
17:45 - 18:00,63.62,132.08,0.67,-1.00,12.63,0.00,0.00,0.00,-30.00
18:00 - 18:15,77.12,136.89,0.29,-1.00,12.82,0.00,0.00,0.00,-20.00
18:15 - 18:30,53.98,138.82,0.29,-1.00,13.11,0.00,0.00,0.00,-35.00
18:30 - 18:45,0.00,90.12,0.19,-1.00,8.56,0.00,6.58,0.00,-20.00
18:45 - 19:00,0.00,82.03,0.19,-1.00,8.26,0.00,5.55,0.00,-30.00
19:00 - 19:15,3.02,93.43,0.22,-1.00,9.64,0.00,9.79,0.00,0.00
19:15 - 19:30,14.41,110.21,0.25,-1.00,10.51,0.00,7.04,0.00,0.00
19:30 - 19:45,33.74,115.68,0.29,-1.00,11.57,0.00,0.00,0.00,0.00
19:45 - 20:00,48.20,115.68,0.29,-1.00,11.09,0.00,0.00,0.00,0.00
20:00 - 20:15,44.34,93.51,0.29,-1.00,10.60,0.00,0.00,0.29,-15.00
20:15 - 20:30,119.54,108.93,0.29,-1.00,10.60,0.00,0.00,0.29,-5.00
20:30 - 20:45,107.97,104.11,0.67,-1.00,13.50,0.00,0.00,0.00,-15.00
20:45 - 21:00,101.22,94.47,0.67,-1.00,13.50,0.00,0.00,0.00,-25.00
21:00 - 21:15,69.41,86.76,0.67,-1.00,12.53,0.00,0.00,0.29,9.64
21:15 - 21:30,75.19,88.69,0.67,-1.00,11.57,0.00,0.00,0.29,14.46
21:30 - 21:45,83.88,78.08,0.67,-1.00,10.60,0.00,0.00,0.29,33.74
21:45 - 22:00,90.63,78.08,0.67,-1.00,10.60,0.00,0.00,0.29,-50.00
22:00 - 22:15,149.43,53.02,0.67,-2.00,9.25,0.00,0.00,0.29,33.74
22:15 - 22:30,152.31,56.88,0.67,-2.00,8.68,0.00,0.00,0.29,43.38
22:30 - 22:45,127.24,52.06,0.67,-2.00,8.68,0.00,0.00,0.29,48.20
22:45 - 23:00,127.25,55.91,0.67,-2.00,8.68,0.00,0.00,0.29,57.84
23:00 - 23:15,129.18,45.31,0.67,-2.00,7.42,0.00,0.00,0.29,61.70
23:15 - 23:30,122.44,44.34,0.67,-2.00,7.13,0.00,0.00,0.29,61.70
23:30 - 23:45,133.03,37.60,0.67,-2.00,6.94,0.00,0.00,0.29,52.06
23:45 - 24:00,133.03,35.67,0.67,-2.00,6.56,0.00,0.00,0.29,37.60
