Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited,Vodafone_Idea_limited_Okhla
06:30 - 06:45,-107.00,-70.00,0.00,9.14,0.00,-5.00,0.00
06:45 - 07:00,-72.00,-60.00,0.00,9.91,0.00,-75.00,0.00
07:00 - 07:15,-13.00,-50.00,0.00,11.64,0.00,-18.00,0.00
07:15 - 07:30,-13.00,-60.00,0.00,14.43,0.00,-47.00,0.00
07:30 - 07:45,-78.00,-65.00,0.00,15.01,0.00,-55.00,0.00
07:45 - 08:00,-62.00,-50.00,0.00,15.97,0.67,-30.00,0.00
08:00 - 08:15,-84.00,-13.00,0.00,16.93,2.02,-17.00,0.00
08:15 - 08:30,-57.00,-18.00,0.00,13.83,1.96,-9.00,0.00
08:30 - 08:45,-83.00,-45.00,0.00,14.22,1.10,-32.00,0.00
08:45 - 09:00,-118.00,-55.00,0.00,13.62,1.81,-31.00,0.00
09:00 - 09:15,-156.00,-36.00,0.00,10.46,1.38,-43.00,0.00
09:15 - 09:30,-87.00,-23.00,0.00,8.91,0.88,-26.00,0.00
09:30 - 09:45,-78.00,-53.00,0.00,11.10,0.00,-15.00,0.00
09:45 - 10:00,-111.00,-50.00,0.00,12.14,0.00,-60.00,0.00
10:00 - 10:15,0.00,-46.00,0.00,19.34,0.00,-50.00,0.00
10:15 - 10:30,0.00,-46.00,0.00,19.53,0.00,-50.00,0.00
10:30 - 10:45,0.00,-51.00,0.00,17.82,0.00,-44.00,0.00
10:45 - 11:00,0.00,-66.00,0.00,18.95,0.00,-48.00,0.00
11:00 - 11:15,-20.00,-82.00,0.00,20.49,0.00,-75.00,0.00
11:15 - 11:30,-14.00,-112.00,0.00,20.01,0.00,-72.00,0.00
11:30 - 11:45,-33.00,-63.00,0.00,19.53,0.00,-77.00,0.00
11:45 - 12:00,-19.00,-47.00,0.00,19.05,0.00,-51.00,0.00
12:00 - 12:15,8.66,-30.00,0.00,15.39,0.00,-71.00,0.00
12:15 - 12:30,13.47,-17.00,0.00,14.43,0.00,-45.00,0.00
12:30 - 12:45,0.00,-39.00,0.00,11.54,0.00,-32.00,0.00
12:45 - 13:00,53.87,-54.00,0.00,10.58,0.00,-20.00,0.00
13:00 - 13:15,59.65,-61.00,0.00,10.58,0.00,-60.00,0.00
13:15 - 13:30,35.60,-49.00,0.00,10.58,0.00,-67.00,0.00
13:30 - 13:45,36.56,-39.00,0.00,10.58,0.00,-66.00,0.00
13:45 - 14:00,32.71,-40.00,0.00,10.58,0.00,-96.00,0.00
14:00 - 14:15,-48.00,-44.00,0.00,11.54,0.00,-40.00,0.00
14:15 - 14:30,-41.00,0.00,0.00,11.54,0.00,-65.00,0.00
14:30 - 14:45,0.00,-15.00,0.00,13.47,0.00,-95.00,0.00
14:45 - 15:00,0.00,-5.00,0.00,13.47,0.00,-105.00,0.00
15:00 - 15:15,-24.00,0.00,0.00,10.58,0.00,-100.00,0.00
15:15 - 15:30,-10.00,-8.00,0.00,10.58,0.00,-215.00,0.00
15:30 - 15:45,-34.00,-41.00,0.00,10.58,0.00,-90.00,0.00
15:45 - 16:00,-20.00,-69.00,0.00,10.58,0.00,-82.00,0.00
16:00 - 16:15,-46.00,-164.00,0.48,12.51,0.00,-60.00,0.29
16:15 - 16:30,-38.00,-100.00,0.48,12.51,0.00,-70.00,0.29
16:30 - 16:45,-43.00,-108.00,0.48,12.51,0.00,-90.00,0.29
16:45 - 17:00,-57.00,-120.00,0.48,12.51,0.00,-95.00,0.29
17:00 - 17:15,-89.00,-139.00,0.48,11.54,0.00,-70.00,0.29
17:15 - 17:30,-103.00,-138.00,0.44,10.63,6.11,-10.00,0.27
17:30 - 17:45,-103.00,-95.00,0.42,11.76,5.70,-40.00,0.25
17:45 - 18:00,-105.00,-95.00,0.48,14.36,3.35,-60.00,0.29
18:00 - 18:15,-13.00,-22.00,0.32,11.58,3.28,-10.00,0.19
18:15 - 18:30,0.00,-23.00,0.29,10.27,1.37,-20.00,0.17
18:30 - 18:45,30.78,-31.00,0.48,18.28,2.79,-40.00,0.29
18:45 - 19:00,33.67,-50.00,0.48,18.28,2.21,-45.00,0.29
19:00 - 19:15,20.20,-28.00,0.48,18.28,0.00,-5.00,0.29
19:15 - 19:30,10.58,-30.00,0.48,18.28,0.00,-10.00,0.29
19:30 - 19:45,51.95,0.00,0.48,17.12,0.00,14.43,0.29
19:45 - 20:00,50.99,0.00,0.48,16.93,0.00,9.62,0.29
20:00 - 20:15,73.12,4.81,0.00,16.35,0.00,48.10,0.00
20:15 - 20:30,76.96,9.62,0.00,16.35,0.00,120.25,0.00
20:30 - 20:45,53.87,0.00,0.00,15.01,0.00,28.86,0.00
20:45 - 21:00,63.49,0.00,0.00,15.01,0.00,28.86,0.00
21:00 - 21:15,45.21,0.00,0.00,14.43,0.00,14.43,0.00
21:15 - 21:30,34.63,0.00,0.00,14.05,0.00,14.43,0.00
21:30 - 21:45,9.62,0.00,0.00,12.89,0.00,19.24,0.00
21:45 - 22:00,45.22,0.00,0.00,12.12,0.00,19.24,0.00
22:00 - 22:15,0.00,0.00,0.00,14.53,0.00,9.62,0.00
22:15 - 22:30,-22.00,0.00,0.00,12.89,0.00,24.05,0.00
22:30 - 22:45,-23.00,0.00,0.00,11.54,0.00,24.05,0.00
22:45 - 23:00,0.00,0.00,0.00,10.20,0.00,24.05,0.00
23:00 - 23:15,-10.00,0.00,0.00,9.33,0.00,9.62,0.00
23:15 - 23:30,-14.00,0.00,0.00,8.66,0.00,9.62,0.00
23:30 - 23:45,-30.00,0.00,0.00,7.50,0.00,9.62,0.00
23:45 - 24:00,-78.00,0.00,0.00,7.12,0.00,-5.00,0.00
