Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
10:15 - 10:30,-138.00,-121.00,0.00,14.44,0.00,-45.00
10:30 - 10:45,-61.57,-100.00,0.00,14.44,0.00,-18.00
10:45 - 11:00,-71.00,-91.00,0.00,14.44,0.00,-17.00
11:00 - 11:15,-20.00,-31.00,-0.20,15.40,-5.08,-29.00
11:15 - 11:30,-6.00,-20.00,-0.15,15.40,-3.77,-32.00
11:30 - 11:45,-11.00,-14.00,-0.40,11.55,-10.00,-46.00
11:45 - 12:00,0.00,0.00,-0.40,11.55,-10.00,-55.00
12:00 - 12:15,19.25,12.51,-0.40,10.59,-10.00,-34.00
12:15 - 12:30,11.55,16.36,-0.40,10.59,-10.00,-46.00
12:30 - 12:45,0.00,0.00,-0.40,10.59,-10.00,-24.00
12:45 - 13:00,0.00,0.00,0.00,10.59,0.00,-34.00
13:00 - 13:15,-26.00,-46.00,0.00,10.59,0.00,-53.00
13:15 - 13:30,-28.47,-58.00,0.00,10.59,0.00,-62.00
13:30 - 13:45,-41.00,-61.00,-0.40,10.59,-10.00,-73.00
13:45 - 14:00,-23.00,-50.00,-0.40,10.59,-10.00,-73.00
14:00 - 14:15,-36.00,-61.00,-0.40,10.59,-10.00,-42.00
14:15 - 14:30,-39.00,-71.00,-0.40,10.59,-10.00,-39.00
14:30 - 14:45,-44.00,-84.00,0.00,12.03,0.00,-42.00
14:45 - 15:00,-33.00,-90.00,-0.40,12.03,-10.00,-50.00
15:00 - 15:15,-13.00,-82.00,-0.40,12.99,-10.00,-36.00
15:15 - 15:30,-7.00,-92.00,-0.40,12.99,-10.00,-17.00
15:30 - 15:45,-32.00,-87.00,-0.40,12.99,-14.00,21.18
15:45 - 16:00,-26.00,-80.00,-0.40,12.99,-16.00,39.47
16:00 - 16:15,-42.00,-39.00,-0.40,15.88,-16.00,73.15
16:15 - 16:30,-73.00,-41.00,-0.40,15.88,-18.00,47.16
16:30 - 16:45,-93.00,-61.00,-0.40,15.88,-22.00,46.20
16:45 - 17:00,-90.00,11.55,-0.40,15.88,-24.00,55.83
17:00 - 17:15,0.00,-28.00,-0.40,19.25,-28.00,0.00
17:15 - 17:30,0.00,-27.00,-0.40,19.25,-33.00,0.00
17:30 - 17:45,27.91,-13.00,-0.40,20.21,-34.00,63.53
17:45 - 18:00,27.91,0.00,-0.40,20.21,-34.00,61.61
18:00 - 18:15,-40.00,33.69,-0.40,20.21,-37.00,129.94
18:15 - 18:30,-40.00,25.03,-0.40,20.21,-41.00,43.31
18:30 - 18:45,26.95,7.70,-0.40,21.18,-33.00,-26.00
18:45 - 19:00,17.33,34.64,-0.40,21.18,-31.00,21.18
19:00 - 19:15,50.05,25.99,-0.40,21.18,-39.00,87.58
19:15 - 19:30,49.09,26.95,-0.40,21.18,-40.00,72.18
19:30 - 19:45,-12.00,39.46,-0.40,21.18,-41.00,0.00
19:45 - 20:00,-13.00,30.80,-0.40,21.18,-39.00,0.00
20:00 - 20:15,-26.00,25.99,-0.40,22.14,-41.00,0.00
20:15 - 20:30,-33.00,31.76,-0.40,22.14,-41.00,0.00
20:30 - 20:45,0.00,54.86,-0.40,23.10,-42.00,9.63
20:45 - 21:00,-18.00,54.86,-0.40,23.10,-42.00,9.63
21:00 - 21:15,0.00,24.06,-0.40,22.62,-43.00,0.00
21:15 - 21:30,-19.00,21.18,-0.40,22.61,-41.00,0.00
21:30 - 21:45,-58.00,-5.00,-0.40,22.14,-43.00,-60.00
21:45 - 22:00,-83.00,-9.00,-0.40,21.66,-40.00,-60.00
22:00 - 22:15,-141.00,-6.00,-0.40,21.66,-41.00,-65.00
22:15 - 22:30,17.33,-27.00,-0.40,21.17,-40.00,-70.00
22:30 - 22:45,-7.00,-35.00,-0.40,20.69,-40.00,-35.00
22:45 - 23:00,-61.00,-31.00,-0.40,20.69,-40.00,-30.00
23:00 - 23:15,-114.00,-32.00,-0.40,20.21,-38.00,-80.00
23:15 - 23:30,-124.00,-35.00,-0.40,19.73,-40.00,-80.00
23:30 - 23:45,-164.00,-44.00,-0.40,19.25,-39.00,-100.00
23:45 - 24:00,-124.00,-44.00,-0.40,18.77,-38.00,-100.00
