Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
14:30 - 14:45,202.07,146.27,6.74,-14.00,0.00,131.84
14:45 - 15:00,236.71,165.52,6.74,-13.00,0.00,140.50
15:00 - 15:15,273.30,159.74,7.70,-15.00,0.00,155.89
15:15 - 15:30,284.84,152.04,7.70,-18.00,0.00,161.67
15:30 - 15:45,261.75,109.70,7.70,-16.00,0.00,129.91
15:45 - 16:00,272.33,111.63,7.70,-18.00,0.00,139.53
16:00 - 16:15,138.57,128.95,11.55,-11.00,0.00,149.15
16:15 - 16:30,135.68,118.36,11.55,-10.00,0.00,158.78
16:30 - 16:45,127.99,115.48,11.55,-14.00,0.00,136.64
16:45 - 17:00,129.91,111.63,11.55,-15.00,0.00,141.45
17:00 - 17:15,109.70,112.59,15.40,-15.00,0.00,134.72
17:15 - 17:30,114.51,102.97,15.88,-16.00,0.00,144.34
17:30 - 17:45,126.06,50.04,16.36,-17.00,0.00,152.04
17:45 - 18:00,147.23,77.95,16.36,-16.00,0.00,153.00
18:00 - 18:15,86.61,91.41,17.32,-20.00,0.00,52.93
18:15 - 18:30,30.79,86.61,17.32,-24.00,0.00,28.87
18:30 - 18:45,22.13,76.03,17.80,-44.00,0.00,-70.00
18:45 - 19:00,48.12,81.79,18.28,-46.00,0.00,-93.00
19:00 - 19:15,28.87,113.55,18.28,-48.00,0.00,144.35
19:15 - 19:30,51.96,115.48,18.28,-48.00,0.00,152.05
19:30 - 19:45,76.98,134.73,18.28,-47.00,0.00,128.95
19:45 - 20:00,89.49,136.65,18.28,-47.00,0.00,129.91
20:00 - 20:15,90.46,143.38,18.28,-48.00,0.00,120.29
20:15 - 20:30,62.55,146.27,17.80,-48.00,0.00,115.48
20:30 - 20:45,172.25,141.46,17.32,-13.00,0.00,129.91
20:45 - 21:00,193.42,143.38,16.36,-11.00,0.00,129.91
21:00 - 21:15,170.72,128.48,14.52,-12.00,-25.00,145.20
21:15 - 21:30,178.67,124.28,14.24,-11.00,-25.00,146.72
21:30 - 21:45,211.20,119.55,10.96,-18.00,-3.00,142.80
21:45 - 22:00,205.77,105.91,9.68,-18.00,-3.00,133.14
22:00 - 22:15,263.30,80.23,5.65,-18.00,0.00,168.85
22:15 - 22:30,227.71,63.49,4.33,-18.00,0.00,186.15
22:30 - 22:45,202.81,88.83,1.97,-11.00,0.00,143.50
22:45 - 23:00,184.71,79.82,1.72,-11.00,0.00,165.79
23:00 - 23:15,417.07,169.70,1.69,-11.00,0.00,195.81
23:15 - 23:30,417.12,169.73,1.57,-12.00,0.00,195.84
23:30 - 23:45,398.52,228.66,3.10,-11.00,0.00,244.99
23:45 - 24:00,367.73,264.82,3.41,-11.00,0.00,245.92
