Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
21:30 - 21:45,75.91,0.00,17.29,0.00,72.06
21:45 - 22:00,73.98,0.00,15.37,0.00,72.06
22:00 - 22:15,85.50,19.22,18.26,0.00,80.71
22:15 - 22:30,71.10,24.02,17.77,0.00,78.79
22:30 - 22:45,45.16,34.59,15.66,0.00,73.98
22:45 - 23:00,28.82,36.51,14.41,0.00,67.26
23:00 - 23:15,29.78,35.55,13.16,0.00,75.91
23:15 - 23:30,46.12,20.18,11.24,0.00,65.33
23:30 - 23:45,109.53,33.63,10.09,0.00,69.18
23:45 - 24:00,147.00,36.51,9.13,0.00,63.41
