Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
14:45 - 15:00,-28.00,-14.00,-0.30,6.92,38.43
15:00 - 15:15,58.60,-38.00,-0.30,6.92,0.00
15:15 - 15:30,82.62,-43.00,-0.30,7.01,0.00
15:30 - 15:45,34.58,-45.00,-0.30,7.21,0.00
15:45 - 16:00,59.57,-42.00,-0.30,7.49,0.00
16:00 - 16:15,23.06,-89.00,-0.30,9.41,9.61
16:15 - 16:30,26.90,-48.00,-0.30,9.61,19.21
16:30 - 16:45,23.05,-70.00,-0.30,9.61,-30.00
16:45 - 17:00,18.25,-42.00,-0.30,10.09,-65.00
17:00 - 17:15,0.00,-78.00,-0.30,12.01,-33.00
17:15 - 17:30,-10.00,-81.00,-0.30,12.49,-118.00
17:30 - 17:45,-29.00,-74.00,-0.30,11.50,-62.00
17:45 - 18:00,-41.00,-81.00,-0.30,13.93,-65.00
18:00 - 18:15,-31.00,-95.00,-0.30,11.28,-57.00
18:15 - 18:30,-45.00,-85.00,-0.30,12.39,-57.00
18:30 - 18:45,-27.00,-95.00,-0.30,14.63,-41.00
18:45 - 19:00,-41.00,-99.00,-0.30,14.89,-57.00
19:00 - 19:15,0.00,-84.00,-0.30,14.41,-142.00
19:15 - 19:30,0.00,-118.00,-0.30,14.41,-53.00
19:30 - 19:45,0.00,-84.00,-0.30,12.49,0.96
19:45 - 20:00,-21.00,-92.00,-0.30,12.49,-2.00
20:00 - 20:15,-20.00,-35.00,-0.30,12.49,-6.00
20:15 - 20:30,-21.00,-43.00,-0.30,12.49,-10.00
20:30 - 20:45,49.96,15.37,-0.30,12.49,-10.00
20:45 - 21:00,51.88,4.80,-0.30,11.53,-20.00
21:00 - 21:15,55.72,14.41,-0.30,11.53,24.98
21:15 - 21:30,53.80,5.76,-0.30,10.57,23.06
21:30 - 21:45,47.07,-15.00,-0.30,9.61,12.49
21:45 - 22:00,48.99,-31.00,-0.30,9.61,7.69
22:00 - 22:15,54.76,20.17,-1.30,9.32,1.92
22:15 - 22:30,51.87,14.41,-1.30,8.65,-3.00
22:30 - 22:45,55.72,0.00,-1.30,8.55,-5.00
22:45 - 23:00,49.95,0.00,-1.30,7.88,-5.00
23:00 - 23:15,21.13,0.00,-1.30,7.40,-5.00
23:15 - 23:30,26.89,0.00,-1.30,7.21,-10.00
23:30 - 23:45,16.33,0.00,-1.30,6.92,-15.00
23:45 - 24:00,8.65,0.00,-1.30,6.82,-15.00
