Column1,Block,NR/2024/23842/C,NR/2024/23849/C,NR/2024/23848/C,NR/2024/23769/A/42296,NR/2024/23807/A/42295,NR/2024/23420/A/42299,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9061,NR/2024/23843/C,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5444,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/1868,NR/30092023/26122029/SH-06,WR/2024/24788/A/42429,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/31122025/SH-07,Total
12,02:45-03:00,0,0,0,5.76,4.8,0.48,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.9200000000001

13,03:00-03:15,0,0,0,5.76,4.8,0.43,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.87

14,03:15-03:30,0,0,0,5.76,4.8,0.43,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.87

15,03:30-03:45,0,0,0,5.76,4.8,0.43,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.87

16,03:45-04:00,0,0,0,5.76,4.8,0.43,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.87

17,04:00-04:15,0,0,0,5.76,4.8,0.43,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.87

18,04:15-04:30,0,0,0,5.76,4.8,0.43,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.87

19,04:30-04:45,0,0,0,5.76,4.8,0.43,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.87

20,04:45-05:00,0,0,0,5.76,4.8,0.43,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.87

21,05:00-05:15,0,0,0,5.76,4.8,0.43,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.87

22,05:15-05:30,0,0,0,5.76,4.8,0.43,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.87

23,05:30-05:45,0,0,0,5.76,4.8,0.43,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.87

24,05:45-06:00,0,0,0,5.76,4.8,0.43,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.87

25,06:00-06:15,0,0,0,5.76,4.8,0.43,0,26.17,26.17,1.92,0,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,182.36

26,06:15-06:30,0,0,0,5.76,4.8,0.43,0,26.17,26.17,1.92,0,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,182.36

27,06:30-06:45,0,0,0,5.76,4.8,0.43,0,26.17,26.17,1.92,0,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,182.36

28,06:45-07:00,0.16,0,0,5.76,4.8,0.43,0,26.17,26.17,1.92,0,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,182.52

29,07:00-07:15,0.56,0,0,5.76,4.8,0.58,0,26.17,26.17,1.92,0,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,183.07000000000002

30,07:15-07:30,0.93,0,0,5.76,4.8,0.58,0,26.17,26.17,1.92,0,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,183.44

31,07:30-07:45,1.4,0,0,5.76,4.8,0.58,0,33.14,33.14,1.92,0,33.14,3.75,7.2,22.1,11.04,26.91,0,0,0,26.91,211.79

32,07:45-08:00,2.01,0,0,5.76,4.8,0.58,0,33.14,33.14,1.92,0,33.14,3.75,7.2,22.1,11.04,26.91,0,0,0,26.91,212.4

33,08:00-08:15,2.62,0,0,5.76,4.8,0.96,0,33.14,33.14,1.92,0,33.14,3.75,7.2,22.1,11.04,26.91,0,0,0,26.91,213.39

34,08:15-08:30,3.11,0,0,5.76,4.8,0.96,0,33.14,33.14,1.92,0,33.14,3.75,7.2,22.1,11.04,26.91,0,0,0,26.91,213.88

35,08:30-08:45,3.76,0,0,5.76,4.8,0.96,0,33.14,33.14,1.92,0,33.14,3.75,7.2,22.1,11.04,26.91,0,0,0,26.91,214.53

36,08:45-09:00,4.4,0,0,5.76,4.8,0.96,0,33.14,33.14,1.92,0,33.14,3.75,7.2,22.1,11.04,26.91,0,0,0,26.91,215.17

37,09:00-09:15,5.01,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,270.59999999999997

38,09:15-09:30,5.58,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,271.16999999999996

39,09:30-09:45,6.12,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,271.71

40,09:45-10:00,6.65,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,272.23999999999995

41,10:00-10:15,6.85,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,272.44

42,10:15-10:30,7.16,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,272.75

43,10:30-10:45,7.41,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273

44,10:45-11:00,7.59,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273.18

45,11:00-11:15,7.76,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273.34999999999997

46,11:15-11:30,8,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273.59

47,11:30-11:45,8,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273.59

48,11:45-12:00,8.04,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273.63

49,12:00-12:15,8.07,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273.65999999999997

50,12:15-12:30,8.11,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273.7

51,12:30-12:45,8.08,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273.66999999999996

52,12:45-13:00,7.97,30,25,5.76,4.8,0.86,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273.56

53,13:00-13:15,7.96,30,25,5.76,4.8,0.77,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273.46

54,13:15-13:30,7.83,30,25,5.76,4.8,0.77,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273.33

55,13:30-13:45,7.58,30,25,5.76,4.8,0.77,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,273.08

56,13:45-14:00,7.44,30,25,5.76,4.8,0.77,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,272.94

57,14:00-14:15,7.21,30,25,5.76,4.8,0.96,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,272.9

58,14:15-14:30,6.91,30,25,5.76,4.8,0.96,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,272.59999999999997

59,14:30-14:45,6.32,30,25,5.76,4.8,0.96,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,272.01

60,14:45-15:00,6.02,30,25,5.76,4.8,0.96,0,33.14,33.14,1.92,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,271.71

61,15:00-15:15,5.45,30,25,5.76,4.8,0.86,0,33.14,33.14,2.88,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,272

62,15:15-15:30,4.97,30,25,5.76,4.8,0.86,0,33.14,33.14,2.88,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,271.52

63,15:30-15:45,4.08,30,25,5.76,4.8,0.86,0,33.14,33.14,2.88,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,270.63

64,15:45-16:00,3.21,26.9,23.5,5.76,4.8,0.86,0,33.14,33.14,2.88,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,265.15999999999997

65,16:00-16:15,2.89,22.1,16.3,5.76,4.8,0.77,0,33.14,33.14,2.88,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,252.74999999999997

66,16:15-16:30,2.37,17.5,9.4,5.76,4.8,0.77,0,33.14,33.14,2.88,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,240.72999999999996

67,16:30-16:45,1.78,13,16.2,5.76,4.8,0.77,0,33.14,33.14,2.88,0,33.14,3.67,7.2,22.1,11.04,26.91,0,0,0,26.91,242.43999999999994

68,16:45-17:00,1.21,9,8.6,5.76,4.8,0.77,0,33.14,33.14,2.88,0,33.14,3.67,7.2,22.1,11.04,24.28,0,0,0,24.28,225.00999999999996

69,17:00-17:15,0.75,0,0,5.76,4.8,0.58,0,33.14,33.14,2.88,0,33.14,3.67,7.2,22.1,11.04,18.98,0,0,0,18.98,196.15999999999997

70,17:15-17:30,0.4,0,0,5.76,4.8,0.58,0,33.14,33.14,2.88,0,33.14,3.67,7.2,22.1,11.04,18.98,0,0,0,18.98,195.80999999999997

71,17:30-17:45,0.16,0,0,5.76,4.8,0.58,0,33.14,33.14,2.88,0,33.14,3.67,7.2,22.1,11.04,18.98,0,0,0,18.98,195.56999999999996

72,17:45-18:00,0,0,0,5.76,4.8,0.58,0,33.14,33.14,2.88,0,33.14,3.67,7.2,22.1,11.04,0,0,0,0,0,157.45

73,18:00-18:15,0,0,0,5.76,4.8,0.62,0,33.14,33.14,2.88,0,33.14,3.75,7.2,22.1,11.04,0,38.38,50,150,32,427.95

74,18:15-18:30,0,0,0,5.76,4.8,0.62,0,33.14,33.14,2.88,0,33.14,3.75,7.2,22.1,11.04,0,38.38,50,150,32,427.95

75,18:30-18:45,0,0,0,5.76,4.8,0.62,0,33.14,33.14,2.88,0,33.14,3.75,7.2,22.1,11.04,0,38.38,50,150,32,427.95

76,18:45-19:00,0,0,0,5.76,4.8,0.62,0,33.14,33.14,2.88,0,33.14,3.75,7.2,22.1,11.04,0,38.38,50,150,32,427.95

77,19:00-19:15,0,0,0,5.76,4.8,0.62,0,33.14,33.14,2.88,0,33.14,3.75,7.2,22.1,11.04,5.95,38.38,50,150,32,433.9

78,19:15-19:30,0,0,0,5.76,4.8,0.62,0,33.14,33.14,2.88,0,33.14,3.75,7.2,22.1,11.04,5.95,38.38,50,150,32,433.9

79,19:30-19:45,0,0,0,5.76,4.8,0.62,0,33.14,33.14,2.88,0,33.14,3.75,7.2,22.1,11.04,5.95,38.38,50,150,32,433.9

80,19:45-20:00,0,0,0,5.76,4.8,0.62,0,33.14,33.14,2.88,0,33.14,3.75,7.2,22.1,11.04,5.95,38.38,50,150,32,433.9

81,20:00-20:15,0,0,0,5.76,4.8,0.62,0,33.14,33.14,2.88,0,33.14,3.85,7.2,22.1,11.04,18.98,38.38,50,200,18.98,484.01

82,20:15-20:30,0,0,0,5.76,4.8,0.62,0,33.14,33.14,2.88,0,33.14,3.85,7.2,22.1,11.04,18.98,38.38,50,200,18.98,484.01

83,20:30-20:45,0,0,0,5.76,4.8,0.62,0,33.14,33.14,2.88,0,33.14,3.85,7.2,22.1,11.04,18.98,38.38,50,200,18.98,484.01

84,20:45-21:00,0,0,0,5.76,4.8,0.62,0,33.14,33.14,2.88,0,33.14,3.85,7.2,22.1,11.04,18.98,38.38,50,200,18.98,484.01

85,21:00-21:15,0,0,0,5.76,4.8,0.62,0,26.17,26.17,2.88,0,26.17,3.85,7.2,17.45,8.72,18.98,38.38,50,200,18.98,456.13

86,21:15-21:30,0,0,0,5.76,4.8,0.62,0,26.17,26.17,2.88,0,26.17,3.85,7.2,17.45,8.72,18.98,38.38,50,200,18.98,456.13

87,21:30-21:45,0,0,0,5.76,4.8,0.62,0,26.17,26.17,2.88,0,26.17,3.85,7.2,17.45,8.72,18.98,38.38,50,200,18.98,456.13

88,21:45-22:00,0,0,0,5.76,4.8,0.62,0,26.17,26.17,2.88,0,26.17,3.85,7.2,17.45,8.72,18.98,38.38,50,200,18.98,456.13

89,22:00-22:15,0,0,0,5.76,4.8,0.62,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,18.98,38.38,50,200,18.98,835.58

90,22:15-22:30,0,0,0,5.76,4.8,0.62,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,18.98,38.38,50,200,18.98,835.58

91,22:30-22:45,0,0,0,5.76,4.8,0.62,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,18.98,38.38,50,200,18.98,835.58

92,22:45-23:00,0,0,0,5.76,4.8,0.62,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,18.98,38.38,50,200,18.98,835.58

93,23:00-23:15,0,0,0,5.76,4.8,0.62,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,18.98,38.38,50,200,18.98,835.58

94,23:15-23:30,0,0,0,5.76,4.8,0.62,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,18.98,38.38,50,200,18.98,835.58

95,23:30-23:45,0,0,0,5.76,4.8,0.62,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,24.8,38.38,50,200,24.8,847.22

96,23:45-24:00,0,0,0,5.76,4.8,0.62,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,24.8,38.38,50,200,24.8,847.22

