Block,Time,DADRI_RF,AURY_GF,UNCHAHAR4,AURY_CRF,URI2,AURY_LF,RAPPC,TANAKPUR,JHAJJAR,DHAULIGNGA,ANTA_GF,ANTA_CRF,TANDA2,ANTA_RF,AURY_RF,RAMPUR,TEHRI,DULHASTI,DADRI_GF,BSIUL,ANTA_LF,NJPC,CHAMERA1,KOLDAM,CHAMERA3,RIHAND1,KISHANGANGA,DADRI_CRF,SEWA2,SALAL,UNCHAHAR1,RAPPB,URI,DADRI_LF,RIHAND3,NAPP,UNCHAHAR2,SINGRAULI,KOTESHWR,PARBATI3,UNCHAHAR3,DADRT2,CHAMERA2,KUDGI,KHSTPP-II,BRBCL,KHSTPP-I,FSTPP I & II,TALA,SASAN,RIHAND2,SINGRAULI_HYDRO,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
15,03:30-03:45,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,399.018860,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,38.750027,16.294073,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,21.548994,663.841507,9.019345,18.37,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

16,03:45-04:00,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,379.686860,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,38.750027,16.294073,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,21.548994,663.841507,9.019345,18.37,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

17,04:00-04:15,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,379.686860,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,38.750027,16.294073,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,21.548994,663.841507,9.019345,18.37,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

18,04:15-04:30,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,355.386632,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,38.750027,13.399040,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,17.969577,600.980457,9.019345,17.40,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

19,04:30-04:45,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,334.121432,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,38.750027,13.319361,0.000000,16.006896,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,17.969577,600.980457,9.019345,17.40,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

20,04:45-05:00,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,355.386632,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,43.937770,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,38.750027,13.319361,0.000000,16.006896,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,17.969577,600.980457,9.019345,17.40,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

21,05:00-05:15,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,334.121432,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,6.303005,0.000000,43.937770,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,38.750027,13.319361,0.000000,16.006896,0.000000,119.535193,38.918796,35.399792,99.680625,8.577608,0.000000,17.969577,600.980457,18.038689,16.43,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

22,05:15-05:30,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,355.386632,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,6.303005,0.000000,43.937770,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,38.750027,13.319361,0.000000,46.953562,0.000000,119.535193,38.918796,35.399792,99.680625,8.577608,0.000000,17.969577,589.779853,18.038689,17.40,142.342386,16.992838,31.095619,14.948082,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

23,05:30-05:45,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,374.718632,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,1.063260,0.000000,43.937770,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,38.750027,13.319361,0.000000,46.953562,0.000000,119.535193,38.918796,35.399792,99.680625,8.577608,0.000000,17.969577,581.648457,18.038689,17.40,142.342386,16.992838,31.095619,14.948082,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

24,05:45-06:00,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,355.386632,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.614992,47.785375,0.000000,2.126520,0.000000,59.499063,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,38.750027,13.319361,0.000000,14.939770,0.000000,119.535193,38.918796,35.399792,99.680625,8.577608,0.000000,17.969577,581.648457,18.038689,16.43,142.342386,16.992838,31.095619,14.948082,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

25,06:00-06:15,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,355.386632,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.082525,47.785375,0.000000,3.189780,0.000000,73.229616,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,38.750027,13.319361,0.000000,14.939770,0.000000,119.535193,38.918796,35.399792,99.680625,8.577608,0.000000,17.969577,600.980457,18.038689,16.43,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

26,06:15-06:30,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,334.121432,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.082525,47.785375,0.000000,18.909016,0.000000,90.438576,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,38.750027,10.419561,0.000000,14.939770,0.000000,119.535193,38.918796,28.403348,99.680625,8.577608,0.000000,16.100103,591.885814,18.038689,17.40,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

27,06:30-06:45,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,338.310668,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.082525,47.785375,0.000000,18.909016,0.000000,105.267573,13.515968,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,23.586973,10.419561,0.000000,14.939770,0.000000,119.535193,38.918796,28.403348,99.680625,8.577608,0.000000,14.103177,611.217814,18.038689,19.33,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

28,06:45-07:00,0.000000,0.000000,0.000000,0.000000,10.402163,0.000000,49.309939,11.763039,338.310668,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.082525,47.785375,0.000000,18.909016,0.000000,105.267573,13.515968,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,23.586973,10.419561,0.000000,14.939770,0.000000,119.535193,38.918796,28.403348,99.680625,8.577608,0.000000,14.103177,601.551814,18.038689,22.23,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

29,07:00-07:15,0.000000,0.000000,0.000000,0.000000,10.402163,0.000000,49.309939,11.763039,342.214552,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.041263,47.785375,0.000000,18.909016,0.000000,105.267573,27.108297,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,23.586973,11.438794,0.000000,14.939770,0.000000,119.535193,38.918796,28.403348,99.680625,8.577608,0.000000,14.103177,591.885814,18.038689,23.20,142.588603,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

30,07:15-07:30,0.000000,0.000000,0.000000,0.000000,30.832009,0.000000,49.309939,11.763039,342.214552,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,6.303005,0.000000,105.267573,27.108297,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,23.586973,11.438794,0.000000,14.939770,0.000000,119.535193,38.918796,28.403348,99.680625,8.577608,0.000000,14.103177,591.885814,18.038689,27.06,142.588603,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

