Column1,Block,NR/2025/24911/C,NR/2025/24912/C,NER/2024/2820/A/49830,NR/2024/24507/A/49876,NR/2025/24913/C,NR/2025/24837/A/49793,NR/2024/24434/A/49536,NR/2025/24839/A/49798,NR/2025/24838/A/49795,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/8058,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8738,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/6775,NR/2024/24435/A/49535,NR/2025/24905/C,NR/2025/24907/C,NR/2025/24908/C,WR/2024/25501/A/49831,NR/2024/24418/A/49526,NR/2024/24508/A/49875,NR/2024/24566/A/49527,Total
3,00:30-00:45,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.2199999999999

4,00:45-01:00,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.2199999999999

5,01:00-01:15,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.2199999999999

6,01:15-01:30,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.2199999999999

7,01:30-01:45,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.2199999999999

8,01:45-02:00,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.2199999999999

9,02:00-02:15,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.13999999999993

10,02:15-02:30,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.13999999999993

11,02:30-02:45,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.13999999999993

12,02:45-03:00,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.13999999999993

13,03:00-03:15,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.13999999999993

14,03:15-03:30,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.13999999999993

15,03:30-03:45,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.13999999999993

16,03:45-04:00,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.13999999999993

17,04:00-04:15,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.13999999999993

18,04:15-04:30,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.13999999999993

19,04:30-04:45,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.13999999999993

20,04:45-05:00,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.13999999999993

21,05:00-05:15,0,0,38.32,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.37,47.9,23.95,16.29,0,0,0,0,0.43,8.71,5.75,407.11999999999995

22,05:15-05:30,0,0,38.32,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.37,47.9,23.95,16.29,0,0,0,0,0.43,8.71,5.75,407.11999999999995

23,05:30-05:45,0,0,38.32,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.37,47.9,23.95,16.29,0,0,0,0,0.43,8.71,5.75,407.11999999999995

24,05:45-06:00,0,0,38.32,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.37,47.9,23.95,16.29,0,0,0,0,0.43,8.71,5.75,407.11999999999995

25,06:00-06:15,0,0,38.32,17.24,0,0.29,0,0.19,0.19,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,16.29,0,0,0,0,0.38,8.71,5.75,407.84

26,06:15-06:30,0,0,38.32,17.24,0,0.29,0,0.19,0.19,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,16.29,0,0,0,0,0.38,8.71,5.75,407.84

27,06:30-06:45,0,0,38.32,17.24,0,0.29,0,0.19,0.19,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,16.29,0,0,0,0,0.38,8.71,5.75,407.84

28,06:45-07:00,0,0,38.32,17.24,0,0.29,0,0.19,0.19,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,16.29,19.16,0,0,0,0.38,8.71,5.75,427

29,07:00-07:15,0,0,38.32,17.24,0,0.29,0,0.19,0.19,0,0,26.82,50,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.47,47.9,25.87,16.29,19.16,0,0,0,0.86,8.71,5.75,500.48

30,07:15-07:30,0,0,38.32,17.24,0,0.29,0,0.19,0.19,0,0,26.82,50,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.47,47.9,25.87,16.29,76.64,0,0,0,0.86,8.71,5.75,557.96

31,07:30-07:45,0,0,38.32,17.24,0,0.29,0,0.19,0.19,0,0,26.82,50,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.47,47.9,25.87,16.29,76.64,0,0,0,0.86,8.71,5.75,557.96

32,07:45-08:00,0,0,38.32,17.24,0,0.29,0,0.19,0.19,0,0,26.82,50,20.12,19.16,43.11,28.74,25.87,0,0,14.37,47.9,47.9,1.47,47.9,25.87,16.29,76.64,0,0,0,0.86,8.71,5.75,563.71

33,08:00-08:15,0,0,38.32,17.24,0,0.29,0,0.19,0.19,0,0,26.82,50,20.12,19.16,43.11,28.74,25.87,0,0,14.37,47.9,47.9,1.47,47.9,25.87,16.29,95.8,0,0,0,0.86,8.71,5.75,582.87

34,08:15-08:30,0,0,38.32,17.24,0,0.38,0,0.19,0.19,0,0,26.82,50,20.12,19.16,43.11,28.74,25.87,0,0,14.37,47.9,47.9,1.47,47.9,25.87,16.29,95.8,0,0,0,0.86,8.71,5.75,582.96

35,08:30-08:45,0,0,38.32,17.24,0,0.38,0,0.19,0.19,0,0,26.82,50,20.12,19.16,43.11,28.74,25.87,0,0,14.37,47.9,47.9,1.47,47.9,25.87,16.29,95.8,0,0,0,0.86,8.71,5.75,582.96

36,08:45-09:00,0,0,38.32,17.24,0,0.38,0,0.19,0.19,0,0,26.82,50,20.12,19.16,43.11,28.74,25.87,0,0,14.37,47.9,47.9,1.47,47.9,25.87,16.29,95.8,0,0,0,0.86,8.71,5.75,582.96

37,09:00-09:15,19.16,6.04,0,0,14.85,0.38,3.83,0.19,0.29,0,0,26.82,0,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.37,47.9,25.87,16.29,124.54,17.24,8.71,0,0.86,0,5.75,561.51

38,09:15-09:30,24.33,6.04,0,0,17.91,0.38,3.83,0.19,0.29,0,0,26.82,0,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.37,47.9,25.87,16.29,124.54,17.24,8.71,0,0.86,0,5.75,569.74

39,09:30-09:45,25.96,6.04,0,0,20.69,0.38,3.83,0.19,0.29,0,0,26.82,0,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.37,47.9,25.87,16.29,124.54,17.24,8.71,0,0.86,0,5.75,574.15

40,09:45-10:00,20.69,6.04,0,0,25.96,0.38,3.83,0.19,0.29,0,0,26.82,0,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.37,47.9,25.87,16.29,124.54,17.24,8.71,0,0.86,0,5.75,574.15

41,10:00-10:15,14.37,6.04,0,17.24,32.28,0.48,4.79,0.19,0.29,0,0,26.82,0,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.47,47.9,25.87,16.29,153.28,0,0,0,0.86,8.71,5.75,604.0500000000001

42,10:15-10:30,11.11,6.04,0,17.24,35.54,0.48,4.79,0.19,0.29,0,0,26.82,0,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.47,47.9,25.87,16.29,153.28,0,0,0,0.86,8.71,5.75,604.0500000000001

43,10:30-10:45,8.33,6.04,0,17.24,38.32,0.48,4.79,0.19,0.29,0,0,26.82,0,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.47,47.9,25.87,16.29,153.28,0,0,0,0.86,8.71,5.75,604.0500000000001

44,10:45-11:00,8.33,6.04,0,17.24,38.32,0.48,4.79,0.19,0.29,0,0,26.82,0,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.47,47.9,25.87,16.29,153.28,0,0,0,0.86,8.71,5.75,604.0500000000001

45,11:00-11:15,8.33,6.04,0,17.24,38.32,0.48,6.71,0.19,0.29,0,0,26.82,0,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.47,47.9,25.87,16.29,0,0,0,0,0.86,8.71,5.75,452.69

46,11:15-11:30,8.33,6.04,0,17.24,38.32,0.48,6.71,0.19,0.29,0,0,26.82,0,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.47,47.9,25.87,16.29,0,0,0,0,0.86,8.71,5.75,452.69

47,11:30-11:45,8.33,6.04,0,17.24,38.32,0.48,6.71,0.19,0.29,0,0,26.82,0,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.47,47.9,25.87,16.29,0,0,0,0,0.86,8.71,5.75,452.69

48,11:45-12:00,8.33,6.04,0,17.24,38.32,0.48,6.71,0.19,0.29,0,0,26.82,0,20.12,19.16,43.11,28.74,25.87,0,0,8.62,47.9,47.9,1.47,47.9,25.87,16.29,0,0,0,0,0.86,8.71,5.75,452.69

49,12:00-12:15,8.33,6.04,0,17.24,38.32,0.48,6.71,0.19,0.38,0,0,26.82,0,20.12,19.16,25.87,28.74,25.87,0,0,8.62,47.9,47.9,1.37,47.9,25.87,16.29,0,0,0,0,0.86,8.71,5.75,435.44

50,12:15-12:30,8.33,6.04,0,17.24,38.32,0.48,6.71,0.19,0.38,0,0,26.82,0,20.12,19.16,25.87,28.74,25.87,0,0,8.62,47.9,47.9,1.37,47.9,25.87,16.29,0,0,0,0,0.86,8.71,5.75,435.44

51,12:30-12:45,8.33,6.04,0,17.24,38.32,0.57,6.71,0.19,0.38,0,0,26.82,0,20.12,19.16,25.87,28.74,25.87,0,0,8.62,47.9,47.9,1.37,47.9,25.87,16.29,0,0,0,0,0.86,8.71,5.75,435.53

52,12:45-13:00,8.33,6.04,0,17.24,38.32,0.57,6.71,0.19,0.38,0,0,26.82,0,20.12,19.16,25.87,28.74,25.87,0,0,8.62,47.9,47.9,1.37,47.9,25.87,16.29,0,0,0,0,0.86,8.71,5.75,435.53

53,13:00-13:15,6.9,6.04,0,17.24,38.32,0.57,5.75,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,16.29,0,0,0,0,0.77,8.71,5.75,427.38999999999993

54,13:15-13:30,6.99,6.04,0,17.24,38.32,0.57,5.75,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,16.29,0,0,0,0,0.77,8.71,5.75,427.4799999999999

55,13:30-13:45,6.99,6.04,0,17.24,38.32,0.57,5.75,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,16.29,0,0,0,0,0.77,8.71,5.75,427.4799999999999

56,13:45-14:00,6.99,6.04,0,17.24,38.32,0.57,5.75,0.1,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,16.29,0,0,0,0,0.77,8.71,5.75,427.38999999999993

57,14:00-14:15,6.99,6.04,0,17.24,38.32,0.57,4.79,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,16.29,0,0,0,0,0.77,8.71,5.75,426.5199999999999

58,14:15-14:30,6.99,6.04,0,17.24,38.32,0.57,4.79,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,16.29,0,0,0,0,0.77,8.71,5.75,426.5199999999999

59,14:30-14:45,7.09,6.04,0,17.24,38.32,0.57,4.79,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,16.29,0,0,0,0,0.77,8.71,5.75,426.61999999999995

60,14:45-15:00,7.09,6.04,0,17.24,38.32,0.57,4.79,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.47,47.9,23.95,16.29,0,0,0,0,0.77,8.71,5.75,426.61999999999995

61,15:00-15:15,7.09,6.04,0,17.24,38.32,0.57,4.79,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,16.29,0,0,0,0,0.67,8.71,5.75,426.59999999999997

62,15:15-15:30,7.09,6.04,0,17.24,38.32,0.57,4.79,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,16.29,0,0,0,0,0.67,8.71,5.75,426.59999999999997

63,15:30-15:45,7.19,6.04,0,17.24,38.32,0.57,4.79,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,16.29,0,0,0,0,0.67,8.71,5.75,426.69999999999993

64,15:45-16:00,11.98,6.04,0,17.24,33.05,0.57,4.79,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,16.29,0,0,0,0,0.67,8.71,5.75,426.21999999999997

65,16:00-16:15,13.22,6.04,0,17.24,31.9,0.57,2.87,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,16.29,0,0,0,0,0.48,8.71,5.75,424.19999999999993

66,16:15-16:30,9.48,6.04,0,17.24,26.25,0.57,2.87,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,16.29,0,0,0,0,0.48,8.71,5.75,414.80999999999995

67,16:30-16:45,5.08,6.04,0,17.24,19.93,0.57,2.87,0.19,0.38,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,16.29,28.74,0,0,0,0.48,8.71,5.75,432.83

68,16:45-17:00,0.67,6.04,0,17.24,13.51,0.48,2.87,0.19,0.29,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,16.29,28.74,0,0,0,0.48,8.71,5.75,421.82

69,17:00-17:15,0,0,0,17.24,0,0.38,0.96,0.1,0.19,0,0,26.82,0,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,28.74,0,0,0,0.48,8.71,5.75,449.21

70,17:15-17:30,0,0,0,17.24,0,0.38,0.96,0.1,0.19,0,0,26.82,0,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,28.74,0,0,0,0.48,8.71,5.75,449.21

71,17:30-17:45,0,0,0,17.24,0,0.38,0.96,0.1,0.1,0,0,26.82,0,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,28.74,0,0,0,0.48,8.71,5.75,449.12

72,17:45-18:00,0,0,0,17.24,0,0.29,0.96,0.1,0.1,0,0,26.82,0,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,28.74,0,0,0,0.48,8.71,5.75,449.03000000000003

73,18:00-18:15,0,0,38.32,17.24,0,0.19,0,0.1,0.19,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,28.74,0,0,38.32,0.48,8.71,5.75,654.7

74,18:15-18:30,0,0,38.32,17.24,0,0.1,0,0.1,0.1,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,28.74,0,0,38.32,0.48,8.71,5.75,654.52

75,18:30-18:45,0,0,38.32,17.24,0,0.1,0,0.1,0.1,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,28.74,0,0,38.32,0.48,8.71,5.75,654.52

76,18:45-19:00,0,0,38.32,17.24,0,0.1,0,0.1,0.1,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.48,8.71,5.75,625.78

77,19:00-19:15,0,0,38.32,17.24,0,0,0,0,0,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.57,8.71,5.75,625.57

78,19:15-19:30,0,0,38.32,17.24,0,0,0,0,0,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.57,8.71,5.75,625.57

79,19:30-19:45,0,0,38.32,17.24,0,0,0,0,0,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.57,8.71,5.75,625.57

80,19:45-20:00,0,0,38.32,17.24,0,0,0,0,0,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.57,8.71,5.75,625.57

81,20:00-20:15,0,0,38.32,17.24,0,0,0,0,0,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.57,8.71,5.75,625.57

82,20:15-20:30,0,0,38.32,17.24,0,0,0,0,0,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.57,8.71,5.75,625.57

83,20:30-20:45,0,0,38.32,17.24,0,0,0,0,0,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.57,8.71,5.75,625.57

84,20:45-21:00,0,0,38.32,17.24,0,0,0,0,0,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.57,8.71,5.75,625.57

85,21:00-21:15,0,0,0,17.24,0,0,0,0,0,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.57,8.71,5.75,587.25

86,21:15-21:30,0,0,0,17.24,0,0,0,0,0,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.57,8.71,5.75,587.25

87,21:30-21:45,0,0,0,17.24,0,0,0,0,0,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.57,8.71,5.75,587.25

88,21:45-22:00,0,0,0,17.24,0,0,0,0,0,30,50,26.82,50,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.57,8.71,5.75,587.25

89,22:00-22:15,0,0,0,17.24,0,0,0,0,0,30,50,26.82,0,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.48,8.71,5.75,537.16

90,22:15-22:30,0,0,0,17.24,0,0,0,0,0,30,50,26.82,0,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.48,8.71,5.75,537.16

91,22:30-22:45,0,0,0,17.24,0,0,0,0,0,30,50,26.82,0,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.48,8.71,5.75,537.16

